,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,V_0,T_0
0,1.0,1.1112182988280115,5.8298948128518517e-05,4.43984083699846e-07,1.0,15.304901699965093,0.025192552888197106,0.2435410240740552,10.000002190470695,2.0741380966722345e-07,1000000.0,0.0,25.0,378465.3333333333
1,2.0,1.0543055852715435,5.187732929451305e-05,4.568554774866238e-07,1.0,14.023130331826849,0.00010000051107084129,0.21501814071320524,10.000016920268536,1.7049064505485824e-07,1000000.0,0.0,25.0,436945.3333333333
2,3.0,1.164143679654102,4.569060097732652e-05,4.284334418542976e-07,1.0,12.957391278251933,0.02801247822919878,0.2769644908096893,10.000007718801498,1.4538201546218437e-07,1000000.0,0.0,25.0,337982.6666666667
3,4.0,1.1714099982648571,5.845841039883606e-05,4.3080920922297975e-07,1.0,15.79559276345843,0.00010026267219503948,0.2155237284561835,10.000101834535599,1.7614782294259344e-07,1000000.0,0.0,25.0,436945.3333333333
4,5.0,1.0828380394868595,4.375244058872039e-05,4.060882509580372e-07,1.0,10.892355943527939,0.00010000039581781195,0.17294675084298916,31.259400837123394,1.807644252670382e-07,1000000.0,0.0,25.0,715836.0
5,6.0,1.0429467309996194,5.460521073046244e-05,4.251350889827689e-07,1.0,13.979685642163602,0.018969665877278885,0.23853894563287525,18.299442037940025,1.2998238778761208e-07,1000000.0,0.0,25.0,436945.3333333333
6,7.0,1.0918200327885041,4.256745751197872e-05,4.976719640549342e-07,1.0,11.694913189650372,0.0001000026779192087,0.18425586667758864,54.75058735907078,5.7269085426456365e-08,1000000.0,0.0,25.0,616873.3333333334
7,8.0,1.0777793467859167,4.526839610397641e-05,3.852778374359165e-07,1.0,12.698408077447581,0.07938470860544539,0.3255948538019169,10.000003062188625,1.1889695298684738e-07,1000000.0,0.0,25.0,337982.6666666667
8,9.0,1.0858062505711599,6.530364724770404e-05,4.75154816940468e-07,1.0,18.008349269639066,0.00010993279196697125,0.2010250201883821,10.00261651724577,1.9411567192434182e-07,1000000.0,0.0,25.0,436945.3333333333
9,10.0,1.0357472379915051,4.069471793359447e-05,4.56325546586037e-07,1.0,10.481097370730168,0.00010092674877087981,0.19427535015023523,10.000811509788036,2.0721668138376623e-07,1000000.0,0.0,25.0,517910.6666666667
10,11.0,1.1662971453575364,5.305969238794522e-05,3.6038001845276464e-07,1.0,13.752712044728263,0.07143249749902314,0.3171618233121478,10.000001139938831,1.4769198194042077e-07,1000000.0,0.0,25.0,337982.6666666667
11,12.0,1.0939639013939897,4.8337785740122253e-05,3.7093189204494037e-07,1.0,12.155394265459009,0.00010045943535513802,0.19913706147253407,19.356801211833954,1.6682938442082683e-07,1000000.0,0.0,25.0,616873.3333333334
12,13.0,1.1482064303906308,4.895581948898638e-05,3.9523551535554146e-07,1.0,12.844395325679535,0.00010000887995925689,0.2463820990616199,74.53705259412527,9.402340127247265e-08,1000000.0,0.0,25.0,477428.0
13,14.0,1.0434773697233852,3.0701489854711817e-05,5.249317979361297e-07,1.0,7.258713704258383,0.00010016460288009288,0.18836885731716535,10.001516737043858,3.943531621585918e-07,1000000.0,0.0,25.0,477428.0
14,15.0,1.1240164869539135,7.392843612658258e-05,3.820355717274051e-07,1.0,20.824538146891513,0.029345641103912523,0.2626481954773894,10.000003650784492,1.6207766627156277e-07,1000000.0,0.0,25.0,378465.3333333333
15,16.0,1.0851981542526141,1.5499330189008027e-05,3.7991245253336163e-06,1.0,1.4273785985479464,0.00010000166816404032,0.242116552873604,81.51560674607754,2.365815452019503e-07,1000000.0,0.0,25.0,436945.3333333333
16,17.0,1.0843592595085612,3.491005805332571e-05,4.412008222345518e-07,1.0,8.751377522619386,0.08138607580490337,0.3321207981261125,10.000005140900612,1.240908730028897e-07,1000000.0,0.0,25.0,297500.0
17,18.0,1.1065378569434063,3.8016507777604784e-05,3.762383868016769e-07,1.0,9.633721756481336,0.040818630765530384,0.27406220391622327,15.115614175796509,1.2434952164351484e-07,1000000.0,0.0,25.0,436945.3333333333
18,19.0,1.1210427857746668,3.424582535478976e-05,5.389759294625423e-07,1.0,9.094490906579352,0.00010000872462956334,0.1720259511212916,10.000048980116844,1.7792602441323263e-07,1000000.0,0.0,25.0,576390.6666666666
19,20.0,1.140379675904503,4.070914744862502e-05,5.251960982238468e-07,1.0,10.666045543737859,0.00010374083219305552,0.186528333389667,10.162333950400352,7.778401550376316e-08,1000000.0,0.0,25.0,517910.6666666667
20,21.0,1.0201111442257749,6.353419264755767e-05,4.024583049435298e-07,1.0,15.622693594501143,0.00010031264876464441,0.20946835416856402,10.000274300575256,1.7847617525058087e-07,1000000.0,0.0,25.0,477428.0
21,22.0,1.0284439738294178,3.414196254754191e-05,4.499488147578903e-07,1.0,8.040545254625435,0.004001687839443047,0.2111018315851041,15.754444241523743,1.6116393093994956e-07,1000000.0,0.0,25.0,517910.6666666667
22,23.0,1.1897684208820838,3.792763054178389e-05,4.754509932209565e-07,1.0,9.643340258057528,0.00010000271355947721,0.1927154867959544,10.000001661479473,1.595100241836493e-07,1000000.0,0.0,25.0,517910.6666666667
23,24.0,1.068482043167446,3.588589244266359e-05,4.919018658600677e-07,1.0,8.42812962008486,0.00010000030286078099,0.18906043101434733,41.38196928054094,1.2286575305820206e-07,1000000.0,0.0,25.0,576390.6666666666
24,25.0,1.1127673804085516,4.9250057595061476e-05,4.6535836216701136e-07,1.0,13.942943485445518,0.0001000204344297484,0.19063435090185266,62.05719716846943,1.0046962510254812e-07,1000000.0,0.0,25.0,616873.3333333334
25,26.0,1.151499579062977,5.187271514176483e-05,4.5232538402827614e-07,1.0,13.680841073369145,0.014571671308353018,0.21124134496528768,10.000027507543564,1.6519166745507615e-07,1000000.0,0.0,25.0,477428.0
26,27.0,1.128333358250128,4.539512433025904e-05,4.6310876781465934e-07,1.0,11.873171963312707,0.00010004089673143479,0.2140017892233459,10.000007174909115,1.958239445041171e-07,1000000.0,0.0,25.0,436945.3333333333
27,28.0,0.9461565557146201,6.431418247965166e-05,3.5046937073772666e-07,1.0,16.93075360873017,0.0546017380863838,0.3021650649690386,10.000013716518879,1.7710784110739735e-07,1000000.0,0.0,25.0,337982.6666666667
28,29.0,1.0887902060935328,3.492877217017226e-05,5.362261425691581e-07,1.0,8.777091585978546,0.00010000017284700347,0.1873029382774405,136.01223919540644,4.758159283179092e-10,1000000.0,0.0,25.0,616873.3333333334
29,30.0,1.2014375411058176,2.5698962154560618e-05,4.6370469932794967e-07,1.0,2.527486117786708,0.00010001006459336992,0.1935675906514689,108.55537114292383,1.438638341958545e-06,1000000.0,0.0,25.0,616873.3333333334
30,31.0,1.0287579201902302,5.07369057135712e-05,4.619942229398038e-07,1.0,14.25149793106793,0.03129241925467863,0.24958630266375792,10.00001272559166,1.6607011460923246e-07,1000000.0,0.0,25.0,378465.3333333333
31,32.0,1.0257819059866478,2.3483422282667315e-05,5.31309524412725e-07,1.0,2.9250299866593963,0.00010002229958594455,0.1949666701728816,10.00008037686348,1.4545615748852097e-06,1000000.0,0.0,25.0,436945.3333333333
32,33.0,1.1771737513269298,4.899580021284337e-05,4.3509614160114156e-07,1.0,12.687558923388451,0.00010000183270236773,0.1998891781176937,59.309431947767735,9.253893759847247e-08,1000000.0,0.0,25.0,576390.6666666666
33,34.0,1.119387928655592,4.863608408225979e-05,4.5070141147697263e-07,1.0,12.655720570755136,0.00010083144051242776,0.219223955723578,10.000022426247597,1.4876693982660737e-07,1000000.0,0.0,25.0,436945.3333333333
34,35.0,1.053376124779564,4.5625877860723314e-05,4.084589763889387e-07,1.0,11.258570659866542,0.00010000057519793382,0.22351884858858995,14.274369321763515,1.303991325127195e-07,1000000.0,0.0,25.0,477428.0
35,36.0,1.0339029511456574,5.525391476251825e-05,4.129192527655372e-07,1.0,15.552528435858513,0.05348659522354565,0.27279740602187275,10.000005513429642,1.8284939900967769e-07,1000000.0,0.0,25.0,378465.3333333333
