,S2,S2_conf
"('p', 'c_V')",-2.7204023399879466e-05,9.185701155749372e-05
"('p', 'r')",-2.1702967195755445e-05,0.00010547124098989612
"('p', 'k_T')",0.00035722379747931765,0.001172389278341172
"('p', 'd_T')",8.31187091386679e-05,0.0005617714814740264
"('c_V', 'r')",0.0009047442848406004,0.005032425077640822
"('c_V', 'k_T')",0.03896695538311314,0.14099235130529172
"('c_V', 'd_T')",0.013916072362955308,0.05909678435430919
"('r', 'k_T')",3.629526762751302e-05,0.00026109488037062445
"('r', 'd_T')",2.8343543807989805e-05,0.00023631827826017536
"('k_T', 'd_T')",0.0025792634193277848,0.011426979762898538
