,S2,S2_conf
"('beta', 'd_I')",-423784512161918.1,405205767883229.75
"('beta', 'c')",-423784512161918.1,405205768072879.94
"('beta', 'd_T')",-423784512161918.1,405205768072879.94
"('beta', 'r')",-423784512161918.1,405205768072879.94
"('d_I', 'c')",95194.30456882338,5381006308013573.0
"('d_I', 'd_T')",95194.30456882338,5381006308013573.0
"('d_I', 'r')",95194.30456882338,5381006308013573.0
"('c', 'd_T')",92860.9485859507,88789.91779050592
"('c', 'r')",92860.9485859507,88789.91779050592
"('d_T', 'r')",78198.05258283927,74769.84422339212
