,S2,S2_conf
"('beta', 'd_I')",0.03937894221653693,0.045207587460963185
"('beta', 'c')",0.02344210533586083,0.03842570007278712
"('beta', 'd_T')",-0.007387724023064302,0.016611092107249984
"('beta', 'r')",-0.00789184553248529,0.016055609659018782
"('d_I', 'c')",0.08334210664733577,0.08202574092134807
"('d_I', 'd_T')",-0.0076624296483175335,0.07299054088007075
"('d_I', 'r')",-0.011575000414851254,0.07190181280007411
"('c', 'd_T')",-0.008689687399965392,0.1161985225849915
"('c', 'r')",-0.009083046669689914,0.11651752127501666
"('d_T', 'r')",0.0006487713060344165,0.0014331373842020557
