,S2,S2_conf
"('beta', 'd_I')",-0.005097229387980254,0.03848563297103512
"('beta', 'c')",0.04692733167112745,0.06538096388978873
"('beta', 'd_T')",-0.0007368225032126463,0.002382272144528858
"('beta', 'r')",-0.0006768357328971892,0.0027361727394672117
"('beta', 'c_T')",-0.00024910977523709903,0.0026917513900312348
"('d_I', 'c')",1.7770951626060167,2.3136063023754745
"('d_I', 'd_T')",-0.007729243613577232,0.08133438093629994
"('d_I', 'r')",-0.00046214476002817554,0.09271238756846223
"('d_I', 'c_T')",-0.018121328249868823,0.07633755215863178
"('c', 'd_T')",0.0015826593925462689,0.5271481103373218
"('c', 'r')",0.08927897842182526,0.5994954222510754
"('c', 'c_T')",0.039574349512497886,0.5492567446898982
"('d_T', 'r')",0.0006355510403854399,0.0013702732495043148
"('d_T', 'c_T')",0.000564293500991077,0.001231153176897801
"('r', 'c_T')",-0.0008243093819246291,0.0013118424208477292
