,S2,S2_conf
"('p', 'c_V')",0.07858570441476687,0.026975277179452854
"('p', 'r')",0.024334728461494058,0.028437353983494843
"('p', 'k_T')",0.01123540690758143,0.023652461636828673
"('p', 'd_T')",0.00839694074182919,0.022688938697899164
"('p', 'K')",0.007605806554315524,0.022898677221399884
"('c_V', 'r')",0.08025191464129627,0.05708458653670288
"('c_V', 'k_T')",0.05816361832870172,0.05236694188328472
"('c_V', 'd_T')",0.02341451086392606,0.04857141440089391
"('c_V', 'K')",0.020900931568222432,0.0462578400382071
"('r', 'k_T')",0.010372871929104972,0.03408861078576776
"('r', 'd_T')",0.005454826274130308,0.03207837790885232
"('r', 'K')",0.01202440994910331,0.03238297295820312
"('k_T', 'd_T')",0.00983503740578114,0.01642493859269251
"('k_T', 'K')",0.01124368386888943,0.01624243395432353
"('d_T', 'K')",0.001244434589914429,0.014384446555841274
