,S2,S2_conf
"('p', 'c_V')",0.19545056043639947,0.027020588997863523
"('p', 'r')",-0.023334377955921328,0.02460924380968123
"('p', 'k_T')",-0.021154100077713824,0.025045290652231024
"('p', 'd_T')",-0.022043207695980133,0.025030772027884444
"('p', 'K')",0.00029771650759480295,0.0261339501541095
"('c_V', 'r')",0.005158628618462699,0.02739908240757646
"('c_V', 'k_T')",0.004294960317128524,0.027231756883134648
"('c_V', 'd_T')",0.002416686079588875,0.027148003609990295
"('c_V', 'K')",0.02287014487796224,0.025648085531580336
"('r', 'k_T')",-0.0016429290251763606,0.003603486387922329
"('r', 'd_T')",-0.0003897038438830623,0.0034480597617780454
"('r', 'K')",-0.0005807670154705513,0.0036125968250456087
"('k_T', 'd_T')",0.002660257974362806,0.004362108540538638
"('k_T', 'K')",-0.0006922670064736791,0.004881308285346121
"('d_T', 'K')",-0.005635193811880906,0.006337757021854757
