,S2,S2_conf
"('p', 'c_V')",0.18628455010800377,0.4183240582813088
"('p', 'r')",0.0014783628592468243,0.0036019941456136707
"('p', 'd_T')",0.0010191504144256452,0.002440829541132028
"('p', 'K')",0.0011488679035434714,0.002959428877364261
"('c_V', 'r')",0.0037680376276538097,0.9680889910411197
"('c_V', 'd_T')",-0.21116654730631904,0.7958252396981581
"('c_V', 'K')",-0.028005898817430416,0.9338068581878165
"('r', 'd_T')",0.008734696974231107,0.0318396861365945
"('r', 'K')",0.0026972534725239624,0.006685993572595976
"('d_T', 'K')",0.002332719996911688,0.010639500397677429
