,S2,S2_conf
"('beta', 'd_I')",-8.349487672512288e-06,3.522118156854937e-05
"('beta', 'c')",8.43287650778477e-05,0.0001410494256668766
"('beta', 'd_T')",4.453789921781118e-06,8.348237560249323e-06
"('beta', 'r')",4.6438235120762966e-06,8.794927514338653e-06
"('beta', 'k_T')",4.760303959407261e-06,9.054676202782541e-06
"('beta', 'K')",0.00023175238934607106,0.0003738055986297594
"('d_I', 'c')",0.020514082510924875,0.016922224783709538
"('d_I', 'd_T')",0.0001222540408921624,0.00032934195310949853
"('d_I', 'r')",0.0001370839014410541,0.00034203858636751316
"('d_I', 'k_T')",0.00018789176705648992,0.00040754949937289953
"('d_I', 'K')",0.04612008102761183,0.03198851532296427
"('c', 'd_T')",-0.0004766808214023855,0.001782352807209262
"('c', 'r')",-0.0004742884884627403,0.00177928747159427
"('c', 'k_T')",-0.00048795522548321786,0.001769141985225958
"('c', 'K')",0.05381409505620096,0.0364748212775172
"('d_T', 'r')",-3.3800031352143545e-07,6.528389794784785e-07
"('d_T', 'k_T')",-3.379989033895743e-07,6.528389842474132e-07
"('d_T', 'K')",-1.5601003333275349e-06,8.995663236034802e-06
"('r', 'k_T')",2.7840004568332743e-07,1.0665647174218647e-06
"('r', 'K')",7.493788840031888e-06,1.4189205100679659e-05
"('k_T', 'K')",2.4151629106182384e-05,3.6198164439085044e-05
