,S2,S2_conf
"('p', 'c_V')",0.03296192359387368,0.0037048495752189502
"('p', 'r')",0.03785783721263428,0.003846792011949839
"('p', 'k_T')",0.028466851395568413,0.003343165006295176
"('p', 'd_T')",0.014975468093938918,0.003312797316015912
"('c_V', 'r')",0.03744076968303495,0.006535339153564489
"('c_V', 'k_T')",0.03566490374114002,0.006364129450222407
"('c_V', 'd_T')",0.013711352404485996,0.006365698406918877
"('r', 'k_T')",0.008648530840171045,0.004417712721076443
"('r', 'd_T')",0.003028511978062018,0.004185366934640772
"('k_T', 'd_T')",0.004348051896621019,0.00321031808571936
