,S2,S2_conf
"('beta', 'd_I')",0.048818519165832935,0.003942594676837331
"('beta', 'c')",0.026561987652354846,0.003073213638253744
"('beta', 'd_T')",-9.886856486083408e-05,0.0022952976645192946
"('beta', 'r')",-0.00014252291533679458,0.0023002410816607786
"('beta', 'k_T')",-9.235551144412725e-05,0.002293356045259142
"('beta', 'K')",-4.961126128346033e-05,0.002265666027529894
"('d_I', 'c')",0.0926878080319462,0.007084489331856564
"('d_I', 'd_T')",-0.00020855030815719987,0.006517020691558965
"('d_I', 'r')",-0.00012083924888511275,0.006512802646323435
"('d_I', 'k_T')",5.604484521639497e-05,0.006560751657925643
"('d_I', 'K')",0.006493620972134868,0.006535723394334516
"('c', 'd_T')",3.104887824478431e-05,0.006269833913053257
"('c', 'r')",6.434833851529666e-05,0.006263604033164978
"('c', 'k_T')",0.0001552317947361367,0.0062950207102903085
"('c', 'K')",0.005025997465986965,0.006272859488077194
"('d_T', 'r')",-3.466297806874631e-05,6.883707271357466e-05
"('d_T', 'k_T')",-3.259060592187288e-05,6.76905631772582e-05
"('d_T', 'K')",-2.9529281074517754e-05,6.8433596344258e-05
"('r', 'k_T')",-4.413468776969128e-05,5.7166662309322065e-05
"('r', 'K')",-4.675812540560868e-05,5.608126302388159e-05
"('k_T', 'K')",1.73956456820841e-05,0.00012647255741421765
