,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,9.5,884683.0837856873,19461713.8064261
1,1.4508287784959373e-16,9.5,884683.0837856961,19461713.806428455
2,2.1049041445120218e-16,9.5,884683.0837856885,19461713.80642703
3,3.0538555088334123e-16,9.5,884683.0837855041,19461713.80638911
4,4.4306214575838864e-16,9.5,884683.0837856753,19461713.806423664
5,6.428073117284319e-16,9.5,884683.083785687,19461713.806426417
6,9.32603346883218e-16,9.5,884683.0837854898,19461713.8063874
7,1.3530477745798075e-15,9.5,884683.0837855835,19461713.806406584
8,1.9630406500402685e-15,9.5,884683.083785593,19461713.806409925
9,2.8480358684358048e-15,9.5,884683.0837856234,19461713.80641696
10,4.132012400115335e-15,9.5,884683.0837857642,19461713.80644731
11,5.994842503189421e-15,9.5,884683.0837856081,19461713.80641907
12,8.697490026177834e-15,9.5,884683.0837855011,19461713.806401517
13,1.2618568830660185e-14,9.5,884683.0837855351,19461713.806415245
14,1.8307382802953698e-14,9.5,884683.0837857167,19461713.806460124
15,2.656087782946684e-14,9.5,884683.083785583,19461713.806447364
16,3.853528593710535e-14,9.5,884683.083785644,19461713.80647851
17,5.590810182512223e-14,9.5,884683.0837853568,19461713.806447737
18,8.111308307896889e-14,9.5,884683.0837848822,19461713.806393437
19,1.176811952434999e-13,9.5,884683.0837849153,19461713.806456603
20,1.7073526474706888e-13,9.5,884683.0837842757,19461713.806412708
21,2.477076355991714e-13,9.5,884683.0837839941,19461713.806477994
22,3.593813663804626e-13,9.5,884683.0837829439,19461713.8064433
23,5.214008287999695e-13,9.5,884683.0837816568,19461713.80644177
24,7.564633275546291e-13,9.5,884683.0837793953,19461713.806361068
25,1.097498765493059e-12,9.5,884683.0837761902,19461713.806257464
26,1.5922827933410938e-12,9.5,884683.0837727031,19461713.806342494
27,2.310129700083158e-12,9.5,884683.0837667814,19461713.80629013
28,3.351602650938848e-12,9.5,884683.0837577293,19461713.806122065
29,4.8626015800653536e-12,9.5,884683.0837457732,19461713.806115363
30,7.054802310718631e-12,9.5,884683.0837279423,19461713.806007683
31,1.0235310218990269e-11,9.5,884683.0837018918,19461713.80581658
32,1.4849682622544695e-11,9.5,884683.0836642886,19461713.805576522
33,2.1544346900318868e-11,9.5,884683.0836086383,19461713.805010222
34,3.125715849688235e-11,9.5,884683.0835290964,19461713.80442776
35,4.5348785081285915e-11,9.5,884683.0834131024,19461713.803462572
36,6.579332246575682e-11,9.5,884683.0832448017,19461713.802061513
37,9.545484566618327e-11,9.5,884683.0830017658,19461713.8002566
38,1.3848863713938747e-10,9.5,884683.0826482386,19461713.797452703
39,2.009233002565054e-10,9.5,884683.0821353061,19461713.79338011
40,2.915053062825182e-10,9.5,884683.0813917482,19461713.787596524
41,4.229242874389499e-10,9.5,884683.0803115601,19461713.77892018
42,6.135907273413189e-10,9.5,884683.0787455926,19461713.76657345
43,8.902150854450393e-10,9.5,884683.0764734047,19461713.748613346
44,1.2915496650148826e-09,9.5,884683.0731771616,19461713.72261934
45,1.873817422860387e-09,9.5,884683.068393626,19461713.684655633
46,2.7185882427329512e-09,9.5,884683.0614549753,19461713.62986491
47,3.944206059437664e-09,9.5,884683.051387226,19461713.550181676
48,5.72236765935022e-09,9.5,884683.0367813907,19461713.434724633
49,8.302175681319769e-09,9.5,884683.0155904486,19461713.267139357
50,1.2045035402587836e-08,9.5,884682.9848460027,19461713.02400079
51,1.7475284000076902e-08,9.5,884682.940207229,19461712.689415753
52,2.5353644939701166e-08,9.5,884682.8755064916,19461712.490983114
53,3.678379771828634e-08,9.5,884682.7815706892,19461711.795296162
54,5.336699231206324e-08,9.5,884682.6453669402,19461710.765264325
55,7.742636826811277e-08,9.5,884682.4475654804,19461709.142277107
56,1.1233240329780311e-07,9.5,884682.1610588783,19461706.886288267
