,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,11.8,313894.9415420163,19982603.0092575
1,1.4508287784959373e-16,11.8,313894.9415420012,19982603.009329274
2,2.1049041445120218e-16,11.8,313894.94154200825,19982603.00924683
3,3.0538555088334123e-16,11.8,313894.9415419405,19982603.009734984
4,4.4306214575838864e-16,11.8,313894.9415419666,19982603.00952765
5,6.428073117284319e-16,11.8,313894.94154194946,19982603.00956971
6,9.32603346883218e-16,11.8,313894.94154193526,19982603.009716187
7,1.3530477745798075e-15,11.8,313894.94154201384,19982603.00917674
8,1.9630406500402685e-15,11.8,313894.941541988,19982603.00933439
9,2.8480358684358048e-15,11.8,313894.9415418941,19982603.00973932
10,4.132012400115335e-15,11.8,313894.9415418987,19982603.009817187
11,5.994842503189421e-15,11.8,313894.94154188014,19982603.009833667
12,8.697490026177834e-15,11.8,313894.94154196867,19982603.009096935
13,1.2618568830660185e-14,11.8,313894.9415419297,19982603.009227276
14,1.8307382802953698e-14,11.8,313894.9415418343,19982603.009403564
15,2.656087782946684e-14,11.8,313894.94154182804,19982603.009078156
16,3.853528593710535e-14,11.8,313894.94154172903,19982603.00910362
17,5.590810182512223e-14,11.8,313894.9415415842,19982603.009081103
18,8.111308307896889e-14,11.8,313894.94154121674,19982603.00987069
19,1.176811952434999e-13,11.8,313894.94154103036,19982603.00941812
20,1.7073526474706888e-13,11.8,313894.9415406408,19982603.00917544
21,2.477076355991714e-13,11.8,313894.9415399153,19982603.0097886
22,3.593813663804626e-13,11.8,313894.9415390321,19982603.009555973
23,5.214008287999695e-13,11.8,313894.94153781066,19982603.00900196
24,7.564633275546291e-13,11.8,313894.94153580145,19982603.009557534
25,1.097498765493059e-12,11.8,313894.9415330124,19982603.00972764
26,1.5922827933410938e-12,11.8,313894.9415290038,19982603.00958557
27,2.310129700083158e-12,11.8,313894.9415232775,19982603.008993417
28,3.351602650938848e-12,11.8,313894.9415148634,19982603.008576103
29,4.8626015800653536e-12,11.8,313894.9415025971,19982603.008487772
30,7.054802310718631e-12,11.8,313894.9414848436,19982603.007562853
31,1.0235310218990269e-11,11.8,313894.9414589102,19982603.008529704
32,1.4849682622544695e-11,11.8,313894.9414213323,19982603.008877765
33,2.1544346900318868e-11,11.8,313894.94136707793,19982603.007724445
34,3.125715849688235e-11,11.8,313894.9412881086,19982603.007639065
35,4.5348785081285915e-11,11.8,313894.94117364107,19982603.006915413
36,6.579332246575682e-11,11.8,313894.9410076628,19982603.00528532
37,9.545484566618327e-11,11.8,313894.9407667217,19982603.003853556
38,1.3848863713938747e-10,11.8,313894.94041724043,19982603.001107547
39,2.009233002565054e-10,11.8,313894.9399102501,19982602.997017838
40,2.915053062825182e-10,11.8,313894.93917442416,19982602.992588736
41,4.229242874389499e-10,11.8,313894.93810711685,19982602.984528925
42,6.135907273413189e-10,11.8,313894.93655847537,19982602.97391072
43,8.902150854450393e-10,11.8,313894.9343119148,19982602.956994236
44,1.2915496650148826e-09,11.8,313894.93105247064,19982602.93296757
45,1.873817422860387e-09,11.8,313894.9263234131,19982602.89892261
46,2.7185882427329512e-09,11.8,313894.91946249246,19982602.848822072
47,3.944206059437664e-09,11.8,313894.90950832324,19982602.776974212
48,5.72236765935022e-09,11.8,313894.8950666341,19982602.672207594
49,8.302175681319769e-09,11.8,313894.8741141726,19982602.5201875
50,1.2045035402587836e-08,11.8,313894.8437157209,19982602.304908067
51,1.7475284000076902e-08,11.8,313894.7996127791,19982601.992662948
52,2.5353644939701166e-08,11.8,313894.73562708066,19982601.526054215
53,3.678379771828634e-08,11.8,313894.6427947442,19982600.849173002
54,5.336699231206324e-08,11.8,313894.50811088074,19982599.869392306
55,7.742636826811277e-08,11.8,313894.31270795944,19982598.44617788
56,1.1233240329780311e-07,11.8,313894.02921185095,19982596.381512016
57,1.6297508346206468e-07,11.8,313893.6179080444,19982593.384060714
58,2.3644894126454072e-07,11.8,313893.0211774457,19982589.038893446
59,3.430469286314926e-07,11.8,313892.15542580484,19982582.734632537
60,4.977023564332114e-07,11.8,313890.89937241655,19982573.579914987
61,7.220809018385486e-07,11.8,313889.07706279896,19982560.296191737
62,1.0476157527896663e-06,11.8,313886.43322245363,19982541.104446366
63,1.5199110829529394e-06,11.8,313882.59750208363,19982513.245016757
64,2.2051307399030503e-06,11.8,313877.03261152643,19982472.647371985
65,3.1992671377973847e-06,11.8,313868.9590821283,19982413.829437785
66,4.641588833612791e-06,11.8,313857.24614053324,19982328.531123605
67,6.7341506577508285e-06,11.8,313840.2534400797,19982204.68996363
68,9.770099572992287e-06,11.8,313815.60156690417,19982024.997743327
69,1.4174741629268077e-05,11.8,313779.83934633696,19981764.42385481
70,2.05651230834866e-05,11.8,313727.96168537845,19981386.251268182
71,2.9836472402833465e-05,11.8,313652.711069365,19980836.954349883
72,4.328761281083062e-05,11.8,313543.5675283514,19980040.54978866
73,6.280291441834272e-05,11.8,313385.285616427,19978884.403099805
74,9.111627561154906e-05,11.8,313155.78745542554,19977206.073391758
75,0.00013219411484660342,11.8,312823.121790453,19974769.013099708
76,0.00019179102616724927,11.8,312341.09934184235,19971229.017476477
77,0.0002782559402207126,11.8,311643.0759478335,19966083.60703968
78,0.00040370172585965663,11.8,310633.13779692544,19958599.171539005
79,0.0005857020818056673,11.8,309173.6880427968,19947699.743680984
80,0.0008497534359086473,11.8,307068.3890841925,19931801.32889207
81,0.0012328467394420685,11.8,304039.3798494029,19908557.499708068
82,0.0017886495290574424,11.8,299697.84421011317,19874463.85756218
83,0.002595024211399743,11.8,293509.33812043903,19824232.923582505
84,0.0037649358067924714,11.700000000000001,284758.2657451724,20015247.377823863
85,0.005462277217684359,11.700000000000001,272531.7411150378,19905161.132158026
86,0.007924828983539186,11.600000000000001,255741.22817880227,20004699.90829369
87,0.011497569953977403,11.5,233267.95298260846,20018174.767936435
88,0.016681005372000627,11.3,204302.80972693756,20160158.027093887
89,0.024201282647943932,11.100000000000001,168987.55915926473,20085701.834914308
90,0.03511191734215142,10.8,129253.47925269562,19928928.123632614
91,0.05094138014816386,10.3,89299.29447836612,19753441.836190533
92,0.07390722033525805,9.8,54635.5350341522,18783394.891736332
93,0.10722672220103253,9.1,29402.531735258464,17280014.388624232
94,0.15556761439304786,8.200000000000001,14116.275583930554,15151504.123922447
95,0.22570197196339262,7.2,6262.925414880539,12472145.195818897
96,0.3274549162877732,19.0,2737.4063994604835,130337.09663574545
97,0.47508101621028126,14.200000000000001,1185.5759483969148,6042282.43388793
98,0.6892612104349709,4.2,545.0339036107849,15127925.398197528
99,1.0,3.3000000000000003,271.38907144225044,16065120.225524943
