,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,15.200000000000001,5584403.714619885,2502192668.096183
1,1.0974987654930568e-08,15.100000000000001,5501551.259034734,2332220908.135997
2,1.204503540258781e-08,15.0,5418689.713680586,2172368805.1868424
3,1.3219411484660288e-08,15.0,5335819.588494011,1969870256.5143168
4,1.4508287784959402e-08,14.9,5252937.67890249,1833603369.8110404
5,1.592282793341094e-08,14.8,5170044.44442384,1705735037.7731698
6,1.747528400007683e-08,14.8,5087139.813362281,1546277954.6907167
7,1.9179102616724886e-08,14.700000000000001,5004220.785582291,1437528948.589982
8,2.104904144512022e-08,14.600000000000001,4921287.221947687,1335680886.2073846
9,2.310129700083158e-08,14.5,4838337.900392217,1240379057.963308
10,2.5353644939701113e-08,14.5,4755372.621530125,1123988915.9132152
11,2.782559402207126e-08,14.4,4672387.9428998055,1043169681.7423359
12,3.053855508833412e-08,14.3,4589383.352938997,967667046.9352086
13,3.351602650938841e-08,14.200000000000001,4506357.156986651,897182877.1128975
14,3.678379771828634e-08,14.200000000000001,4423308.942417417,812621308.7722344
15,4.037017258596558e-08,14.100000000000001,4340234.396529197,752991682.1817173
16,4.4306214575838774e-08,14.0,4257132.700506359,697401156.03302
17,4.8626015800653535e-08,13.9,4174001.649652343,645608408.4827484
18,5.3366992312063125e-08,13.8,4090839.0053524,597382565.3278606
19,5.857020818056673e-08,13.8,4007643.052633632,540691789.9928812
20,6.42807311728432e-08,13.700000000000001,3924409.129969564,499998922.5680844
21,7.054802310718646e-08,13.600000000000001,3841135.4630778106,462150414.97611266
22,7.742636826811277e-08,13.5,3757818.693561415,426965498.4129328
23,8.497534359086438e-08,13.4,3674455.615241356,394272748.65660495
24,9.3260334688322e-08,13.3,3591042.544493281,363909856.9448779
25,1.0235310218990269e-07,13.200000000000001,3507575.55661701,335723411.4662581
26,1.1233240329780266e-07,13.100000000000001,3424050.55273771,309568665.232226
27,1.232846739442066e-07,13.100000000000001,3340463.952177228,279699542.3925469
28,1.3530477745798075e-07,13.0,3256809.0277688755,257705844.5064892
29,1.4849682622544636e-07,12.9,3173081.435988856,237314097.7176103
30,1.6297508346206436e-07,12.8,3089275.951275887,218415013.18031576
31,1.7886495290574352e-07,12.700000000000001,3005386.286334445,200906003.03815648
32,1.9630406500402725e-07,12.600000000000001,2921406.035475722,184690906.67705125
33,2.1544346900318867e-07,12.4,2837327.364031639,172886508.01683998
34,2.3644894126454072e-07,12.3,2753144.7080820175,158709320.1520352
35,2.5950242113997374e-07,12.200000000000001,2668848.949558135,145598548.5900965
36,2.848035868435805e-07,12.100000000000001,2584431.235720512,133478543.09466738
37,3.125715849688235e-07,12.0,2499881.8889246196,122278819.9770695
38,3.4304692863149193e-07,11.9,2415190.2501793485,111933750.01690245
39,3.764935806792471e-07,11.700000000000001,2330343.4622124014,104211576.43401389
40,4.1320124001153343e-07,11.600000000000001,2245330.308156434,95233227.74721348
41,4.534878508128582e-07,11.5,2160134.692235187,86953530.07855408
42,4.977023564332114e-07,11.4,2074739.244511377,79322275.09081341
43,5.462277217684337e-07,11.200000000000001,1989122.7265149376,73547915.66860083
44,5.994842503189409e-07,19.0,1903263.932431414,599456.792635757
45,6.579332246575682e-07,19.0,1817130.5618894282,535783.3981640498
46,7.220809018385472e-07,19.0,1730686.31837501,477838.1215704501
47,7.924828983539186e-07,19.0,1643887.3927241194,425064.5165904951
48,8.697490026177835e-07,19.0,1556673.0396536433,376948.16246253176
49,9.545484566618346e-07,19.0,1468968.5458833768,333011.2664288179
50,1.0476157527896663e-06,10.3,1380670.0780843562,38641863.66137095
51,1.1497569953977357e-06,10.100000000000001,1291641.533073355,35534314.52716926
52,1.261856883066021e-06,10.0,1201696.6417532945,32129122.941669036
53,1.3848863713938746e-06,9.9,1110575.1085599042,29047861.74630934
54,1.519911082952933e-06,9.8,1017912.7408782096,26276059.082068715
55,1.6681005372000591e-06,9.8,923190.4928817955,23416906.561434474
56,1.8307382802953698e-06,9.700000000000001,825648.9971834635,21269721.244912483
57,2.0092330025650458e-06,9.700000000000001,724161.4796011238,19073318.642605036
58,2.2051307399030456e-06,9.8,617001.7499132324,16897645.223657224
59,2.4201282647943835e-06,10.0,501481.0680197649,14804174.886837926
60,2.656087782946684e-06,10.200000000000001,373584.16864473175,13054084.376162648
61,2.9150530628251817e-06,10.600000000000001,229903.87940191134,11141964.39939227
62,3.1992671377973847e-06,10.700000000000001,88730.34946582044,9550514.792499607
63,3.5111917342151347e-06,9.600000000000001,17511.09103406689,8558813.336320976
64,3.853528593710536e-06,7.800000000000001,3091.0188759496664,7620574.197368617
65,4.229242874389499e-06,6.0,714.3526937352135,6546464.868357325
66,4.641588833612782e-06,4.4,223.18289178160958,5404922.426423898
67,5.094138014816386e-06,3.0,89.18145346988543,4322150.540788136
68,5.590810182512223e-06,1.9000000000000001,42.623859199450315,3339668.5246477835
69,6.1359072734131755e-06,1.2000000000000002,23.873751506823808,2509866.7063054633
70,6.7341506577508285e-06,0.7000000000000001,14.431865101444101,1888157.5778100728
71,7.390722033525775e-06,0.5,10.460718092354902,1431010.389322555
