,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,8981158.56102461,1886424.2100167887
1,1.0974987654930568e-08,19.0,8822354.42088417,1886417.0228872765
2,1.204503540258781e-08,19.0,8654956.590377085,1886408.9363423241
3,1.3219411484660288e-08,19.0,8479076.809781428,1886399.8111170814
4,1.4508287784959402e-08,19.0,8294924.643029019,1886389.4654393978
5,1.592282793341094e-08,19.0,8102814.033928786,1886377.691165777
6,1.747528400007683e-08,19.0,7903167.5397050455,1886364.1065830765
7,1.9179102616724886e-08,19.0,7696517.128006011,1886348.6541587107
8,2.104904144512022e-08,19.0,7483501.312818527,1886330.6734035797
9,2.310129700083158e-08,19.0,7264859.436302634,1886309.6388705533
10,2.5353644939701113e-08,19.0,7041418.801546542,1886284.8093772926
11,2.782559402207126e-08,19.0,6814080.100700185,1886255.1336887956
12,3.053855508833412e-08,19.0,6583796.710937178,1886219.2783073839
13,3.351602650938841e-08,19.0,6351552.930538643,1886175.15303198
14,3.678379771828634e-08,19.0,6118339.046096839,1886120.0095184902
15,4.037017258596558e-08,19.0,5885125.116160719,1886049.6721145657
16,4.4306214575838774e-08,19.0,5652837.760376342,1885957.927580236
17,4.8626015800653535e-08,19.0,5422338.449127445,1885835.2358637203
18,5.3366992312063125e-08,19.0,5194407.579551496,1885666.6385889275
19,5.857020818056673e-08,19.0,4969733.0416649645,1885428.1631497217
20,6.42807311728432e-08,19.0,4748905.506404222,1885080.1913227886
21,7.054802310718646e-08,19.0,4532419.335201712,1884556.4120599364
22,7.742636826811277e-08,19.0,4320678.562248394,1883742.7866074305
23,8.497534359086438e-08,19.0,4114006.794455085,1882440.2621676177
24,9.3260334688322e-08,19.0,3912658.930777503,1880297.0104518556
25,1.0235310218990269e-07,19.0,3716833.1994194854,1876689.4022724477
26,1.1233240329780266e-07,19.0,3526682.6191377123,1870523.407658697
27,1.232846739442066e-07,19.0,3342324.384605364,1859942.0880027094
28,1.3530477745798075e-07,19.0,3163847.39301919,1842002.2127134947
29,1.4849682622544636e-07,19.0,2991317.4737458425,1812604.6236798
30,1.6297508346206436e-07,19.0,2824780.905612168,1767260.6409865473
31,1.7886495290574352e-07,19.0,2664266.466157076,1703089.0817379553
32,1.9630406500402725e-07,18.6,2509783.4904941604,7975540.2159221405
33,2.1544346900318867e-07,18.2,2361333.5702209836,13396246.342294877
34,2.3644894126454072e-07,17.8,2218897.568822122,18004185.649069734
35,2.5950242113997374e-07,17.400000000000002,2082441.624092508,21862663.872008976
36,2.848035868435805e-07,17.0,1951917.2047383613,25049615.73352757
37,3.125715849688235e-07,16.6,1827261.3186717313,27647969.08966346
38,3.4304692863149193e-07,16.2,1708396.8421298075,29739063.90436008
39,3.764935806792471e-07,15.8,1595232.960827352,31399104.182095595
40,4.1320124001153343e-07,15.5,1487666.8013238518,31879782.43556447
41,4.534878508128582e-07,15.100000000000001,1385580.0380095392,32941265.43541906
42,4.977023564332114e-07,14.8,1288846.748394636,33047502.096069124
43,5.462277217684337e-07,14.4,1197326.2900863704,33714391.397157334
44,5.994842503189409e-07,14.100000000000001,1110872.297220429,33608877.22705767
45,6.579332246575682e-07,13.8,1029326.6077000817,33465236.57330033
46,7.220809018385472e-07,13.5,952524.4166514392,33306929.095594466
47,7.924828983539186e-07,13.3,880295.3688804437,32639426.022070624
48,8.697490026177835e-07,13.0,812460.4982592692,32537231.84167984
49,9.545484566618346e-07,12.8,748840.3924874538,32004543.959973067
50,1.0476157527896663e-06,12.600000000000001,689248.9725572898,31559927.127545673
51,1.1497569953977357e-06,12.4,633498.2842358539,31206045.890970923
52,1.261856883066021e-06,12.200000000000001,581397.9570115578,30944640.5832416
53,1.3848863713938746e-06,12.100000000000001,532756.4116954384,30381976.669156656
54,1.519911082952933e-06,11.9,487376.7552832847,30325394.36389928
55,1.6681005372000591e-06,11.8,445063.4753849798,29995744.81906426
56,1.8307382802953698e-06,11.700000000000001,405615.00035321905,29790945.159489676
57,2.0092330025650458e-06,11.700000000000001,368828.5137320128,29355444.60977057
58,2.2051307399030456e-06,11.600000000000001,334495.02981665864,29425508.692866124
59,2.4201282647943835e-06,11.600000000000001,302407.0211249458,29290908.35446683
60,2.656087782946684e-06,11.600000000000001,272352.664865527,29324266.41983478
61,2.9150530628251817e-06,11.700000000000001,244122.5564483127,29181626.872775286
62,3.1992671377973847e-06,11.700000000000001,217506.9634641828,29596395.55053256
63,3.5111917342151347e-06,11.8,192305.3997353238,29863112.17939345
64,3.853528593710536e-06,12.0,168324.5638484815,29977206.758110028
65,4.229242874389499e-06,12.200000000000001,145385.49724686443,30312695.617525145
66,4.641588833612782e-06,12.4,123338.00302566783,30874502.00997134
67,5.094138014816386e-06,12.700000000000001,102086.11705820588,31203501.238098666
68,5.590810182512223e-06,13.0,81637.58819772243,31617247.395100478
69,6.1359072734131755e-06,13.3,62205.933387136654,31922332.356769867
70,6.7341506577508285e-06,13.600000000000001,44354.800365531686,31735526.802551784
71,7.390722033525775e-06,13.700000000000001,29066.944056003722,31551274.790938783
72,8.111308307896873e-06,13.5,17408.38596744553,31308306.071720272
73,8.902150854450392e-06,13.100000000000001,9718.276536420964,30128876.74079659
74,9.770099572992246e-06,12.4,5260.208063894375,28585983.933191128
75,1.0722672220103253e-05,11.600000000000001,2869.539936737165,26258134.810009953
76,1.1768119524349992e-05,10.700000000000001,1617.339251925405,23643949.63022775
77,1.2915496650148827e-05,9.8,953.2005732321999,20828792.783476707
78,1.4174741629268077e-05,9.0,590.1408662920894,17921666.543227226
79,1.5556761439304724e-05,8.200000000000001,382.88663277835707,15272236.896978894
80,1.7073526474706923e-05,7.300000000000001,258.2266825417326,13012354.490463872
81,1.8738174228603867e-05,6.4,180.22500838133487,11024100.560406648
82,2.0565123083486515e-05,5.5,129.43037433855443,9318757.60105628
83,2.2570197196339216e-05,4.7,96.09039062909616,7855195.331264337
84,2.477076355991714e-05,3.8000000000000003,71.86248352195571,6697219.053225817
85,2.71858824273294e-05,3.1,55.75589679666267,5725449.130289853
86,2.9836472402833404e-05,2.5,44.237861474118716,4948848.053976816
87,3.274549162877732e-05,2.1,36.787040003244876,4320798.619735766
88,3.5938136638046256e-05,1.8,31.52226942061062,3825054.703464161
89,3.944206059437664e-05,1.6,27.960660733312242,3430813.369859745
90,4.328761281083062e-05,1.4000000000000001,24.842925246020393,3121632.9860945484
91,4.750810162102793e-05,1.3,23.002078156429572,2869007.735012673
92,5.214008287999695e-05,1.2000000000000002,21.357277360296546,2665983.0981926396
93,5.72236765935022e-05,1.1,19.85379203663013,2500887.772264652
94,6.28029144183426e-05,1.0,18.446793549348946,2365126.852612444
95,6.89261210434971e-05,1.0,18.10199622350565,2247090.0273924316
