,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,11.600000000000001,139026.46992605837,33629165.54019834
1,11.768119524349984,11.700000000000001,140033.35904879353,32607320.967821755
2,13.848863713938732,11.700000000000001,141097.19027714542,31998164.890138783
3,16.297508346206442,11.8,142216.1700595187,30985171.97397943
4,19.179102616724887,11.8,143384.17995186136,30377770.032909185
5,22.570197196339205,11.9,144598.767959474,29378616.557657544
6,26.560877829466868,11.9,145853.62766573374,28775741.407497894
7,31.25715849688235,12.0,147146.4588738295,27794447.749032497
8,36.783797718286344,12.0,148471.3883376624,27198257.97544557
9,43.28761281083057,12.100000000000001,149826.84447373537,26237840.841338772
10,50.9413801481638,12.100000000000001,151207.74522677626,25649878.902110346
11,59.94842503189409,12.200000000000001,152613.5428566439,24712462.850785896
12,70.54802310718642,12.3,154041.0843679724,23790514.379003733
13,83.02175681319744,12.4,155488.7543614919,22884564.827586744
14,97.70099572992251,12.4,156954.43091672641,22323885.215394393
15,114.97569953977356,12.5,158439.32104678324,21443536.239224363
16,135.30477745798075,12.600000000000001,159942.07145794044,20579957.429544535
17,159.22827933410923,12.700000000000001,161462.6947712744,19733342.321163755
18,187.3817422860383,12.8,163001.5420336041,18903830.19773062
19,220.51307399030455,12.9,164559.29482045997,18091518.61659242
20,259.5024211399737,13.0,166136.95885690683,17296473.623239256
21,305.3855508833416,13.100000000000001,167735.8661389416,16518739.190680508
22,359.38136638046257,13.200000000000001,169357.69076083248,15758343.7503561
23,422.9242874389499,13.3,171004.4696734826,15015307.241569063
24,497.70235643321087,13.4,172678.6298165279,14289641.533609467
25,585.7020818056661,13.600000000000001,174384.0530977381,13339517.969617514
26,689.2612104349695,13.700000000000001,176122.09442489195,12656700.941798016
27,811.1308307896873,13.9,177898.6123364126,11765504.089733733
28,954.5484566618337,14.0,179716.11989569128,11125574.873549199
29,1123.3240329780276,14.200000000000001,181581.75802749494,10293348.219975164
30,1321.9411484660286,14.4,183500.41652511465,9494606.172509963
31,1555.6761439304723,14.600000000000001,185478.8210832596,8729337.031353105
32,1830.7382802953678,14.8,187524.59642914575,7997519.975260435
33,2154.4346900318824,15.0,189646.34699980114,7299128.3140610475
34,2535.3644939701117,15.3,191854.77387352957,6464139.212793969
35,2983.6472402833374,15.600000000000001,194159.6561021637,5678208.28783026
36,3511.191734215131,15.9,196573.00147586316,4941145.281814289
37,4132.0124001153345,16.2,199107.9993513185,4252709.558911231
38,4862.601580065353,16.5,201779.0025064145,3612599.396282275
39,5722.367659350214,16.900000000000002,204602.4778096996,2889149.422842307
40,6734.150657750822,17.3,207593.83401710133,2228240.477040268
41,7924.82898353917,17.7,210770.1678189046,1629004.4779584592
42,9326.0334688322,18.2,214149.90799764846,981354.3774290786
43,10974.987654930545,18.7,217749.25676484848,407406.8514866724
44,12915.496650148827,19.0,221582.26200192358,94810.29653104523
45,15199.11082952933,19.0,225660.26087775992,87932.42529048894
46,17886.495290574352,19.0,229996.24753292478,81240.70137098496
47,21049.04144512022,19.0,234595.8360107707,74756.26018687538
48,24770.76355991709,19.0,239458.52815567903,68500.78057571978
49,29150.53062825176,19.0,244576.21401518586,62495.919575442305
50,34304.692863149125,19.0,249931.81749650813,56762.63407043641
51,40370.1725859655,19.0,255498.28334934384,51320.409858047606
52,47508.101621027934,19.0,261238.14394298344,46186.44706684576
53,55908.10182512223,19.0,267103.86040605884,41374.85429172509
54,65793.32246575682,19.0,273039.0936335802,36895.92465871743
55,77426.36826811278,19.0,278980.91354310303,32755.567024258828
56,91116.27561154887,19.0,284862.80086550995,28954.956901930927
57,107226.72220103232,19.0,290618.1681500428,25490.452330423275
58,126185.6883066021,19.0,296183.9769158113,22353.787766539317
59,148496.82622544636,19.0,301504.03767977783,19532.525287624925
60,174752.8400007683,19.0,306531.6128014652,17010.711125183083
61,205651.23083486516,19.0,311231.08421276254,14769.664634343691
62,242012.82647943834,19.0,315578.61140604404,12788.820139791176
63,284803.5868435799,19.0,319561.8463979578,11046.548410441017
64,335160.2650938841,19.0,323178.90216181974,9520.899951371888
65,394420.6059437656,19.0,326436.8087776761,8190.232778425958
66,464158.8833612772,19.0,329349.7139146037,7033.707159652992
67,546227.7217684337,19.0,331937.0296761839,6031.646558923496
68,642807.311728432,19.0,334221.70695511403,5165.775674364041
69,756463.3275546291,19.0,336228.71040330274,4419.353348884971
70,890215.0854450375,19.0,337983.7704851385,3777.2209601250943
71,1047615.7527896641,19.0,339512.4086759566,3225.786564822047
72,1232846.7394420658,19.0,340839.2208153325,2752.963272007997
