,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,10.9,1684409.1984097487,23096992.82353792
1,1.3219411484660287e-16,10.9,1684409.1984097487,23096992.82353792
2,1.7475284000076829e-16,10.9,1684409.1984097487,23096992.82353792
3,2.310129700083158e-16,10.9,1684409.1984097487,23096992.82353792
4,3.0538555088334123e-16,10.9,1684409.1984097487,23096992.82353792
5,4.03701725859655e-16,10.9,1684409.1984097487,23096992.82353792
6,5.336699231206302e-16,10.9,1684409.1984097487,23096992.82353792
7,7.054802310718631e-16,10.9,1684409.1984097487,23096992.82353792
8,9.32603346883218e-16,10.9,1684409.1984097487,23096992.82353792
9,1.2328467394420634e-15,10.9,1684409.1984097487,23096992.82353792
10,1.6297508346206468e-15,10.9,1684409.1984097487,23096992.82353792
11,2.1544346900318867e-15,10.9,1684409.1984097487,23096992.823537953
12,2.8480358684358048e-15,10.9,1684409.198409749,23096992.823538035
13,3.764935806792471e-15,10.9,1684409.1984097497,23096992.82353806
14,4.977023564332114e-15,10.9,1684409.198409749,23096992.823537942
15,6.5793322465756826e-15,10.9,1684409.1984097415,23096992.823537756
16,8.697490026177834e-15,10.9,1684409.1984097515,23096992.823538
17,1.1497569953977357e-14,10.9,1684409.1984083632,23096992.823496882
18,1.5199110829529332e-14,10.9,1684409.1984083622,23096992.82349699
19,2.009233002565046e-14,10.9,1684409.198405256,23096992.823390905
20,2.656087782946684e-14,10.9,1684409.198406775,23096992.823449932
21,3.5111917342151274e-14,10.9,1684409.198408066,23096992.823488623
22,4.6415888336127915e-14,10.9,1684409.198410647,23096992.82356454
23,6.135907273413189e-14,10.9,1684409.1984073985,23096992.823468793
24,8.111308307896889e-14,10.9,1684409.1984071657,23096992.823461976
25,1.0722672220103254e-13,10.9,1684409.1984066693,23096992.823447842
26,1.4174741629268076e-13,10.9,1684409.1984058511,23096992.823419977
27,1.8738174228603867e-13,10.9,1684409.1984082614,23096992.823498275
28,2.477076355991714e-13,10.9,1684409.1984058446,23096992.823429268
29,3.2745491628777316e-13,10.9,1684409.1984068728,23096992.8234658
30,4.3287612810830614e-13,10.9,1684409.1984031093,23096992.823363632
31,5.72236765935022e-13,10.9,1684409.1984021561,23096992.823352568
32,7.564633275546291e-13,10.9,1684409.1983966122,23096992.820522826
33,1e-12,10.9,1684409.1983862624,23096992.822954815
34,1.3219411484660287e-12,10.9,1684409.1983746076,23096992.82270789
35,1.747528400007683e-12,10.9,1684409.1983475871,23096992.82206463
36,2.310129700083158e-12,10.9,1684409.1983028848,23096992.82101666
37,3.0538555088334124e-12,10.9,1684409.1982231184,23096992.81912944
38,4.03701725859655e-12,10.9,1684409.1980880457,23096992.81597549
39,5.336699231206302e-12,10.9,1684409.1978508325,23096992.81041902
40,7.054802310718631e-12,10.9,1684409.197433113,23096992.800614994
41,9.32603346883218e-12,10.9,1684409.196702166,23096992.783453852
42,1.2328467394420634e-11,10.9,1684409.195424284,23096992.753447678
43,1.62975083462064e-11,10.9,1684409.1931953786,23096992.698663007
44,2.1544346900318868e-11,10.9,1684409.1892993345,23096992.609693263
45,2.848035868435805e-11,10.9,1684409.1824895632,23096992.44984977
46,3.764935806792471e-11,10.9,1684409.1705932545,23096992.170647636
47,4.977023564332114e-11,10.9,1684409.1497989723,23096991.68256965
48,6.579332246575682e-11,10.9,1684409.1134639545,23096990.82975613
49,8.697490026177835e-11,10.9,1684409.0499694766,23096989.339496564
50,1.1497569953977356e-10,10.9,1684408.939000869,23096986.73489072
51,1.5199110829529332e-10,10.9,1684408.745088845,23096982.204131324
52,2.0092330025650458e-10,10.9,1684408.406222805,23096974.25060872
53,2.656087782946695e-10,10.9,1684407.814042476,23096960.34239209
54,3.5111917342151416e-10,10.9,1684406.779227623,23096936.117221914
55,4.6415888336127913e-10,10.9,1684404.9707514085,23096893.630226556
56,6.135907273413189e-10,10.9,1684401.8041024872,23096819.362068444
57,8.111308307896889e-10,10.9,1684396.282350014,23096689.981389266
58,1.0722672220103253e-09,10.9,1684386.6320826863,23096463.553402137
59,1.4174741629268078e-09,10.9,1684369.76781667,23096067.874208275
60,1.873817422860387e-09,10.9,1684340.2980497382,23095376.137059007
61,2.4770763559917138e-09,10.9,1684288.799533973,23094167.78519728
62,3.2745491628777316e-09,10.9,1684198.82759124,23092057.02348509
63,4.328761281083061e-09,10.9,1684041.6223976477,23088370.727580316
64,5.72236765935022e-09,10.9,1683766.9991191302,23081935.20895433
65,7.56463327554629e-09,10.9,1683287.4006507145,23070709.996224497
66,1e-08,10.9,1682450.241868047,23051156.811522547
67,1.3219411484660288e-08,10.8,1680989.1774084577,23397088.08731546
68,1.747528400007683e-08,10.8,1678446.4581416121,23337319.34891389
69,2.310129700083158e-08,10.8,1674029.4002166037,23234610.10833087
70,3.053855508833412e-08,10.8,1666389.1737333273,23060199.538275857
71,4.03701725859655e-08,10.700000000000001,1653267.3039637918,23142391.151239514
72,5.336699231206302e-08,10.700000000000001,1630995.531450657,22666100.569609944
73,7.05480231071866e-08,10.5,1593866.460451445,22647071.312924217
74,9.326033468832218e-08,10.3,1533577.4604565105,22244318.926814616
75,1.2328467394420683e-07,10.100000000000001,1439027.0272331908,21395393.27399783
76,1.6297508346206468e-07,9.8,1296729.4421868743,20417265.643559635
77,2.1544346900318867e-07,9.5,1091832.0462345555,19033719.634043153
78,2.848035868435805e-07,9.1,811809.2640485191,17590734.404834222
79,3.764935806792471e-07,8.9,471668.0449818557,15300289.677345376
80,4.977023564332114e-07,8.8,184017.9065572798,12283267.727413733
81,6.579332246575682e-07,9.200000000000001,54637.50113208434,8351484.181787204
82,8.697490026177835e-07,11.0,17067.21866248465,4190784.3580794637
83,1.1497569953977357e-06,19.0,6221.356341496178,23541.066492018977
84,1.519911082952933e-06,19.0,1088.2039044738765,5866.331160038035
85,2.0092330025650458e-06,2.2,38.457129488955964,51044.77700767171
86,2.656087782946684e-06,1.1,20.055459626257342,27608.782698900035
87,3.5111917342151275e-06,0.8,15.217356642533296,21048.166285592015
88,4.641588833612791e-06,0.7000000000000001,13.471170869596945,18274.90472655741
89,6.135907273413188e-06,0.6000000000000001,12.10781498635932,16969.66954724537
90,8.11130830789689e-06,0.6000000000000001,11.926195159627673,16234.89692305758
91,1.0722672220103253e-05,0.6000000000000001,11.822262307189275,15834.44879450101
92,1.4174741629268077e-05,0.6000000000000001,11.762790688380102,15611.481610472965
93,1.8738174228603867e-05,0.6000000000000001,11.728760387459884,15485.85192297402
94,2.477076355991714e-05,0.6000000000000001,11.709287637063559,15414.59237793776
95,3.274549162877732e-05,0.6000000000000001,11.698144847598597,15374.018933624744
96,4.328761281083062e-05,0.6000000000000001,11.691768615201205,15350.868127662352
97,5.72236765935022e-05,0.6000000000000001,11.688119928136654,15337.641933702296
98,7.56463327554629e-05,0.6000000000000001,11.686032024435097,15330.080508314973
99,0.0001,0.6000000000000001,11.684837252212008,15325.755901451252
