,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,14958155.182386989,59.292163045820786
1,9.581308294981124e-11,19.0,14957758.254486617,68.17611506583636
2,1.1016176237216899e-10,19.0,14957301.745845318,78.3919607608812
3,1.2665925691274435e-10,19.0,14956776.690047292,90.13963017663919
4,1.4562736666730682e-10,19.0,14956172.761363499,103.64914532962722
5,1.6743608354708706e-10,19.0,14955478.07106672,119.18517523906776
6,1.9251080834026304e-10,19.0,14954678.924396701,137.05228866291583
7,2.213406485788902e-10,19.0,14953759.541653622,157.60101420067951
8,2.544879590694509e-10,19.0,14952701.736967186,181.2348348357249
9,2.9259931118459375e-10,19.0,14951484.54261253,208.41826610051214
10,3.364181048830456e-10,19.0,14950083.773898661,239.68619122193778
11,3.8679906946773077e-10,19.0,14948471.52251624,275.6546567579382
12,4.4472493593385817e-10,19.0,14946615.565984791,317.03336734229237
13,5.113256061177633e-10,19.0,14944478.677134627,364.64015799232294
14,5.879001925598856e-10,19.0,14942017.819130722,419.4177875265363
15,6.75942358991407e-10,19.0,14939183.195460686,482.4534128649277
16,7.771694557360145e-10,19.0,14935917.136937553,555.0012624379597
17,8.935560183419373e-10,19.0,14932152.78948883,638.5089828669502
18,1.0273722828683854e-09,19.0,14927812.554739615,734.6483983819315
19,1.1812284691056722e-09,19.0,14922806.246481154,845.35143926983
20,1.3581256955172047e-09,19.0,14917028.889397245,972.8522563077394
21,1.5615145190503214e-09,19.0,14910358.070836483,1119.7362312303158
22,1.7953622416932376e-09,19.0,14902650.78479829,1288.9984411683574
23,2.0642302966597604e-09,19.0,14893739.589722548,1484.1112926418778
24,2.3733632236965027e-09,19.0,14883427.94085649,1709.1057385076654
25,2.7287909690647747e-09,19.0,14871484.524536315,1968.6672617291217
26,3.1374465056603906e-09,19.0,14857636.199866368,2268.2450896659225
27,3.6073010675692158e-09,19.0,14841559.432740428,2614.1931115498246
28,4.1475196369434256e-09,19.0,14822869.496295843,3013.926237038401
29,4.76863971612518e-09,19.0,14801107.025517276,3476.1129708146445
30,5.482776872146399e-09,19.0,14775721.065477753,4010.9039950442443
31,6.303861062955238e-09,19.0,14746047.722280161,4630.205037386663
32,7.2479083551481905e-09,19.0,14711282.989032002,5348.001536355518
33,8.333333333333329e-09,19.0,14670447.49886148,6180.742590489472
34,9.581308294981124e-09,19.0,14622342.663998924,7147.791158544983
35,1.1016176237216898e-08,19.0,14565493.02895555,8271.941748351068
36,1.2665925691274434e-08,19.0,14498073.507156074,9580.005783199449
37,1.4562736666730681e-08,19.0,14417816.796024911,11103.407494823903
38,1.6743608354708703e-08,19.0,14321897.241773937,12878.801094645542
39,1.9251080834026304e-08,19.0,14206789.545761265,14948.510390629597
40,2.213406485788902e-08,19.0,14068104.335457556,17360.611821426603
41,2.5448795906945086e-08,19.0,13900413.835075114,20168.295090295374
42,2.9259931118459377e-08,19.0,13697100.493247455,23427.86592798482
43,3.364181048830456e-08,19.0,13450298.371699868,27194.566059426605
44,3.867990694677316e-08,19.0,13151051.528108511,31515.175272093424
45,4.447249359338591e-08,19.0,12789878.213502146,36416.629973543975
46,5.113256061177643e-08,19.0,12357961.035079647,41891.132405453536
47,5.879001925598867e-08,19.0,11849091.996524222,47881.05720449245
48,6.759423589914056e-08,19.0,11262184.0550001,54270.80315668207
49,7.771694557360161e-08,19.0,10603611.450314568,60895.21946026134
50,8.935560183419353e-08,19.0,9888191.997179812,67570.20652710728
51,1.0273722828683876e-07,19.0,9137815.764634121,74139.09163403642
52,1.1812284691056698e-07,19.0,8377790.311240993,80515.51503359522
53,1.3581256955172047e-07,19.0,7632245.4224034585,86702.27694220416
54,1.5615145190503213e-07,19.0,6920395.665934216,92779.09306084219
55,1.7953622416932378e-07,19.0,6254769.304381572,98868.92366095957
56,2.0642302966597602e-07,19.0,5641404.16415143,105099.72661390803
57,2.3733632236965024e-07,19.0,5081280.975133554,111574.64082168852
58,2.7287909690647745e-07,19.0,4572137.203063034,118355.39378013404
59,3.1374465056603907e-07,19.0,4110075.8052386977,125457.7920128022
60,3.6073010675692155e-07,19.0,3690711.7312313244,132855.5268381288
61,4.1475196369434256e-07,19.0,3309842.6322477474,140488.48925513576
62,4.76863971612518e-07,19.0,2963752.3350532437,148272.9675144399
63,5.482776872146398e-07,19.0,2649276.51841338,156111.88350940397
64,6.303861062955238e-07,19.0,2363743.327637785,163904.05415452868
65,7.24790835514819e-07,19.0,2104866.4259390905,171551.9495775866
66,8.333333333333328e-07,19.0,1870635.196935724,178967.52721293806
67,9.581308294981124e-07,18.900000000000002,1659223.503424606,372154.01794747275
68,1.10161762372169e-06,18.3,1468925.4426850895,1542600.1948869904
69,1.2665925691274434e-06,17.7,1298124.0826754807,2788306.2664243532
70,1.4562736666730682e-06,17.2,1145259.9297576374,3896284.238040801
71,1.6743608354708704e-06,16.7,1008828.7793976811,5052501.251018297
