,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,11.5,1300730.475253138,16806110.683093432
1,1.4508287784959373e-16,11.5,1300730.4752531408,16806110.68309347
2,2.1049041445120218e-16,11.5,1300730.475253137,16806110.68309342
3,3.0538555088334123e-16,11.5,1300730.4752531364,16806110.6830933
4,4.4306214575838864e-16,11.5,1300730.4752531282,16806110.683093276
5,6.428073117284319e-16,11.5,1300730.4752531282,16806110.683093276
6,9.32603346883218e-16,11.5,1300730.4752531375,16806110.683093477
7,1.3530477745798075e-15,11.5,1300730.4752531443,16806110.68309364
8,1.9630406500402685e-15,11.5,1300730.4752531538,16806110.683093823
9,2.8480358684358048e-15,11.5,1300730.4752532316,16806110.683095336
10,4.132012400115335e-15,11.5,1300730.4752530947,16806110.68309309
11,5.994842503189421e-15,11.5,1300730.475253119,16806110.68309372
12,8.697490026177834e-15,11.5,1300730.475253097,16806110.68309355
13,1.2618568830660185e-14,11.5,1300730.4752530705,16806110.6830934
14,1.8307382802953698e-14,11.5,1300730.4752530663,16806110.68309387
15,2.656087782946684e-14,11.5,1300730.4752530495,16806110.68309426
16,3.853528593710535e-14,11.5,1300730.4752530204,16806110.68309489
17,5.590810182512223e-14,11.5,1300730.4752529378,16806110.683095053
18,8.111308307896889e-14,11.5,1300730.4752528525,16806110.683095876
19,1.176811952434999e-13,11.5,1300730.4752526814,16806110.68309637
20,1.7073526474706888e-13,11.5,1300730.4752524418,16806110.68309696
21,2.477076355991714e-13,11.5,1300730.4752521126,16806110.683098473
22,3.593813663804626e-13,11.5,1300730.4752515266,16806110.683098495
23,5.214008287999695e-13,11.5,1300730.4752508944,16806110.683102567
24,7.564633275546291e-13,11.5,1300730.4752496479,16806110.683102466
25,1.097498765493059e-12,11.5,1300730.4752482714,16806110.68311011
26,1.5922827933410938e-12,11.5,1300730.475245818,16806110.68311289
27,2.310129700083158e-12,11.5,1300730.4752427235,16806110.68312532
28,3.351602650938848e-12,11.5,1300730.4752380566,16806110.68314022
29,4.8626015800653536e-12,11.5,1300730.4752310526,16806110.683157757
30,7.054802310718631e-12,11.5,1300730.4752212116,16806110.683188815
31,1.0235310218990269e-11,11.5,1300730.4752069188,16806110.683233608
32,1.4849682622544695e-11,11.5,1300730.4751859324,16806110.68329417
33,2.1544346900318868e-11,11.5,1300730.4751555668,16806110.68338364
34,3.125715849688235e-11,11.5,1300730.475111676,16806110.68351604
35,4.5348785081285915e-11,11.5,1300730.4750476913,16806110.683702786
36,6.579332246575682e-11,11.5,1300730.4749551085,16806110.68397829
37,9.545484566618327e-11,11.5,1300730.4748206865,16806110.684376065
38,1.3848863713938747e-10,11.5,1300730.474625949,16806110.684958305
39,2.009233002565054e-10,11.5,1300730.474343043,16806110.68579633
40,2.915053062825182e-10,11.5,1300730.4739327342,16806110.687014766
41,4.229242874389499e-10,11.5,1300730.4733375341,16806110.688783858
42,6.135907273413189e-10,11.5,1300730.4724739385,16806110.691349614
43,8.902150854450393e-10,11.5,1300730.4712208495,16806110.695069246
