,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,10.100000000000001,472133.0741759482,16096598.73276043
1,1.3219411484660287e-16,10.100000000000001,472133.0741759482,16096598.73276043
2,1.7475284000076829e-16,10.100000000000001,472133.0741759482,16096598.73276043
3,2.310129700083158e-16,10.100000000000001,472133.0741759482,16096598.73276043
4,3.0538555088334123e-16,10.100000000000001,472133.0741759482,16096598.73276043
5,4.03701725859655e-16,10.100000000000001,472133.0741759482,16096598.73276043
6,5.336699231206302e-16,10.100000000000001,472133.0741759482,16096598.73276043
7,7.054802310718631e-16,10.100000000000001,472133.0741759482,16096598.73276043
8,9.32603346883218e-16,10.100000000000001,472133.0741759482,16096598.73276043
9,1.2328467394420634e-15,10.100000000000001,472133.0741759482,16096598.73276043
10,1.6297508346206468e-15,10.100000000000001,472133.0741759482,16096598.73276043
11,2.1544346900318867e-15,10.100000000000001,472133.0741759482,16096598.73276043
12,2.8480358684358048e-15,10.100000000000001,472133.0741759482,16096598.732760388
13,3.764935806792471e-15,10.100000000000001,472133.0741759478,16096598.73276039
14,4.977023564332114e-15,10.100000000000001,472133.07417594804,16096598.73276036
15,6.5793322465756826e-15,10.100000000000001,472133.0741759488,16096598.732760394
16,8.697490026177834e-15,10.100000000000001,472133.0741759468,16096598.732760383
17,1.1497569953977357e-14,10.100000000000001,472133.0741759806,16096598.732769864
18,1.5199110829529332e-14,10.100000000000001,472133.07417598006,16096598.732769838
19,2.009233002565046e-14,10.100000000000001,472133.07417598006,16096598.73276994
20,2.656087782946684e-14,10.100000000000001,472133.0741759782,16096598.73276986
21,3.5111917342151274e-14,10.100000000000001,472133.07417597645,16096598.732769517
22,4.6415888336127915e-14,10.100000000000001,472133.07417597604,16096598.732769465
23,6.135907273413189e-14,10.100000000000001,472133.0741760023,16096598.732777212
24,8.111308307896889e-14,10.100000000000001,472133.0741759887,16096598.732774997
25,1.0722672220103254e-13,10.100000000000001,472133.07417604653,16096598.73279267
26,1.4174741629268076e-13,10.100000000000001,472133.07417598285,16096598.732778762
27,1.8738174228603867e-13,10.100000000000001,472133.0741759556,16096598.732777035
28,2.477076355991714e-13,10.100000000000001,472133.0741758871,16096598.73276879
29,3.2745491628777316e-13,10.100000000000001,472133.07417585456,16096598.732777648
30,4.3287612810830614e-13,10.100000000000001,472133.0741757497,16096598.732780738
31,5.72236765935022e-13,10.100000000000001,472133.07417546,16096598.732756717
32,7.564633275546291e-13,10.100000000000001,472133.07417517656,16096598.732774748
33,1e-12,10.100000000000001,472133.07417442946,16096598.732738744
34,1.3219411484660287e-12,10.100000000000001,472133.07417322986,16096598.732704833
35,1.747528400007683e-12,10.100000000000001,472133.0741712341,16096598.732672917
36,2.310129700083158e-12,10.100000000000001,472133.07416755566,16096598.732565286
37,3.0538555088334124e-12,10.100000000000001,472133.0741612397,16096598.732406398
38,4.03701725859655e-12,10.100000000000001,472133.0741501777,16096598.732122786
39,5.336699231206302e-12,10.100000000000001,472133.0741308516,16096598.731628254
40,7.054802310718631e-12,10.100000000000001,472133.07409713353,16096598.730780821
41,9.32603346883218e-12,10.100000000000001,472133.07403814973,16096598.729281278
42,1.2328467394420634e-11,10.100000000000001,472133.07393500593,16096598.726642273
43,1.62975083462064e-11,10.100000000000001,472133.0737548916,16096598.722067697
44,2.1544346900318868e-11,10.100000000000001,472133.0734400113,16096598.71403843
45,2.848035868435805e-11,10.100000000000001,472133.07289000606,16096598.700078689
46,3.764935806792471e-11,10.100000000000001,472133.07192856935,16096598.675604405
47,4.977023564332114e-11,10.100000000000001,472133.0702485193,16096598.632858263
48,6.579332246575682e-11,10.100000000000001,472133.0673127021,16096598.558191048
49,8.697490026177835e-11,10.100000000000001,472133.0621821187,16096598.427664073
50,1.1497569953977356e-10,10.100000000000001,472133.05321633694,16096598.199581359
51,1.5199110829529332e-10,10.100000000000001,472133.03754834575,16096597.800989673
52,2.0092330025650458e-10,10.100000000000001,472133.01016816124,16096597.104459643
53,2.656087782946695e-10,10.100000000000001,472132.96232053294,16096595.887257382
54,3.5111917342151416e-10,10.100000000000001,472132.8787053768,16096593.760136848
55,4.6415888336127913e-10,10.100000000000001,472132.7325857088,16096590.042964354
56,6.135907273413189e-10,10.100000000000001,472132.4772376839,16096583.547100313
57,8.111308307896889e-10,10.100000000000001,472132.0310107097,16096572.195454963
58,1.0722672220103253e-09,10.100000000000001,472131.2512191586,16096552.358278168
59,1.4174741629268078e-09,10.100000000000001,472129.88851984596,16096517.692731433
60,1.873817422860387e-09,10.100000000000001,472127.5071900565,16096457.115121376
61,2.4770763559917138e-09,10.100000000000001,472123.34582824446,16096351.258452302
62,3.2745491628777316e-09,10.100000000000001,472116.0739733207,16096166.284398032
63,4.328761281083061e-09,10.100000000000001,472103.36694225617,16095843.078099763
64,5.72236765935022e-09,10.100000000000001,472081.1633096254,16095278.391352996
65,7.56463327554629e-09,10.100000000000001,472042.36874625634,16094291.96818157
66,1e-08,10.100000000000001,471974.5952507005,16092569.333875954
67,1.3219411484660288e-08,10.100000000000001,471856.2235296678,16089562.542062728
68,1.747528400007683e-08,10.100000000000001,471649.56186115905,16084318.924045984
69,2.310129700083158e-08,10.100000000000001,471289.0122495339,16075188.45316631
70,3.053855508833412e-08,10.100000000000001,470660.7563923085,16059332.140628245
71,4.03701725859655e-08,10.100000000000001,469568.3514969986,16031921.133778663
72,5.336699231206302e-08,10.100000000000001,467675.83743607474,15984903.347345937
73,7.05480231071866e-08,10.100000000000001,464417.6027497455,15905300.542016014
74,9.326033468832218e-08,10.100000000000001,458866.46679318295,15773365.377553632
75,1.2328467394420683e-07,10.100000000000001,449569.06291624135,15561820.69236418
76,1.6297508346206468e-07,10.0,434409.11359463684,15491433.915695718
77,2.1544346900318867e-07,10.0,410669.4174641738,15021465.057160353
78,2.848035868435805e-07,10.100000000000001,375559.3492768114,14166442.753727013
79,3.764935806792471e-07,10.100000000000001,327469.21057142376,13433298.576108098
80,4.977023564332114e-07,10.3,267758.35835624614,12224375.35636988
81,6.579332246575682e-07,10.700000000000001,201998.99053737338,10711826.532011762
82,8.697490026177835e-07,11.700000000000001,139189.21466488874,8366495.8414473245
83,1.1497569953977357e-06,13.700000000000001,88391.73507146424,5057289.558505494
84,1.519911082952933e-06,18.3,54000.98871542233,535988.7197120833
85,2.0092330025650458e-06,19.0,33324.72258633824,58909.06570236763
86,2.656087782946684e-06,19.0,18269.932858639673,46263.75180393701
87,3.5111917342151275e-06,19.0,1650.312017240501,4277.183656886848
88,4.641588833612791e-06,0.4,8.696801105997269,18321.02697028158
89,6.135907273413188e-06,0.4,8.59508534617543,7477.877497225856
90,8.11130830789689e-06,0.4,8.535300172249654,5256.831484098744
91,1.0722672220103253e-05,0.4,8.500555185752452,4454.089340871506
92,1.4174741629268077e-05,0.4,8.48049487811773,4088.1918499243548
93,1.8738174228603867e-05,0.4,8.4689567552733,3902.531909402797
94,2.477076355991714e-05,0.4,8.46233482154561,3803.061347236754
95,3.274549162877732e-05,0.4,8.458539136021553,3748.195664479349
96,4.328761281083062e-05,0.4,8.456365013085382,3717.4443557358572
97,5.72236765935022e-05,0.4,8.455120215989579,3700.053449014865
98,7.56463327554629e-05,0.4,8.454407671271904,3690.1683125075197
99,0.0001,0.4,8.453999853951364,3684.533304042205
