,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,11.9,146866.5457708493,32895779.39991989
1,1.3219411484660287e-16,11.9,146866.5457708493,32895779.39991989
2,1.7475284000076829e-16,11.9,146866.5457708493,32895779.39991989
3,2.310129700083158e-16,11.9,146866.5457708493,32895779.39991989
4,3.0538555088334123e-16,11.9,146866.5457708493,32895779.39991989
5,4.03701725859655e-16,11.9,146866.5457708493,32895779.39991989
6,5.336699231206302e-16,11.9,146866.5457708493,32895779.39991989
7,7.054802310718631e-16,11.9,146866.5457708493,32895779.39991989
8,9.32603346883218e-16,11.9,146866.5457708493,32895779.39991989
9,1.2328467394420634e-15,11.9,146866.5457708493,32895779.39991989
10,1.6297508346206468e-15,11.9,146866.5457708493,32895779.39991989
11,2.1544346900318867e-15,11.9,146866.5457708493,32895779.39991985
12,2.8480358684358048e-15,11.9,146866.5457708493,32895779.399919886
13,3.764935806792471e-15,11.9,146866.5457708493,32895779.399919678
14,4.977023564332114e-15,11.9,146866.54577084922,32895779.39992694
15,6.5793322465756826e-15,11.9,146866.54577084922,32895779.399931155
16,8.697490026177834e-15,11.9,146866.54577084945,32895779.39992695
17,1.1497569953977357e-14,11.9,146866.54577084898,32895779.399923842
18,1.5199110829529332e-14,11.9,146866.54577085233,32895779.39983306
19,2.009233002565046e-14,11.9,146866.54577082372,32895779.40147513
20,2.656087782946684e-14,11.9,146866.54576866547,32895779.408064764
21,3.5111917342151274e-14,11.9,146866.545767939,32895779.398639522
22,4.6415888336127915e-14,11.9,146866.54577114727,32895779.396009106
23,6.135907273413189e-14,11.9,146866.5457707792,32895779.401794244
24,8.111308307896889e-14,11.9,146866.54576999717,32895779.44682639
25,1.0722672220103254e-13,11.9,146866.5457678516,32895779.39883543
26,1.4174741629268076e-13,11.9,146866.5457666299,32895779.495150626
27,1.8738174228603867e-13,11.9,146866.54576832568,32895779.406514637
28,2.477076355991714e-13,11.9,146866.54577003588,32895779.430460934
29,3.2745491628777316e-13,11.9,146866.5457685108,32895779.407545995
30,4.3287612810830614e-13,11.9,146866.54577185024,32895779.55172941
31,5.72236765935022e-13,11.9,146866.54560343307,32895779.614777673
32,7.564633275546291e-13,11.9,146866.54579099923,32895779.426094126
33,1e-12,11.9,146866.54617133076,32895779.196142115
34,1.3219411484660287e-12,11.9,146866.54580630633,32895779.208555505
35,1.747528400007683e-12,11.9,146866.54576534938,32895779.43133734
36,2.310129700083158e-12,11.9,146866.5456445493,32895779.595359586
37,3.0538555088334124e-12,11.9,146866.54581009827,32895779.459983055
38,4.03701725859655e-12,11.9,146866.54556731397,32895779.466941323
39,5.336699231206302e-12,11.9,146866.5458133489,32895779.387478128
40,7.054802310718631e-12,11.9,146866.5457992823,32895779.36601317
41,9.32603346883218e-12,11.9,146866.54574827198,32895779.543301962
42,1.2328467394420634e-11,11.9,146866.5457271185,32895779.46933206
43,1.62975083462064e-11,11.9,146866.54576279502,32895779.61266263
44,2.1544346900318868e-11,11.9,146866.545934521,32895779.71451236
45,2.848035868435805e-11,11.9,146866.5455428959,32895779.387453225
46,3.764935806792471e-11,11.9,146866.5453995716,32895779.449570213
47,4.977023564332114e-11,11.9,146866.5450946915,32895779.36893779
48,6.579332246575682e-11,11.9,146866.54465184273,32895779.293389242
49,8.697490026177835e-11,11.9,146866.54370788523,32895778.900483884
50,1.1497569953977356e-10,11.9,146866.5422227187,32895778.516707804
51,1.5199110829529332e-10,11.9,146866.53950377493,32895777.688722212
52,2.0092330025650458e-10,11.9,146866.53504830916,32895776.80482883
53,2.656087782946695e-10,11.9,146866.52655793235,32895774.554155525
54,3.5111917342151416e-10,11.9,146866.51215110786,32895771.293325283
55,4.6415888336127913e-10,11.9,146866.4868488322,32895765.260708302
56,6.135907273413189e-10,11.9,146866.44307216487,32895754.682059247
57,8.111308307896889e-10,11.9,146866.36675474886,32895735.903881323
58,1.0722672220103253e-09,11.9,146866.23223883146,32895703.69107194
59,1.4174741629268078e-09,11.9,146865.99808965623,32895647.05209978
60,1.873817422860387e-09,11.9,146865.5884277659,32895548.192559242
61,2.4770763559917138e-09,11.9,146864.87242901465,32895374.886035927
62,3.2745491628777316e-09,11.9,146863.62145346397,32895073.05798219
