,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,671662.6917470177,2218608.6609128816
1,1.0974987654930568e-08,19.0,664455.747076272,2218186.913315617
2,1.204503540258781e-08,19.0,656766.9846199731,2217688.0930555826
3,1.3219411484660288e-08,19.0,648582.0272802906,2217093.45378443
4,1.4508287784959402e-08,19.0,639888.7987413185,2216378.2609751504
5,1.592282793341094e-08,19.0,630677.8978500885,2215509.621659526
6,1.747528400007683e-08,19.0,620942.9628021019,2214443.1993367234
7,1.9179102616724886e-08,19.0,610681.0263477366,2213118.256697161
8,2.104904144512022e-08,19.0,599892.7917361571,2211450.6243906193
9,2.310129700083158e-08,19.0,588582.9124127357,2209321.6365013104
10,2.5353644939701113e-08,19.0,576760.1396976467,2206561.7747563105
11,2.782559402207126e-08,19.0,564437.4608242357,2202925.157143965
12,3.053855508833412e-08,19.0,551632.124263806,2198050.6904260153
13,3.351602650938841e-08,19.0,538365.6046485937,2191402.851779447
14,3.678379771828634e-08,19.0,524663.4979559546,2182184.1256438633
15,4.037017258596558e-08,19.0,510555.3328303755,2169214.2686172384
16,4.4306214575838774e-08,19.0,496074.3580604781,2150786.26948668
17,4.8626015800653535e-08,19.0,481257.25247208634,2124557.3448320455
18,5.3366992312063125e-08,19.0,466143.81599144806,2087624.2278669581
19,5.857020818056673e-08,19.0,450776.61233999406,2037022.3968239771
20,6.42807311728432e-08,19.0,435200.57519816625,1970773.8176904735
21,7.054802310718646e-08,18.6,419459.5559466114,9292536.66141558
22,7.742636826811277e-08,18.3,403607.0002264771,14039412.476238836
23,8.497534359086438e-08,17.900000000000002,387689.95728363306,19744701.292834338
24,9.3260334688322e-08,17.6,371760.0105796171,23164231.76591804
25,1.0235310218990269e-07,17.2,355864.7978861043,27385214.70101739
26,1.1233240329780266e-07,16.900000000000002,340055.33273052494,29628731.660282698
27,1.232846739442066e-07,16.5,324377.44973302353,32580155.55014764
28,1.3530477745798075e-07,16.2,308879.2454604567,33852085.73229834
29,1.4849682622544636e-07,15.8,293602.53040183673,35767349.643890046
30,1.6297508346206436e-07,15.5,278590.4157471992,36271159.50532287
31,1.7886495290574352e-07,15.100000000000001,263878.86787927593,37365372.53761856
32,1.9630406500402725e-07,14.8,249504.41079646896,37281606.36480254
33,2.1544346900318867e-07,14.4,235495.82841874997,37741223.87042399
34,2.3644894126454072e-07,14.100000000000001,221881.95885382712,37223969.33277559
35,2.5950242113997374e-07,13.700000000000001,208683.57075103436,37207745.58344519
36,2.848035868435805e-07,13.4,195921.2234687632,36387457.76545374
