,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,13.200000000000001,1830427.3176449465,761695044.760208
1,1.0974987654930568e-08,13.200000000000001,1799274.5523798848,690695901.5946373
2,1.204503540258781e-08,13.100000000000001,1768113.1483472842,639108140.7922645
3,1.3219411484660288e-08,13.100000000000001,1736944.8555471145,579467678.7389661
4,1.4508287784959402e-08,13.0,1705767.415537545,535972865.0842969
5,1.592282793341094e-08,12.9,1674581.5737886105,495576482.21885985
6,1.747528400007683e-08,12.9,1643388.2083717326,449235359.9551937
7,1.9179102616724886e-08,12.8,1612185.2008765202,415204915.1726201
8,2.104904144512022e-08,12.700000000000001,1580973.513118511,383623790.50076455
9,2.310129700083158e-08,12.700000000000001,1549754.28115951,347660887.8113667
10,2.5353644939701113e-08,12.600000000000001,1518525.675165191,321078466.8441568
11,2.782559402207126e-08,12.600000000000001,1487290.0445497087,290919387.9277331
12,3.053855508833412e-08,12.5,1456045.9594288894,268554258.1471234
13,3.351602650938841e-08,12.4,1424795.1094066564,247822813.01271233
14,3.678379771828634e-08,12.4,1393539.5066557976,224464056.82438293
15,4.037017258596558e-08,12.3,1362278.4075848723,207036607.25479627
16,4.4306214575838774e-08,12.200000000000001,1331014.3748836746,190894381.00834596
17,4.8626015800653535e-08,12.200000000000001,1299750.433620939,172827493.3494742
18,5.3366992312063125e-08,12.100000000000001,1268486.9614537053,159270274.37909868
19,5.857020818056673e-08,12.0,1237227.8531883685,146722563.23465452
20,6.42807311728432e-08,12.0,1205977.6512455125,132769638.20594503
21,7.054802310718646e-08,11.9,1174738.4273121287,122241930.51542933
22,7.742636826811277e-08,11.9,1143517.0555217385,110575444.70088701
23,8.497534359086438e-08,11.8,1112317.271981058,101748339.62202385
24,9.3260334688322e-08,11.700000000000001,1081146.6433464615,93589145.57286583
25,1.0235310218990269e-07,11.700000000000001,1050013.8272126568,84604334.27220935
26,1.1233240329780266e-07,11.600000000000001,1018925.673181412,77771806.9219271
27,1.232846739442066e-07,11.5,987893.2068554756,71462169.98365465
28,1.3530477745798075e-07,11.4,956927.9029657757,65637803.25469565
29,1.4849682622544636e-07,11.4,926043.8037770753,59281211.96869692
30,1.6297508346206436e-07,11.3,895253.559861512,54414139.53129782
31,1.7886495290574352e-07,11.200000000000001,864574.6334373509,49926204.94381328
32,1.9630406500402725e-07,11.100000000000001,834025.4335541023,45789763.56680659
33,2.1544346900318867e-07,11.100000000000001,803627.4564173643,41314150.57351007
34,2.3644894126454072e-07,11.0,773401.3240481365,37866460.11194596
35,2.5950242113997374e-07,10.9,743372.939440584,34692745.885059714
36,2.848035868435805e-07,10.8,713569.5615520726,31772732.04294016
37,3.125715849688235e-07,10.700000000000001,684020.8345055192,29087549.34289798
38,3.4304692863149193e-07,10.600000000000001,654758.7971416025,26619642.0475955
39,3.764935806792471e-07,10.600000000000001,625818.8498231048,23983948.54535856
40,4.1320124001153343e-07,10.5,597235.6185108278,21937146.346387908
41,4.534878508128582e-07,10.4,569048.8047923724,20058825.030096054
42,4.977023564332114e-07,10.3,541298.9407506846,18336134.84304271
43,5.462277217684337e-07,10.200000000000001,514028.0362965026,16757126.92200242
44,5.994842503189409e-07,10.100000000000001,487279.13423303084,15310690.946751038
