,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,T_0,V_0
0,1.0,1.3239414447421098,3.6206493900577783,1200000.0,2.2400650710098044e-06,0.16208195009863147,10.000000052154064,0.012,616873.3333333334,25.0
1,2.0,1.1801037594443884,2.6322827927897734,1200000.0,1.53515810034242e-06,0.20968216487586488,10.0,0.012,477428.0,25.0
2,3.0,1.310103725992909,2.4348339571001674,1200000.0,1.6085952835247599e-06,0.24121481899761932,10.00000000745058,0.012,337982.6666666667,25.0
3,4.0,1.1151252476061893,3.418241159221253,1200000.0,2.0499568640779153e-06,0.16691850960033605,10.0,0.012,616873.3333333334,25.0
4,5.0,1.4202449798744534,2.783610053434856,1200000.0,1.6779729440177758e-06,99.9999935192896,27968334.99068555,0.012,576390.6666666666,25.0
5,6.0,1.5474555663638525,2.547746966918254,1200000.0,1.9037004847077737e-06,99.99999997793535,28758647.343779817,0.012,378465.3333333333,25.0
6,7.0,1.1939076209390365,2.730803736870712,1200000.0,1.662394960678751e-06,0.21597317539944072,10.000000074505806,0.012,436945.3333333333,25.0
7,8.0,1.2336842502267655,2.9907143855112537,1200000.0,1.903403857595239e-06,0.1847113591885261,10.0,0.012,517910.6666666667,25.0
8,9.0,1.2191919740280348,2.485833577763927,1200000.0,1.438786537634992e-06,0.230111861856642,10.000000335276127,0.012,418948.0,25.0
9,10.0,1.4482161790410675,2.666224934912215,1200000.0,1.5108304321745272e-06,99.99999999626402,26638427.04032703,0.012,576390.6666666666,25.0
10,11.0,1.3563150043879542,2.605922728942808,1200000.0,1.7128031397200597e-06,99.99999999714446,26756598.78708845,0.012,477428.0,25.0
11,12.0,1.4177133802742228,2.514203577109697,1200000.0,1.605341651044643e-06,99.99999999660608,21901000.11878877,0.012,517910.6666666667,25.0
12,13.0,1.1546749388904118,2.4284627553681872,1200000.0,1.5522686434338276e-06,0.23027704251441605,10.0,0.012,378465.3333333333,25.0
13,14.0,1.5061728896849758,2.3332071370429404,1200000.0,1.7132532550805373e-06,99.99999999697368,26522453.1366624,0.012,337982.6666666667,25.0
14,15.0,1.4694999690174428,2.7478060717632005,1200000.0,1.728973913153914e-06,99.99999996535021,33851015.320977464,0.012,477428.0,25.0
15,16.0,1.6103076472076276,2.309978093317646,1200000.0,1.8371712397392289e-06,99.99999999962097,25834841.430323455,0.012,297500.0,25.0
16,17.0,1.3962297695136079,2.7658224003303857,1200000.0,1.9028930760621552e-06,99.99999999994728,29984524.548695732,0.012,477428.0,25.0
17,18.0,1.3540331251098254,2.8054470220655645,1200000.0,1.9829464354035342e-06,99.99999999989717,25577035.47878593,0.012,517910.6666666667,25.0
18,19.0,1.4242231749294914,2.4544197597639936,1200000.0,1.5590725438934826e-06,99.99999994971722,31856119.91171272,0.012,378465.3333333333,25.0
19,20.0,1.1499825876643104,3.3697199210941093,1200000.0,2.053133456380904e-06,0.16454111837062158,10.0,0.012,616873.3333333334,25.0
20,21.0,1.5373846069245334,2.740409705836001,1200000.0,2.041799343134858e-06,99.99999999997647,25271679.917331733,0.012,477428.0,25.0
21,22.0,1.2331209684270943,2.666330652956823,1200000.0,2.143766674045453e-06,0.21335977499797565,10.0,0.012,337982.6666666667,25.0
22,23.0,1.21364220889546,2.539812579217326,1200000.0,1.888109518177045e-06,0.22466253822511817,10.0,0.012,337982.6666666667,25.0
23,24.0,1.2519602047682283,2.5890439517994253,1200000.0,1.7941802556760235e-06,0.23381262511188794,10.0,0.012,337982.6666666667,25.0
24,25.0,1.198075930418826,3.2706123235671,1200000.0,2.1290120209043384e-06,0.16548077115523085,10.0,0.012,576390.6666666666,25.0
25,26.0,1.1911467078929376,2.6912100677114523,1200000.0,1.5938975387308068e-06,0.21964072180125527,10.0,0.012,436945.3333333333,25.0
26,27.0,1.2180002520790507,4.613052556116209,1200000.0,3.145053904930959e-06,0.1232709385161499,10.000000022351742,0.012,715836.0,25.0
27,28.0,1.5352289445023968,2.533888299846602,1200000.0,1.8465172323193956e-06,99.99999999770763,25495032.538609724,0.012,418948.0,25.0
28,29.0,1.3822843252386934,2.4350999547362733,1200000.0,1.4537282896204658e-06,99.99999999708697,28669771.161447853,0.012,436945.3333333333,25.0
29,30.0,1.3037940513487611,2.366289742310876,1200000.0,1.4763215473133836e-06,0.24954742837402932,10.0,0.012,337982.6666666667,25.0
30,31.0,1.1809552399926388,2.2673845240275625,1200000.0,1.3266267029778367e-06,0.2579147994326618,10.0,0.012,337982.6666666667,25.0
31,32.0,1.293296210031533,2.7733953413983627,1200000.0,1.6116263327469807e-06,99.99999982411452,26630457.099855732,0.012,616873.3333333334,25.0
