,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,c_T,T_0,V_0
0,1.0,0.8566565315695386,6.5525048964368295,1200000.0,3.1268150128860067e-06,0.18100080787687034,2362.426379427314,0.011,0.01877517600612566,944798.8,25.0
1,2.0,0.9168781054556768,6.219448684285581,1200000.0,2.7285069743083305e-06,0.21773395611202062,5192.688041269779,0.011,7.232531240575213e-11,1007467.6,25.0
2,3.0,0.7874604078861521,5.79642832587669,1200000.0,2.5995533703212183e-06,0.21293507423527558,3661.7494701370597,0.011,0.02842243249640397,883877.6,25.0
3,4.0,0.9267346169125902,5.808415930611986,1200000.0,2.4451346384831435e-06,0.20814191039144703,4791.281238257885,0.011,0.040583142356724555,943588.4,25.0
4,5.0,0.8341212866627871,5.187416359354906,1200000.0,2.0870964135683747e-06,0.20183962348067297,2701.6695396900177,0.011,0.07421180467028216,893860.0,25.0
5,6.0,0.9345290856876336,5.405589030450599,1200000.0,2.2509511809603444e-06,0.21320989189982953,3120.2264983952045,0.011,0.051457863523274694,872827.6,25.0
6,7.0,0.9787302703631986,6.314661531651517,1200000.0,2.8525316495083656e-06,0.2043874239564687,4335.438819505274,0.011,0.00183634843575875,1036163.6,25.0
7,8.0,0.9027083830785828,6.272051161008001,1200000.0,2.839556079228425e-06,0.18534640294358695,2377.4918277710676,0.011,0.018237495013457727,996274.8,25.0
8,9.0,0.9290405962629061,6.3828978536773775,1200000.0,2.8013396052739586e-06,0.18154224144235087,2949.754582889378,0.011,0.028934545032986925,1010425.6,25.0
9,10.0,0.9291921235711517,6.174508124030666,1200000.0,2.5521113476169774e-06,0.2193743080278523,5398.917001694441,0.011,0.010624339949471817,1010425.6,25.0
10,11.0,0.8234548708692319,5.395171141563665,1200000.0,2.1251647711928963e-06,0.22079341151749787,4510.947065636516,0.011,0.06089161577799579,888583.2,25.0
11,12.0,0.9114667931869914,6.204901770360934,1200000.0,2.8279912693356023e-06,0.20452086660220203,4310.756627507508,0.011,0.007140497720093453,1004509.6,25.0
12,13.0,0.9380287598610384,5.155136067713819,1200000.0,2.2036322627939993e-06,0.21863744128114604,3083.822744347155,0.011,0.07131327221363526,790731.2,25.0
13,14.0,0.9529623697670077,5.80270944595992,1200000.0,2.536526789066203e-06,0.22355892853055792,5483.599093474448,0.011,0.011952485894341613,980519.2,25.0
14,15.0,0.9689368977171712,5.973786512656709,1200000.0,2.664828824679909e-06,0.19593965734537022,3491.5501078739762,0.011,0.03897528458922411,922556.0,25.0
15,16.0,0.965359579929015,5.899650477260508,1200000.0,2.6120841583643473e-06,0.2129975814939229,4557.459485337138,0.011,0.010392801923514716,999232.8,25.0
16,17.0,0.8606279388666089,5.90947863143078,1200000.0,2.415918830361578e-06,0.2054290401594372,3973.293699093163,0.011,0.03504047810176558,983477.2,25.0
