,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,c_T,T_0,V_0
0,1.0,1.2498245963977732,3.8469689326829553,1200000.0,2.487525861814649e-06,0.1358523759170538,11.73105663061142,0.012,0.033055526428527715,616873.3333333334,25.0
1,2.0,1.1092925303124026,2.690131531918503,1200000.0,1.5427032221996962e-06,0.18720020819282723,10.000002101063728,0.012,0.0491395630349204,477428.0,25.0
2,3.0,1.2276114465999775,2.542497502815408,1200000.0,1.6488868297942738e-06,0.20140297854010925,10.0,0.012,0.09409084587091465,337982.6666666667,25.0
3,4.0,1.0375663420319292,3.595457387594969,1200000.0,2.1831867613505076e-06,0.13544734521188673,10.000000327825546,0.012,0.050747968706948865,616873.3333333334,25.0
4,5.0,1.1752080426371851,3.2909558521119493,1200000.0,1.8345585641818624e-06,0.15583989541031684,10.000000670552254,0.012,0.06020884444781138,576390.6666666666,25.0
5,6.0,1.141501441017712,2.933093362956633,1200000.0,2.004119489379691e-06,0.16818308020837947,10.000000052154064,0.012,0.10876487249485278,378465.3333333333,25.0
6,7.0,1.1093565672181391,2.844966713439838,1200000.0,1.6628426741362385e-06,0.1717219459216821,10.00000012665987,0.012,0.1045723295973216,436945.3333333333,25.0
7,8.0,1.1311068649800462,3.067871443556733,1200000.0,2.0219982326538787e-06,0.17947657210181234,10.020299434661865,0.012,0.00024141376167646778,517910.6666666667,25.0
8,9.0,1.1297986738616828,2.576749695887834,1200000.0,1.4730035277951461e-06,0.19802059437456165,10.00000011920929,0.012,0.07169101118132859,418948.0,25.0
9,10.0,1.2705216639036203,3.3822437595922707,1200000.0,1.9770076475296414e-06,99.98992062078057,29969408.44687542,0.012,0.211377819628481,576390.6666666666,25.0
10,11.0,1.1367391835219705,3.2913260076363358,1200000.0,2.2391710081663577e-06,0.15998867356556445,10.000033304095268,0.012,0.0500638455231035,477428.0,25.0
11,12.0,1.1588643549916438,3.062195316878366,1200000.0,1.8646937797650771e-06,0.17536428304955365,10.00000635534525,0.012,0.029127024511148347,517910.6666666667,25.0
12,13.0,1.1079898898299474,2.502824818975533,1200000.0,1.5900318807972067e-06,0.2043830946064702,10.000000528991222,0.012,0.05608690123195026,378465.3333333333,25.0
13,14.0,1.110348928863946,2.6342301426959267,1200000.0,1.7885433643933732e-06,0.21327983914001436,10.209395840764046,0.012,0.05017671901786125,337982.6666666667,25.0
14,15.0,1.1715380818548857,3.1749175534654768,1200000.0,1.863626989742032e-06,0.15811040633839468,10.137931890785694,0.012,0.0989501536288091,477428.0,25.0
15,16.0,1.161245123344093,2.4920186671541487,1200000.0,1.6777701298583203e-06,0.210756840353703,10.000000014901161,0.012,0.10670336001270347,297500.0,25.0
16,17.0,1.2324642546963496,3.2746944519281556,1200000.0,2.2346082361680077e-06,99.98776363861973,30535433.657929625,0.012,0.19078128285110157,477428.0,25.0
17,18.0,1.144994468617632,3.3655919460816435,1200000.0,2.202059933912776e-06,99.99991654213736,29146061.626589462,0.012,0.20810843253781985,517910.6666666667,25.0
18,19.0,1.1485650286508537,2.9174994724209924,1200000.0,1.8922462260471349e-06,0.18245956587937684,10.00007500499487,0.012,0.094487580258173,378465.3333333333,25.0
19,20.0,1.096974410171405,3.4627528893669535,1200000.0,2.179608025577187e-06,0.1596422130848083,10.000439465045929,0.012,4.08381908820199e-05,616873.3333333334,25.0
20,21.0,1.2515839961919915,3.3031813177826024,1200000.0,2.3160903075554294e-06,0.15372392967343984,10.000005133450031,0.012,0.05219573199700178,477428.0,25.0
21,22.0,1.1712955052085705,2.8024599621410857,1200000.0,2.259423073530385e-06,0.17582040065335747,10.00000000745058,0.012,0.07447106633887035,337982.6666666667,25.0
22,23.0,1.1320578009304076,2.615977626007087,1200000.0,1.8836280938768784e-06,0.19176732436131516,10.000000022351742,0.012,0.07868667953710806,337982.6666666667,25.0
23,24.0,1.1773558243660582,2.678309088298846,1200000.0,1.8679670791530735e-06,0.20763045944762837,10.000000067055225,0.012,0.053703432545619434,337982.6666666667,25.0
24,25.0,1.114633724022424,3.360435793424415,1200000.0,2.231975034599988e-06,0.15469700034208245,10.000090308487415,0.012,0.012900942761585321,576390.6666666666,25.0
25,26.0,1.1395654911140554,2.7660170786268026,1200000.0,1.6074597110924963e-06,0.19170927424375606,10.000002831220627,0.012,0.06298277654931228,436945.3333333333,25.0
26,27.0,1.1402297128147207,4.878462058995979,1200000.0,3.4280937110357185e-06,0.10545847839875222,10.028701312839985,0.012,0.0189600824749106,715836.0,25.0
27,28.0,1.2513627689869775,2.86057790948783,1200000.0,1.9168582037859427e-06,0.1936611121280265,10.000045910477638,0.012,0.028130048112202377,418948.0,25.0
28,29.0,1.2223981924993248,2.7002702766986317,1200000.0,1.5526640533198137e-06,99.99999999440584,24603083.00710981,0.012,0.19653096265238207,436945.3333333333,25.0
29,30.0,1.2086031371989165,2.463810779502225,1200000.0,1.4629271591918834e-06,0.20467881394080223,10.0,0.012,0.12021391724476649,337982.6666666667,25.0
30,31.0,1.1123082805425784,2.3287521626955296,1200000.0,1.3440616920443895e-06,0.2319042904172406,10.00000000745058,0.012,0.06377859535248498,337982.6666666667,25.0
31,32.0,1.112548669653906,3.3881410729585184,1200000.0,1.9160256432596036e-06,0.1580434084163329,10.000002972781658,0.012,0.030881197584881226,616873.3333333334,25.0
32,33.0,1.1485635663730227,3.1160604036701187,1200000.0,2.616298285509035e-06,0.16995596832364868,10.000001274049282,0.012,0.03690477127866215,378465.3333333333,25.0
33,34.0,1.1713433522058154,2.620037193389308,1200000.0,1.6436073555282067e-06,99.9822592205909,25161711.850850772,0.012,0.268981472915464,337982.6666666667,25.0
34,35.0,1.0283176608415343,3.198465903986204,1200000.0,2.2391207288085252e-06,0.15565162915447672,10.000001184642315,0.012,0.0490037950884572,477428.0,25.0
35,36.0,1.1717285651639775,3.1268835367590455,1200000.0,2.0209869820114165e-06,0.16849219729360243,10.000001102685928,0.012,0.024653819591648918,517910.6666666667,25.0
36,37.0,1.0673855270228516,3.481473262517916,1200000.0,2.4457333834344608e-06,0.15298088025040357,10.000704854726791,0.012,2.0467914663147013e-07,576390.6666666666,25.0
37,38.0,1.1901629977023918,2.8410116244824053,1200000.0,1.6707725178367986e-06,0.17015670456260068,10.000000067055225,0.012,0.1613125640926789,378465.3333333333,25.0
38,39.0,1.0302610177062645,3.831442666121248,1200000.0,2.8616043766506395e-06,0.11165269908818942,10.209315113723278,0.012,0.10981038844897667,477428.0,25.0
39,40.0,1.1435274424313588,2.4411740118680427,1200000.0,1.4120628606388127e-06,0.2044305047280588,10.0,0.012,0.08808487899572987,378465.3333333333,25.0
40,41.0,1.2359066425236367,2.857514122731885,1200000.0,1.6724992201523997e-06,99.99621218365114,21589971.08334535,0.012,0.21929339874183984,477428.0,25.0
41,42.0,1.1037440327182597,4.897166009102378,1200000.0,3.4477791915850497e-06,0.034411343836239894,8491.368592433631,0.012,0.20858863722701165,616873.3333333334,25.0
42,43.0,1.207502560154215,2.8163198786906065,1200000.0,1.6021780577978246e-06,0.17964459547663125,10.011079356074333,0.012,0.06590497545262242,477428.0,25.0
43,44.0,1.1607922308458993,3.943837434741134,1200000.0,2.2892852055834997e-06,0.11879291750864951,10.493638075888157,0.012,0.04962419008995278,715836.0,25.0
44,45.0,1.0116262548351906,3.0399880345206896,1200000.0,1.909242906466864e-06,0.1772857630168332,20.969073489308357,0.012,0.02431749772059094,517910.6666666667,25.0
45,46.0,1.244556353620208,2.4329033772826705,1200000.0,1.5413572400475932e-06,0.2125527108189047,10.000000022351742,0.012,0.12556808848700818,297500.0,25.0
46,47.0,1.1461981661139138,3.0297930497055034,1200000.0,1.8260186233340413e-06,0.1613429446157113,10.0,0.012,0.08575461137828505,477428.0,25.0
47,48.0,1.0816047980527652,3.0386714665220182,1200000.0,1.7423073937395566e-06,0.15874587177341937,10.004157789051533,0.012,0.14186977027074782,436945.3333333333,25.0
48,49.0,1.2246464122719125,3.467868835747197,1200000.0,2.43909345960958e-06,0.14092338182357622,10.000037647783756,0.012,0.07402749496513,477428.0,25.0
49,50.0,1.1430719005834564,3.3280072204885727,1200000.0,2.065773295650666e-06,0.15376318557976276,10.000106267631054,0.012,0.032150170047733684,576390.6666666666,25.0
50,51.0,1.1251597582680457,2.802093742531966,1200000.0,2.1988523946396625e-06,0.1911680482988487,10.000000536441803,0.012,0.050598367611035144,337982.6666666667,25.0
51,52.0,1.2738899039325442,2.6633733546950182,1200000.0,1.493877824484991e-06,99.99813266283411,16025048.056158498,0.012,0.23377909985659107,477428.0,25.0
52,53.0,1.0861692014499318,3.0584662933529287,1200000.0,1.8493445489513836e-06,0.17641158298018667,10.001177042722702,0.012,1.6609429789871122e-05,576390.6666666666,25.0
53,54.0,1.1493889186007629,2.8049162774855674,1200000.0,2.122894488893563e-06,0.1907939476856555,10.000076986849308,0.012,0.06429150050278931,337982.6666666667,25.0
54,55.0,1.2449270592286388,3.3545689789181665,1200000.0,2.25927442610692e-06,0.09150566199529209,353.5229477584362,0.012,0.21428885498825068,477428.0,25.0
55,56.0,1.1656735155400597,3.4720693527836843,1200000.0,2.1506850660203553e-06,0.1725739341017487,312.4286708980799,0.012,6.173039857060303e-11,715836.0,25.0
56,57.0,1.1596491080930333,2.9827735051690425,1200000.0,1.8003567199665772e-06,0.17404322881613865,10.000000573694706,0.012,0.059926002862070116,477428.0,25.0
57,58.0,1.1031133517235594,2.8135520440176407,1200000.0,1.924588046434718e-06,0.18104324312017894,10.000000640749931,0.012,0.07978867967618697,378465.3333333333,25.0
58,59.0,1.0897825297399595,3.2581084284589394,1200000.0,2.336939641927024e-06,0.15495213578279277,10.000000014901161,0.012,0.02077139486652313,517910.6666666667,25.0
59,60.0,1.3107802498277834,3.1208469878233913,1200000.0,1.9355042369967757e-06,0.1536570225902949,10.00000749528408,0.012,0.06612435553639484,517910.6666666667,25.0
60,61.0,1.24357123847612,3.316597030315471,1200000.0,2.2257905968116567e-06,0.16425250483925424,10.000035636126995,0.012,0.022295212994598468,517910.6666666667,25.0
61,62.0,1.1945422671369255,2.8585996488771954,1200000.0,1.8018915459593239e-06,99.99961611610877,22801321.21869965,0.012,0.16277278547574703,477428.0,25.0
62,63.0,1.0749196718260405,3.1718941805275165,1200000.0,2.0369212169964223e-06,0.16697629891915255,10.000003397464752,0.012,8.724021505202018e-12,576390.6666666666,25.0
63,64.0,1.1385950156140203,2.6121974200291334,1200000.0,1.6676473721948483e-06,0.19601913920896408,10.000022649765015,0.012,0.1112211420168433,337982.6666666667,25.0
64,65.0,1.1465695021128612,2.410296705928502,1200000.0,1.4622232334238664e-06,99.99992000167995,18937624.016037088,0.012,0.2493784753441548,337982.6666666667,25.0
65,66.0,1.153050707783465,3.100314194305575,1200000.0,2.095952591215699e-06,0.16789598016048757,13.180657111108303,0.012,0.03580309080140687,477428.0,25.0
66,67.0,1.1315391924964284,2.919421764484369,1200000.0,1.7775274100621498e-06,0.17053806013990425,10.0,0.012,0.09171745488429967,436945.3333333333,25.0
67,68.0,1.1248443972729294,3.1979941474466145,1200000.0,2.115178202923449e-06,99.99958532897122,34003923.3186086,0.012,0.16231532184276287,477428.0,25.0
68,69.0,1.2031897846088133,2.9000186555643594,1200000.0,2.024650201784347e-06,0.17204414961484815,10.00000736117363,0.012,0.05883804461490394,418948.0,25.0
69,70.0,1.1544456239116443,2.771947963576565,1200000.0,1.7544692715141616e-06,0.19907874501612355,10.000019833445549,0.012,0.06686258553957297,378465.3333333333,25.0
70,71.0,1.1117956627126933,3.7621172215456298,1200000.0,2.6204766868343995e-06,0.15359285651953059,10.000373661518097,0.012,9.74536173981022e-10,576390.6666666666,25.0
