,Resample,RMSLE,p,k_V,c_V,r,d_T,T_0,V_0
0,1.0,1.396678055491232,3.438610635175692,1200000.0,2.4963433596895013e-06,3.141942828190353e-06,0.012,616873.3333333334,25.0
1,2.0,1.3193301162204263,2.455998947657882,1200000.0,1.8511428341916921e-06,6.330417856677762e-06,0.012,477428.0,25.0
2,3.0,1.5454991067657393,2.301508236340382,1200000.0,1.9870206511316224e-06,5.118297591690461e-06,0.012,337982.6666666667,25.0
3,4.0,1.256623276900301,3.0436108692875266,1200000.0,2.0894996113990724e-06,3.9714787125454205e-06,0.012,616873.3333333334,25.0
4,5.0,1.321808545668013,2.9351534288990067,1200000.0,1.929948930816711e-06,3.5486727590648204e-06,0.012,576390.6666666666,25.0
5,6.0,1.4319055517409747,2.655241229540785,1200000.0,2.2336231695314096e-06,3.594774141892266e-06,0.012,378465.3333333333,25.0
6,7.0,1.3645125212836509,2.45000261156828,1200000.0,1.7524315987929524e-06,4.443707978993239e-06,0.012,436945.3333333333,25.0
7,8.0,1.305950595350224,2.733099324460021,1200000.0,2.1146700850069254e-06,5.353472778043339e-06,0.012,517910.6666666667,25.0
8,9.0,1.4032748617305706,2.3819965228857782,1200000.0,1.8364509393485322e-06,5.717884508037749e-06,0.012,418948.0,25.0
9,10.0,1.3727626857460538,2.8798637630576565,1200000.0,1.8473278217368764e-06,3.676756684378618e-06,0.012,576390.6666666666,25.0
10,11.0,1.2785952237333886,2.761262560795984,1200000.0,2.0055546197328357e-06,3.6754454008081558e-06,0.012,477428.0,25.0
11,12.0,1.317773266175556,2.657821166289068,1200000.0,1.8559870313622707e-06,4.483957706691713e-06,0.012,517910.6666666667,25.0
12,13.0,1.378996882813189,2.2719070986286525,1200000.0,1.9337209815010738e-06,6.911269041267179e-06,0.012,378465.3333333333,25.0
13,14.0,1.3845379834598213,2.43657989768046,1200000.0,2.0057026304126386e-06,3.790088515246371e-06,0.012,337982.6666666667,25.0
14,15.0,1.3768450543719575,2.9021601144255342,1200000.0,2.041876161122708e-06,2.946429991781583e-06,0.012,477428.0,25.0
15,16.0,1.464613668127358,2.3828983832409563,1200000.0,2.162268680935123e-06,4.088436739411521e-06,0.012,297500.0,25.0
16,17.0,1.3139647541076738,2.9378649866419266,1200000.0,2.243975442749657e-06,3.3045584596968564e-06,0.012,477428.0,25.0
17,18.0,1.2540434597242047,3.007642353351663,1200000.0,2.3444252562888248e-06,3.830872278711124e-06,0.012,517910.6666666667,25.0
18,19.0,1.3381097328504055,2.5351217942464643,1200000.0,1.7826582319244082e-06,3.1656170696570915e-06,0.012,378465.3333333333,25.0
