,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
0,1.0,1.0130205461036814,6.343597448124655,1200000.0,2.830855869069611e-06,9.875965999296988e-07,0.011,0.13631925753041052,944798.8,25.0
1,2.0,1.1004912542852043,5.812626537552504,1200000.0,2.2558433697018995e-06,1.1431924890625708e-06,0.011,0.13063576792670717,1007467.6,25.0
2,3.0,0.9794326911911997,5.215874609549971,1200000.0,2.0883506451765477e-06,1.3774989861830314e-06,0.011,0.12823323895706418,883877.6,25.0
3,4.0,1.0763642028564373,5.343887304722934,1200000.0,2.055823559331652e-06,1.3275761151749103e-06,0.011,0.13065252017118267,943588.4,25.0
4,5.0,0.9854280995802251,4.600366331786745,1200000.0,1.702887746265237e-06,1.7150563765598736e-06,0.011,0.13410684238735276,893860.0,25.0
5,6.0,1.1064708201122917,4.736214808845531,1200000.0,1.769805752180109e-06,1.5741119543519463e-06,0.011,0.12858178777950469,872827.6,25.0
6,7.0,1.0969762095352886,5.882041665372512,1200000.0,2.3015463163057694e-06,1.1798458477231723e-06,0.011,0.12955151754015404,1036163.6,25.0
7,8.0,1.0564751113512916,5.9565750902518175,1200000.0,2.4731424291506827e-06,1.1180325044101387e-06,0.011,0.13830054279167647,996274.8,25.0
8,9.0,1.0474686678445135,6.079273727097416,1200000.0,2.453969869257407e-06,1.0981924919185046e-06,0.011,0.13179083056725366,1010425.6,25.0
9,10.0,1.1160114869317157,5.782710619639957,1200000.0,2.1758259941138036e-06,1.1375766176889598e-06,0.011,0.13201828567104484,1010425.6,25.0
10,11.0,1.022180124039906,4.8212140992742505,1200000.0,1.7628907692157753e-06,1.5107664827980255e-06,0.011,0.13114274333768633,888583.2,25.0
11,12.0,1.0530274758985767,5.802794138014548,1200000.0,2.3293737950952023e-06,1.1900000944359274e-06,0.011,0.13339049052069785,1004509.6,25.0
12,13.0,1.0766318458303552,4.5910714177252885,1200000.0,1.7863157908820095e-06,1.6627111911590768e-06,0.011,0.12444247727746927,790731.2,25.0
13,14.0,1.0938019678148072,5.243144354202904,1200000.0,1.9704682716387397e-06,1.420015659914883e-06,0.011,0.12574831579368484,980519.2,25.0
14,15.0,1.090210554078321,5.513372890804952,1200000.0,2.2334220793846917e-06,1.305984640050418e-06,0.011,0.12753938280791266,922556.0,25.0
15,16.0,1.1186578160833678,5.356582394574005,1200000.0,2.059271655711335e-06,1.3631035021575489e-06,0.011,0.1333121163413688,999232.8,25.0
16,17.0,1.0292279562671307,5.363048758773694,1200000.0,1.9885465897926822e-06,1.3225442411813425e-06,0.011,0.13144361671110272,983477.2,25.0
17,18.0,1.0634294552900068,5.526002609630581,1200000.0,2.110013442966167e-06,1.2391700818219982e-06,0.011,0.13158902832603397,970536.8,25.0
18,19.0,1.0796544125284322,4.794548723435021,1200000.0,1.8519481887373378e-06,1.568557864581667e-06,0.011,0.12133250525331263,817040.4,25.0
19,20.0,1.092402387316826,5.1520673484330075,1200000.0,1.9448116161464827e-06,1.3872890301553175e-06,0.011,0.13150097051408582,938882.8,25.0
20,21.0,1.0118129212156906,4.777804087715516,1200000.0,1.7864172261625337e-06,1.5590099167619745e-06,0.011,0.11661314393188926,822956.4,25.0
21,22.0,1.0437959033133317,6.074942768011802,1200000.0,2.3768725241738687e-06,1.068369050309732e-06,0.011,0.1339087668060639,1030886.8,25.0
22,23.0,1.1028927282355574,5.329332341119638,1200000.0,2.056315186041182e-06,1.3255539317798043e-06,0.011,0.13002444681060787,949504.4,25.0
23,24.0,1.1146900987282333,5.418785617509343,1200000.0,2.1756330531845315e-06,1.3183470603456892e-06,0.011,0.13186751341729974,946546.4,25.0
24,25.0,1.0291656924360764,5.683108142585368,1200000.0,2.252663891528081e-06,1.2153688724177668e-06,0.011,0.1317148817008707,970536.8,25.0
25,26.0,1.0083294433969747,5.1426400853199254,1200000.0,2.0201978872980643e-06,1.38323799496952e-06,0.011,0.12472897616206113,832938.8,25.0
26,27.0,1.0805696346759983,4.659391070682716,1200000.0,1.8189326510269395e-06,1.706254317188721e-06,0.011,0.1217447210085087,856929.2,25.0
27,28.0,1.0890958129140005,5.471183918438058,1200000.0,2.0912908495098384e-06,1.2672026493520312e-06,0.011,0.12479592691472147,932966.8,25.0
28,29.0,0.9964806310146619,6.403853071515975,1200000.0,2.7085836020989133e-06,9.545472301398421e-07,0.011,0.13798290658401535,1007467.6,25.0
29,30.0,1.05224949866309,5.428066511164367,1200000.0,2.110637955669037e-06,1.3108666060895617e-06,0.011,0.12837327055045566,949504.4,25.0
30,31.0,1.0608614035142223,5.335115085869674,1200000.0,2.10774937790476e-06,1.3338928136477423e-06,0.011,0.13209046219811094,941269.6,25.0
31,32.0,1.0467791218092122,5.736087829171126,1200000.0,2.2243824482343275e-06,1.2029690977123558e-06,0.011,0.13019637987713495,1007467.6,25.0
32,33.0,1.0937158868250065,5.582072464755747,1200000.0,2.1982517992991796e-06,1.2923847153165568e-06,0.011,0.12832870736217028,986435.2,25.0
33,34.0,1.196190133426332,6.10534409791898,1200000.0,2.405472418038101e-06,1.0800315557181586e-06,0.011,0.13338720786495728,1057196.0,25.0
34,35.0,1.077276416780765,5.8115192713032044,1200000.0,2.2890551398779452e-06,1.170305682656966e-06,0.011,0.13309789346192075,999232.8,25.0
35,36.0,1.03994731743899,6.2214905452916085,1200000.0,2.677123573654837e-06,1.0365518725198252e-06,0.011,0.13102475188141283,946546.4,25.0
