,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
0,1.0,2.089184210635458,91.1181647556462,1200000.0,3.438467194622994e-05,6.266937372758776e-05,0.012,0.7583782311832539,616873.3333333334,25.0
1,2.0,2.0206667019260656,99.99999321772339,1200000.0,3.607660224850551e-05,8.182511654550668e-06,0.012,0.9999979890759332,477428.0,25.0
2,3.0,2.0742592797765087,80.83963892251064,1200000.0,5.314085866642184e-05,8.055284985110655e-05,0.012,0.8226918617387168,337982.6666666667,25.0
3,4.0,1.0920903335810028,4.2027234225202506,1200000.0,2.7429142440708382e-06,1.4220439855266342e-06,0.012,0.22750899596943908,616873.3333333334,25.0
4,5.0,1.2167782892342387,3.290789376721186,1200000.0,1.8465768314740883e-06,3.2749010471632426e-06,0.012,0.20956696789406848,576390.6666666666,25.0
5,6.0,2.128366571188438,99.9999998965129,1200000.0,4.529838972879945e-05,8.374806437043274e-06,0.012,0.9999999330682473,378465.3333333333,25.0
6,7.0,2.157925733965875,99.99997785391835,1200000.0,3.9319045560982525e-05,8.358283741577723e-06,0.012,0.9999999303043162,436945.3333333333,25.0
7,8.0,1.2047508647070913,3.1407734703165175,1200000.0,2.067537767159822e-06,4.733923287238652e-06,0.012,0.19708823178996587,517910.6666666667,25.0
8,9.0,2.023859379583337,99.99999620029956,1200000.0,4.092580179809453e-05,8.508911260737347e-06,0.012,0.9999999540511294,418948.0,25.0
9,10.0,2.278057522392303,99.999968886914,1200000.0,3.0229268310123724e-05,8.439816089372409e-06,0.012,0.9878905026053133,576390.6666666666,25.0
10,11.0,1.1836387266700306,3.281563895846638,1200000.0,2.22563622971379e-06,3.370432981720908e-06,0.012,0.2063407574590702,477428.0,25.0
11,12.0,1.2223532833193191,3.021741730491108,1200000.0,1.8193633856726106e-06,4.389383233223952e-06,0.012,0.20445853957302762,517910.6666666667,25.0
12,13.0,1.977380993204271,99.99999966744579,1200000.0,4.5448691417076576e-05,8.249398019206937e-06,0.012,0.9999998092105804,378465.3333333333,25.0
13,14.0,2.159339670319648,99.99999942320417,1200000.0,5.063491460620745e-05,8.524045355152802e-06,0.012,0.9999999655099026,337982.6666666667,25.0
14,15.0,1.2354211823372527,3.373347497496141,1200000.0,2.1957911972435062e-06,2.6817204169580057e-06,0.012,0.23638158632322287,477428.0,25.0
15,16.0,1.2698014617541604,2.535715368565377,1200000.0,1.8834631410617452e-06,5.563663273776154e-06,0.012,0.2862981062502238,297500.0,25.0
16,17.0,1.2324547057494644,3.274225325832745,1200000.0,2.2339585955305806e-06,3.2682988531225907e-06,0.012,0.19075767208400074,477428.0,25.0
17,18.0,1.1449876716780178,3.3655087535121027,1200000.0,2.201971336887518e-06,3.4257086522645976e-06,0.012,0.20811074794453233,517910.6666666667,25.0
