,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
0,1.0,1.153185777226871,2.407336025609388e-05,7.210438900592255e-07,1.0,2.122962526320137,0.011,0.3205584795625356,18772.202100500464,1000000.0,0.0,25.0,944798.8
1,2.0,1.2216248597132275,2.2481844488481108e-05,6.67508428965967e-07,1.0,2.0660502041289277,0.011,0.5364355206096434,83074.40247964859,1000000.0,0.0,25.0,1007467.6
2,3.0,1.1184882735690769,2.2761916735201064e-05,6.992164985118683e-07,1.0,2.1587725459108853,0.011,0.3793078506173515,23984.116188384593,1000000.0,0.0,25.0,883877.6
3,4.0,1.2399703726567455,2.2248062009098442e-05,6.76271813268838e-07,1.0,2.110674318132318,0.011,0.5554885563760124,77845.85018565506,1000000.0,0.0,25.0,943588.4
4,5.0,1.1210465708568802,2.0220905571512854e-05,6.892753331888719e-07,1.0,2.2145521108529778,0.011,0.5888259672433662,70489.930687882,1000000.0,0.0,25.0,893860.0
5,6.0,1.2408306149576447,2.1372891518283352e-05,6.665465147593475e-07,1.0,2.165006267608703,0.011,0.5659808186442774,66732.72413527966,1000000.0,0.0,25.0,872827.6
6,7.0,1.212861687557891,2.2546430755352558e-05,6.74326207799563e-07,1.0,2.1269737619927866,0.011,0.45922882275739596,56751.81908920407,1000000.0,0.0,25.0,1036163.6
7,8.0,1.2030838938071968,2.232154757941397e-05,6.942104539185104e-07,1.0,2.148871120065543,0.011,0.36175856221601776,26719.52013092488,1000000.0,0.0,25.0,996274.8
8,9.0,1.1658016636858886,2.371509382969882e-05,6.765440792333522e-07,1.0,2.143123828046633,0.011,0.3428604543396503,23358.887806266546,1000000.0,0.0,25.0,1010425.6
9,10.0,1.2564982481395641,2.3584653976466906e-05,6.428261930429332e-07,1.0,2.091977047224354,0.011,0.352869861648891,24171.31705069542,1000000.0,0.0,25.0,1010425.6
10,11.0,1.184604044956253,2.1886061881114203e-05,6.677156065148601e-07,1.0,2.1628833743084286,0.011,0.4206731639121486,30304.268343552947,1000000.0,0.0,25.0,888583.2
11,12.0,1.1896680171726355,2.2015917751328375e-05,7.000446299997658e-07,1.0,2.120091681448578,0.011,0.4658949052960608,58334.45162842423,1000000.0,0.0,25.0,1004509.6
12,13.0,1.2047526158070077,2.2040111569703463e-05,6.952751989383371e-07,1.0,2.242125863617531,0.011,0.4709536918002968,34745.47755884379,1000000.0,0.0,25.0,790731.2
13,14.0,1.2379995100485595,2.1460661168619543e-05,6.715291990651919e-07,1.0,2.142065109460681,0.011,0.584325410471962,85705.84533564746,1000000.0,0.0,25.0,980519.2
14,15.0,1.211831712628155,2.3500579997074957e-05,6.947677764930957e-07,1.0,2.1791787019406073,0.011,0.3593722319335271,21849.158504210413,1000000.0,0.0,25.0,922556.0
15,16.0,1.2656516030555631,2.0842772137286893e-05,6.946896307614227e-07,1.0,2.132442079443642,0.011,0.5813895213038762,89927.50494262576,1000000.0,0.0,25.0,999232.8
16,17.0,1.1823333534403424,2.260534294580335e-05,6.440446561360643e-07,1.0,2.1239399093483797,0.011,0.4594840932946127,47492.84916793555,1000000.0,0.0,25.0,983477.2
17,18.0,1.195416045267605,2.325219943509986e-05,6.431015236893243e-07,1.0,2.0863185266271813,0.011,0.4665695551735709,51976.52831403166,1000000.0,0.0,25.0,970536.8
18,19.0,1.1709133030180783,2.3481559089890586e-05,6.705841579078355e-07,1.0,2.2277569545478,0.011,0.4244539056832082,26311.971971288323,1000000.0,0.0,25.0,817040.4
19,20.0,1.2286857943685945,2.1837557056911725e-05,6.629279856768016e-07,1.0,2.133957800742202,0.011,0.4849687929004176,52504.94931276888,1000000.0,0.0,25.0,938882.8
20,21.0,1.1199069862559294,2.316453229951692e-05,6.61958918589823e-07,1.0,2.1547657606234054,0.011,0.5452434182914203,57590.78759782016,1000000.0,0.0,25.0,822956.4
21,22.0,1.1907863544082649,2.374420408286966e-05,6.505709369489181e-07,1.0,2.1111576728062573,0.011,0.35159857866193533,25203.380326092243,1000000.0,0.0,25.0,1030886.8
22,23.0,1.2195836235003878,2.206237196777855e-05,6.800337331159509e-07,1.0,2.1304938132630866,0.011,0.43075693597682374,40775.90865223855,1000000.0,0.0,25.0,949504.4
23,24.0,1.2396171102704356,2.1814517495248854e-05,6.874392071428792e-07,1.0,2.141521641104937,0.011,0.47822760667579445,53779.48633299023,1000000.0,0.0,25.0,946546.4
24,25.0,1.163310594057801,2.3022171918128954e-05,6.736232463957546e-07,1.0,2.124293468440449,0.011,0.42723417937135366,41824.48805143684,1000000.0,0.0,25.0,970536.8
25,26.0,1.1102843369776543,2.522734627139798e-05,6.657683233556903e-07,1.0,2.2051817022814646,0.011,0.32882016167313566,10539.171732626855,1000000.0,0.0,25.0,832938.8
26,27.0,1.1939715229400167,2.082283241365139e-05,7.130799572378299e-07,1.0,2.222578813791351,0.011,0.5024934823170426,47832.10363171995,1000000.0,0.0,25.0,856929.2
27,28.0,1.221793877947687,2.413590910993678e-05,6.451894715611193e-07,1.0,2.139043218301019,0.011,0.35342007642408646,19167.954623676836,1000000.0,0.0,25.0,932966.8
28,29.0,1.1570077664608318,2.316576417436436e-05,6.928077260176283e-07,1.0,2.102098567158272,0.011,0.3431563711334462,25410.20838484913,1000000.0,0.0,25.0,1007467.6
29,30.0,1.1630979774995165,2.2583625850854818e-05,6.646836497247612e-07,1.0,2.0992588439951305,0.011,0.6326751645886972,103399.24752819538,1000000.0,0.0,25.0,949504.4
30,31.0,1.2055382016070284,2.168688138943361e-05,6.916758230077018e-07,1.0,2.145017907559904,0.011,0.44842529919803553,45137.12397649139,1000000.0,0.0,25.0,941269.6
31,32.0,1.145923393929362,2.2728316123073966e-05,6.646867892056715e-07,1.0,2.1016136146700504,0.011,0.48445323146619756,61864.710059955716,1000000.0,0.0,25.0,1007467.6
32,33.0,1.220921161000289,2.252815053025952e-05,6.748669077403911e-07,1.0,2.1880672633496445,0.011,0.36652002846182796,24897.55498817563,1000000.0,0.0,25.0,986435.2
33,34.0,1.3274386642475506,2.2585701954530318e-05,6.656454525827809e-07,1.0,2.1037713294532807,0.011,0.4574533067550419,58848.89768144488,1000000.0,0.0,25.0,1057196.0
34,35.0,1.2190097650202965,2.2948637293247113e-05,6.776048735830453e-07,1.0,2.131529874419982,0.011,0.3779421760590722,30899.44863629341,1000000.0,0.0,25.0,999232.8
35,36.0,1.1680986350678981,2.4482967669968064e-05,6.93781157956701e-07,1.0,2.0886712831828262,0.011,0.3890967242699972,35142.01364609599,1000000.0,0.0,25.0,946546.4
36,37.0,1.2026647242102264,2.560856399137936e-05,6.743189437203255e-07,1.0,2.081716597873168,0.011,0.3326825058013938,17081.962927930057,1000000.0,0.0,25.0,890902.0
37,38.0,1.3757147971525021,2.0912068514515685e-05,6.789597489937144e-07,1.0,2.131648339101112,0.011,0.5241052270091373,70428.5733589679,1000000.0,0.0,25.0,1004509.6
38,39.0,1.178207747115352,2.1534958997413206e-05,6.768747959223041e-07,1.0,2.1070850779390042,0.011,0.7324580149329663,143819.58201973885,1000000.0,0.0,25.0,1004509.6
39,40.0,1.1595509746685264,2.3750877964506097e-05,6.757778299260885e-07,1.0,2.1541836584032836,0.011,0.39802270891389924,27719.450117856264,1000000.0,0.0,25.0,888583.2
40,41.0,1.044486477261599,2.3594520814675723e-05,7.030704832671413e-07,1.0,2.2336167595881946,0.011,0.3353257644159484,11284.159828543663,1000000.0,0.0,25.0,822956.4
41,42.0,1.2700093608577407,2.2571438697493752e-05,6.76757824173089e-07,1.0,2.085652709153372,0.011,0.5250385004720286,78002.23739859462,1000000.0,0.0,25.0,999232.8
42,43.0,1.187518854410833,2.1756929784381475e-05,7.105853273478343e-07,1.0,2.137528613935764,0.011,0.4879456960364834,65244.31463121623,1000000.0,0.0,25.0,1012173.2
43,44.0,1.243710971482395,2.2246706006561227e-05,6.889562365234331e-07,1.0,2.210882744361392,0.011,0.4211098510518241,29434.466373592615,1000000.0,0.0,25.0,856929.2
44,45.0,1.127954915629021,2.436543648418157e-05,7.144651884957091e-07,1.0,2.144507002523852,0.011,0.38545383964449087,30637.632705792785,1000000.0,0.0,25.0,909615.6
45,46.0,1.2208196993369724,2.245987179082283e-05,6.865846255421095e-07,1.0,2.063587785067952,0.011,0.7513880473701136,167231.19246240705,1000000.0,0.0,25.0,1033205.6
46,47.0,1.1641814063000886,2.1527418050177635e-05,6.89163163208645e-07,1.0,2.1209858027229416,0.011,0.6266653463422713,108156.49887206405,1000000.0,0.0,25.0,1007467.6
47,48.0,1.171578011014886,2.3626978510609657e-05,6.528448522321798e-07,1.0,2.037052405949723,0.011,0.5527150295829912,97153.68984328955,1000000.0,0.0,25.0,1064859.6
48,49.0,1.109377391182846,2.488820678545799e-05,7.017444671005073e-07,1.0,2.154231584450379,0.011,0.2824720786296737,10849.96313047409,1000000.0,0.0,25.0,967578.8
49,50.0,1.1839547048570342,2.5026234322017516e-05,6.606125040077289e-07,1.0,2.1245759561677104,0.011,0.42498895759170807,33341.66696226597,1000000.0,0.0,25.0,864592.8
50,51.0,1.1179483724388646,2.0968705787096742e-05,7.175135217076805e-07,1.0,2.1631553089680153,0.011,0.7044384823534173,118537.31620445848,1000000.0,0.0,25.0,917850.4
51,52.0,1.2313079871100208,2.4286423635125648e-05,6.787613318325408e-07,1.0,2.085242082660706,0.011,0.34212921007316055,25441.414918012917,1000000.0,0.0,25.0,1006896.4
52,53.0,1.151487628723039,2.1959016160084583e-05,6.924294682119218e-07,1.0,2.1118608852175598,0.011,0.6405506164600467,112231.98793610185,1000000.0,0.0,25.0,983477.2
53,54.0,1.1584735543748397,2.3414021966270196e-05,6.881506720582829e-07,1.0,2.1592774819254643,0.011,0.39654596923620744,28396.305179536343,1000000.0,0.0,25.0,888583.2
54,55.0,1.203435372563344,2.249144710118488e-05,6.826576405439958e-07,1.0,2.170091474747238,0.011,0.41347719073385747,34117.595825225115,1000000.0,0.0,25.0,938882.8
55,56.0,1.1470209234994833,2.020482648349274e-05,7.324938418719969e-07,1.0,2.1736765813756165,0.011,1.056762275286438,224073.4096146673,1000000.0,0.0,25.0,856929.2
56,57.0,1.2033671084265951,2.054913694330085e-05,6.480095618621506e-07,1.0,2.195090289906531,0.011,0.669005646942523,89016.41546627134,1000000.0,0.0,25.0,883877.6
57,58.0,1.1711749694497389,2.2322830146995315e-05,7.231607925211567e-07,1.0,2.1207811688435783,0.011,0.46981016375580253,50989.737354278564,1000000.0,0.0,25.0,880348.4
58,59.0,1.2680118729174241,2.2208855502942675e-05,7.00829508400462e-07,1.0,2.13956995400882,0.011,0.4006797563866513,35059.497155964375,1000000.0,0.0,25.0,954781.2
59,60.0,1.2625611920393753,2.3390578251533622e-05,6.901934485166271e-07,1.0,2.0386428139812054,0.011,0.47106968990683384,74536.57184574008,1000000.0,0.0,25.0,1057196.0
60,61.0,1.1983436460063348,2.2695736136395007e-05,7.208392353118192e-07,1.0,2.1232654827473354,0.011,0.43341092087847954,47301.04388792813,1000000.0,0.0,25.0,954781.2
61,62.0,1.145906252857917,2.2458431990596382e-05,6.708382964827525e-07,1.0,2.1894228314549693,0.011,0.46796952073197673,38929.41346292198,1000000.0,0.0,25.0,853971.2
62,63.0,1.22655380235104,2.094890858016897e-05,6.846536741193383e-07,1.0,2.157053174562236,0.011,0.5419390525633361,75538.64118096232,1000000.0,0.0,25.0,1007467.6
