,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,c_T,U_0,I_0,V_0,T_0
0,1.0,1.161528097320723,4.289499709234328e-05,4.483432357967385e-07,1.0,10.477349766566377,0.012,0.1911154624676925,27.457515440881252,1.1830754154118495e-09,1000000.0,0.0,25.0,616873.3333333334
1,2.0,1.1030803393328783,4.998544170085725e-05,4.3211008552949693e-07,1.0,14.700741548804643,0.012,0.21846471998389205,10.000001974403858,0.01618118242716482,1000000.0,0.0,25.0,477428.0
2,3.0,1.2074317581650935,1.8574679555041662e-05,6.074959998314929e-06,1.0,1.3234049993077406,0.012,0.2141523246541226,10.0,0.09881328039099918,1000000.0,0.0,25.0,337982.6666666667
3,4.0,1.0159987731309967,5.030030816518486e-05,4.1122097330375547e-07,1.0,12.717498150242108,0.012,0.20554374146616539,57.40908982604742,6.7326565433845076e-09,1000000.0,0.0,25.0,616873.3333333334
4,5.0,1.0729065433661715,3.9275699312349164e-05,4.2834551191065043e-07,1.0,10.121149220137688,0.012,0.21092032353057277,17.96437367796898,2.863041470568817e-10,1000000.0,0.0,25.0,576390.6666666666
5,6.0,1.072637901159108,1.992701047415647e-05,5.7692738172131035e-06,1.0,1.2388340451717568,0.012,0.20829513095495855,10.0,0.05321320245428812,1000000.0,0.0,25.0,378465.3333333333
6,7.0,1.107921838156307,4.945072095705589e-05,4.142447902969666e-07,1.0,13.098147826604581,0.012,0.2235053712661852,13.439568251371384,0.038482407386860706,1000000.0,0.0,25.0,436945.3333333333
7,8.0,1.1588584261744088,4.7951563010560125e-05,4.775657775669566e-07,1.0,13.334829391261628,0.012,0.2004693867973515,10.00764286518097,6.617618666993064e-06,1000000.0,0.0,25.0,517910.6666666667
8,9.0,1.0975141773283053,5.846311091086392e-05,3.911390815404775e-07,1.0,16.66472438421451,0.012,0.24010107432760464,10.000000074505806,0.025299873735125766,1000000.0,0.0,25.0,418948.0
9,10.0,1.1041599380703624,5.249376195017828e-05,3.7156078349132623e-07,1.0,13.709128197212053,0.012,0.24053351354219643,93.70777783542871,4.1310510567882375e-11,1000000.0,0.0,25.0,576390.6666666666
10,11.0,1.032353195838721,4.623485465918606e-05,4.555303163202441e-07,1.0,11.8512712833869,0.012,0.24228295318081905,92.83829759806395,1.1918188658199824e-11,1000000.0,0.0,25.0,477428.0
11,12.0,1.2015080054851899,1.649470606544617e-05,3.596940248704827e-06,1.0,1.5102840917444809,0.012,0.20750169358740322,21.0326155051589,3.921030167219897e-12,1000000.0,0.0,25.0,517910.6666666667
12,13.0,1.0428160221988292,6.182288325568229e-05,4.3976465829460984e-07,1.0,18.079901920278008,0.012,0.24563783282351181,10.000002108514309,0.00900228243975798,1000000.0,0.0,25.0,378465.3333333333
13,14.0,1.0012550511712588,4.8931626674393737e-05,4.6834158203001175e-07,1.0,13.113759681980511,0.012,0.2578085302715323,10.000018544495106,2.445924351945905e-08,1000000.0,0.0,25.0,337982.6666666667
14,15.0,1.024356957432991,4.267465776064652e-05,4.2607078590576816e-07,1.0,10.582870689708287,0.012,0.23706192524969083,29.23188915848732,4.862859059873159e-09,1000000.0,0.0,25.0,477428.0
15,16.0,1.0993251858494182,4.9421274797115686e-05,4.6312205898153927e-07,1.0,13.695939238649906,0.012,0.2574804383644178,10.000000059604645,0.05152684300016813,1000000.0,0.0,25.0,297500.0
16,17.0,1.1108465872626232,3.705139895020253e-05,5.088133768858325e-07,1.0,9.411473900879514,0.012,0.2199205456573594,31.841196194291115,2.1989632337238163e-12,1000000.0,0.0,25.0,477428.0
17,18.0,1.0935275555445891,3.500248023483109e-05,5.454694734403638e-07,1.0,8.945404156936789,0.012,0.19476013188474894,10.000007070600986,4.616582505168054e-09,1000000.0,0.0,25.0,517910.6666666667
18,19.0,1.0388080917022924,4.3227640132047594e-05,4.5645241087193206e-07,1.0,10.936113358912735,0.012,0.2563646552240044,25.668794058263302,0.00560602247787001,1000000.0,0.0,25.0,378465.3333333333
19,20.0,1.0591908593198514,4.469225764808191e-05,4.6225249273013715e-07,1.0,11.963314117982328,0.012,0.18635942586134036,20.93795618414879,7.446654404219544e-12,1000000.0,0.0,25.0,616873.3333333334
20,21.0,1.1652328342029745,4.7888760061154815e-05,5.003033025975271e-07,1.0,12.349307234769874,0.012,0.20366308254024545,10.000000275671482,1.455073839196075e-10,1000000.0,0.0,25.0,477428.0
21,22.0,1.123173555492012,2.2188010142244746e-05,8.927126717743555e-06,1.0,1.247584990292566,0.012,0.21058694383116006,10.0,0.025238358451207366,1000000.0,0.0,25.0,337982.6666666667
22,23.0,1.1082930497954642,5.061719482577186e-05,5.199499862951611e-07,1.0,14.609932359762539,0.012,0.2256529625142889,10.000000074505806,0.0436789282803276,1000000.0,0.0,25.0,337982.6666666667
23,24.0,1.0846014172697636,4.519715263994818e-05,4.95488629575984e-07,1.0,12.287714038467733,0.012,0.25351727718168604,10.000000067055225,4.49402259850018e-09,1000000.0,0.0,25.0,337982.6666666667
24,25.0,1.0931909077916422,5.5013567995435465e-05,4.609582806594132e-07,1.0,15.358582541819978,0.012,0.20581487685362987,71.0241196975112,7.672460999863517e-10,1000000.0,0.0,25.0,576390.6666666666
25,26.0,1.066980066855157,3.878266832496724e-05,4.4965226438495505e-07,1.0,10.715696606226153,0.012,0.2300751047646159,10.000000320374966,0.016604071786184893,1000000.0,0.0,25.0,436945.3333333333
26,27.0,1.128659461345508,3.846091738688948e-05,5.519649694632917e-07,1.0,8.88583029881147,0.012,0.15115235959805773,97.02147839218378,0.007728409065231645,1000000.0,0.0,25.0,715836.0
27,28.0,1.1289857309062503,4.655293233284384e-05,4.7318424414822483e-07,1.0,12.778923942604422,0.012,0.23044861170547648,10.000000312924385,1.6849071027280615e-09,1000000.0,0.0,25.0,418948.0
28,29.0,1.1447491060072679,1.4464235572455839e-05,2.918287287418926e-06,1.0,1.505446484833719,0.012,0.2441721822444407,37.678951658308506,1.1280976153216216e-12,1000000.0,0.0,25.0,436945.3333333333
29,30.0,1.2033532239150766,1.635813058614107e-05,4.579088207328768e-06,1.0,1.4589844630381492,0.012,0.21642657351942063,10.0,0.12495335200283147,1000000.0,0.0,25.0,337982.6666666667
30,31.0,1.0440582856408855,6.685563204307273e-05,3.7039529802835143e-07,1.0,19.451179231249146,0.012,0.2670405055510585,10.000001013278961,0.034907371039844814,1000000.0,0.0,25.0,337982.6666666667
31,32.0,1.0705397398550613,3.5563050883488075e-05,4.3114583920376726e-07,1.0,9.329596752937135,0.012,0.22266667338547563,101.03263238072395,3.1030589209279924e-10,1000000.0,0.0,25.0,616873.3333333334
32,33.0,1.1299453347078778,4.461920209272241e-05,6.127307865291912e-07,1.0,11.791486421863901,0.012,0.20914832971511288,10.000000141561031,1.864474963308993e-09,1000000.0,0.0,25.0,378465.3333333333
33,34.0,0.9948856970600702,1.5646802681347468e-05,3.6631003220629894e-06,1.0,1.3676135013414523,0.012,0.22953634800797573,10.0,0.12022165226382636,1000000.0,0.0,25.0,337982.6666666667
34,35.0,1.0176217789965505,4.7635105508034344e-05,5.112460324796159e-07,1.0,12.759837587421934,0.012,0.21069495031599672,27.424859531223774,8.180973121163504e-10,1000000.0,0.0,25.0,477428.0
35,36.0,1.1640570538253507,5.2423519732365844e-05,4.3424648831061384e-07,1.0,14.408297586717481,0.012,0.22527191105464794,52.493049174547195,1.3193335313133048e-11,1000000.0,0.0,25.0,517910.6666666667
36,37.0,1.0774056251898632,4.8154416394795434e-05,5.067706423501913e-07,1.0,13.592510884856658,0.012,0.19952735877153316,108.44797281175852,1.257537407539644e-10,1000000.0,0.0,25.0,576390.6666666666
37,38.0,1.1454746551412656,3.964047876159048e-05,4.2316250227160044e-07,1.0,10.133782229319792,0.012,0.21856994014737552,10.000000193715096,0.09936809879864966,1000000.0,0.0,25.0,378465.3333333333
38,39.0,0.993924658681975,4.091513379065726e-05,5.056135912223628e-07,1.0,9.141470278741316,0.012,0.19303238553489166,14.253346912562847,0.014408530835794353,1000000.0,0.0,25.0,477428.0
39,40.0,1.1476460437383122,1.7310922383458386e-05,5.0622948931076e-06,1.0,1.479797985324609,0.012,0.21671158648888422,10.0,0.08374893005609607,1000000.0,0.0,25.0,378465.3333333333
40,41.0,1.0685524989796678,4.7143737986155204e-05,4.2227245984100155e-07,1.0,12.880751081392326,0.012,0.24198199050395885,30.945249997079372,3.5827468769511484e-10,1000000.0,0.0,25.0,477428.0
41,42.0,0.970474533633073,4.439019062353296e-05,4.704159315187129e-07,1.0,10.01136346504095,0.012,0.19369939719480556,80.10355877876282,9.139200507490841e-11,1000000.0,0.0,25.0,616873.3333333334
42,43.0,1.199661423399593,5.3772087658843745e-05,3.9668250278325327e-07,1.0,14.693302636891616,0.012,0.2255335545473116,10.000064231455326,0.009075928473087469,1000000.0,0.0,25.0,477428.0
43,44.0,1.0968779823220716,5.319717507674589e-05,3.7889256985792444e-07,1.0,13.432864127323732,0.012,0.206868774574005,169.26236545294523,5.219099485920253e-08,1000000.0,0.0,25.0,715836.0
44,45.0,0.9967269560086144,4.1717856586527804e-05,4.744236701774345e-07,1.0,11.684704897182819,0.012,0.2281529389810757,72.65336471796036,3.9972092302775764e-10,1000000.0,0.0,25.0,517910.6666666667
45,46.0,1.2600618916042894,1.4500134034217434e-05,3.818789481375568e-06,1.0,1.5833778473372888,0.012,0.22572941033969585,10.00000000745058,0.12601788022749283,1000000.0,0.0,25.0,297500.0
46,47.0,1.145557820249889,4.730902146345335e-05,4.4110186987179575e-07,1.0,12.321711767831857,0.012,0.22004228317752705,10.0,0.0037050061756718766,1000000.0,0.0,25.0,477428.0
47,48.0,0.9777506860908308,3.9475400233626044e-05,4.148817596228704e-07,1.0,9.70124881819281,0.012,0.2212407339213982,10.000000029802322,0.05593856674479297,1000000.0,0.0,25.0,436945.3333333333
48,49.0,1.1478398509066305,4.562079155654124e-05,4.987653138224072e-07,1.0,11.244803158393836,0.012,0.21329550155409294,34.07039552927017,7.445760119573208e-10,1000000.0,0.0,25.0,477428.0
49,50.0,1.1259868881172472,5.6283389825337615e-05,4.239325739270299e-07,1.0,14.802784770255357,0.012,0.1989564283748706,20.98867964744568,7.740865171079747e-10,1000000.0,0.0,25.0,576390.6666666666
