,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,T_0,V_0
0,1.0,0.9393963135674477,6.041601974088934,1200000.0,2.6435777261031105e-06,0.23998338666511643,1722.132423095405,0.07129975585068266,944798.8,25.0
1,2.0,0.9929730043354705,5.8063086458573565,1200000.0,2.291259649219269e-06,0.2589959966825788,2910.7445474416018,0.07081554029135262,1007467.6,25.0
2,3.0,0.8640532803430235,5.450117350236631,1200000.0,2.278648606587297e-06,0.276345983766106,2508.2967962548137,0.07114267159628485,883877.6,25.0
3,4.0,1.0204311754282842,5.356215762489981,1200000.0,2.064192050749333e-06,0.2921982603346436,2593.5757177323103,0.09040117179119483,943588.4,25.0
4,5.0,0.8603483615966581,4.8529711016782855,1200000.0,1.8621713069993647e-06,0.3078444189863916,1588.947000786662,0.10038533893003349,893860.0,25.0
5,6.0,0.9953543526178247,5.027625502681303,1200000.0,1.9501801462987504e-06,0.3063750269739103,2232.8023712188005,0.08923154959888069,872827.6,25.0
6,7.0,1.068538684030565,5.747469915362593,1200000.0,2.2986314153353992e-06,0.2544844119919887,2627.270138785243,0.07305323786071538,1036163.6,25.0
7,8.0,0.9865816654695184,5.763007435322315,1200000.0,2.3971163410993428e-06,0.24584685661417893,1981.0640333592892,0.06922073999642925,996274.8,25.0
8,9.0,1.006183278868611,5.874932189685836,1200000.0,2.368354567590188e-06,0.24978524459899631,1838.8128748089075,0.07776256335184728,1010425.6,25.0
9,10.0,1.004013304623865,5.747457119868663,1200000.0,2.1377974742305624e-06,0.27276744642576745,2823.503188930452,0.07773222770020333,1010425.6,25.0
10,11.0,0.8849711364436675,5.063980492986211,1200000.0,1.880741708613963e-06,0.3150776384585825,2395.4023229256272,0.09558656467745003,888583.2,25.0
11,12.0,0.9941573041805464,5.684258238362808,1200000.0,2.3117799606007833e-06,0.2583964472542988,2480.0073138922453,0.07670765107543392,1004509.6,25.0
12,13.0,1.0141428449120449,4.8008003165351525,1200000.0,1.9155520267826883e-06,0.32871850631529753,1933.697343610227,0.10006489260686291,790731.2,25.0
13,14.0,1.0571641700385948,5.306395232905913,1200000.0,2.0469902910006646e-06,0.2867562597393629,2953.616739206016,0.08288141153456569,980519.2,25.0
14,15.0,1.054751290645176,5.501065943807397,1200000.0,2.2540891880888693e-06,0.276125574648745,2173.070655182004,0.08273820640544544,922556.0,25.0
15,16.0,1.0452799028821889,5.3854369412719265,1200000.0,2.1106038057174055e-06,0.27534999914465885,2564.4253917485476,0.0838428034883219,999232.8,25.0
16,17.0,0.9418114626921276,5.490673816207838,1200000.0,2.0756210919033543e-06,0.28000862077615807,2484.2985398098826,0.08073878783169319,983477.2,25.0
17,18.0,0.9217881326001066,5.749334542287613,1200000.0,2.249510980269624e-06,0.2651529987200476,2477.6915867850184,0.0705892432988155,970536.8,25.0
