,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
0,1.0,1.1615280959722167,4.2897906258352345e-05,4.483171168856071e-07,1.0,10.47819457301317,0.012,0.19112382220490076,27.474686451256275,1000000.0,0.0,25.0,616873.3333333334
1,2.0,1.1035836364835439,4.997167776993376e-05,4.3949656583837534e-07,1.0,14.688208184833307,0.012,0.22502311935132724,10.000000700354576,1000000.0,0.0,25.0,477428.0
2,3.0,1.1406479542799821,6.745278185994593e-05,4.288282387455484e-07,1.0,18.35722300099466,0.012,0.26242613424069106,10.000000044703484,1000000.0,0.0,25.0,337982.6666666667
3,4.0,1.0733797562689082,2.0961672607637797e-05,4.820612501366566e-06,1.0,1.2615082576675292,0.012,0.1899580731340791,43.39739514887333,1000000.0,0.0,25.0,616873.3333333334
4,5.0,1.0729065425068427,3.927256610980671e-05,4.2836896266339013e-07,1.0,10.120225728849107,0.012,0.21090988227523155,17.95186087489128,1000000.0,0.0,25.0,576390.6666666666
5,6.0,0.9588476984810334,6.04860821047091e-05,4.5075391409426407e-07,1.0,15.306511242514183,0.012,0.2420772607269086,10.000001348555088,1000000.0,0.0,25.0,378465.3333333333
6,7.0,1.1722924468671543,1.791840013129523e-05,4.971953219570168e-06,1.0,1.3723000381145525,0.012,0.23593993899864785,31.779962562024593,1000000.0,0.0,25.0,436945.3333333333
7,8.0,1.1931556320805077,1.7832355517092092e-05,4.3444685183746274e-06,1.0,1.5180558966361914,0.012,0.19127375581703632,10.0,1000000.0,0.0,25.0,517910.6666666667
8,9.0,1.1439330888365504,1.6935690173522194e-05,4.586064243330822e-06,1.0,1.5144300424426262,0.012,0.23763493179156114,10.0,1000000.0,0.0,25.0,418948.0
9,10.0,1.104159937695438,5.249427846202851e-05,3.7155771684952354e-07,1.0,13.709208183793585,0.012,0.24053795070942385,93.73577105253935,1000000.0,0.0,25.0,576390.6666666666
10,11.0,1.1100509126527014,1.7843742861809357e-05,4.428476715150332e-06,1.0,1.325471824478619,0.012,0.23351928314164638,105.67619375139475,1000000.0,0.0,25.0,477428.0
11,12.0,1.1539965841190607,4.220035824771893e-05,4.492574465310347e-07,1.0,11.460486575778368,0.012,0.22120525583707007,26.227813236415386,1000000.0,0.0,25.0,517910.6666666667
12,13.0,1.0429890315271884,6.180157114053459e-05,4.4411421620838833e-07,1.0,18.067922168490984,0.012,0.24902801434841848,10.000000186264515,1000000.0,0.0,25.0,378465.3333333333
13,14.0,1.0012549806165438,4.89215232865392e-05,4.6836210592345534e-07,1.0,13.110226887840433,0.012,0.2578262622736105,10.000000074505806,1000000.0,0.0,25.0,337982.6666666667
