,S2,S2_conf
"('p', 'c_V')",0.13949460421962157,0.027772860277250268
"('p', 'r')",-0.004620158510811552,0.022573491623311483
"('p', 'd_T')",0.0009684644823712701,0.024184781503455332
"('p', 'c_T')",0.0017717983066735093,0.026053786792526824
"('c_V', 'r')",0.0004293084491236375,0.029441383204828423
"('c_V', 'd_T')",0.003839623062326644,0.028618354979627506
"('c_V', 'c_T')",0.019096186014838618,0.03416358145964962
"('r', 'd_T')",0.0042804902427788435,0.011086880872041998
"('r', 'c_T')",0.0036806778385401265,0.01202914683602887
"('d_T', 'c_T')",0.009844831518801429,0.014666236443468199
