,S2,S2_conf
"('beta', 'd_I')",0.05330855862754458,0.056704308342100246
"('beta', 'c')",0.033768155340778705,0.04419388580789054
"('beta', 'd_T')",0.006873972806138086,0.02526322822385533
"('beta', 'r')",0.0033471244748867193,0.020598877090511523
"('beta', 'c_T')",0.01154136981570749,0.02475358951699679
"('d_I', 'c')",0.13563253667338732,0.10409516510772704
"('d_I', 'd_T')",0.025079689872321387,0.10092221024310069
"('d_I', 'r')",0.01910233075820064,0.09773012096000841
"('d_I', 'c_T')",0.026778899005397074,0.09527041758469885
"('c', 'd_T')",0.018433321657683733,0.1495615508801343
"('c', 'r')",0.019707131591650825,0.15104372794984658
"('c', 'c_T')",0.034475271982776313,0.1538473754734374
"('d_T', 'r')",-0.00026148310276872774,0.0016668794264247467
"('d_T', 'c_T')",-0.00026068738679565964,0.0016695833473631615
"('r', 'c_T')",-0.00011288013911350207,0.0006310505556163296
