,S2,S2_conf
"('p', 'c_V')",0.007553577703270718,0.01408608530864392
"('p', 'r')",0.12175947468094045,0.0952627014180078
"('p', 'd_T')",0.0018889593603726787,0.013740900141627477
"('p', 'K')",0.0007977551892511985,0.014488028375380954
"('c_V', 'r')",0.33128949302224714,0.2850097429359933
"('c_V', 'd_T')",0.020646875290460595,0.042240171820097
"('c_V', 'K')",0.020950157396244548,0.05035312900773339
"('r', 'd_T')",0.09162993625829682,0.2736128116154332
"('r', 'K')",0.04620313485463607,0.25140049883548404
"('d_T', 'K')",-0.013245060678157984,0.034858598582315145
