,S2,S2_conf
"('p', 'c_V')",0.22607085620961762,0.028816811480406244
"('p', 'r')",0.01320222441839877,0.025902815238455994
"('p', 'd_T')",0.021025968393327897,0.026632526438810446
"('p', 'K')",0.01002110123352589,0.02796550009194018
"('c_V', 'r')",-0.0011832158544816136,0.029300817399327567
"('c_V', 'd_T')",0.014941801048534119,0.033060093371463914
"('c_V', 'K')",0.01954829953280459,0.03234414499758024
"('r', 'd_T')",0.005583979393252232,0.016456083775452372
"('r', 'K')",0.0008317513012336825,0.016624858247880427
"('d_T', 'K')",-0.0012445226368576617,0.018362926475379404
