,S2,S2_conf
"('p', 'c_V')",-0.9912120084554219,1.5744616569885101
"('p', 'r')",-0.0010206653996080394,0.011000764345399991
"('p', 'd_T')",0.0004882250143110845,0.011252019186619229
"('p', 'c_T')",-0.004458176982010173,0.008130584466985141
"('p', 'K')",-0.004866544741445225,0.007765265266997006
"('c_V', 'r')",-1.0614540580609164,1.6804270889092823
"('c_V', 'd_T')",-0.991440031203163,1.7654464512356058
"('c_V', 'c_T')",-1.0634469021427246,1.6694533400174536
"('c_V', 'K')",-1.0702052736296206,1.6647442590364623
"('r', 'd_T')",0.0012794507665021286,0.003810604911605981
"('r', 'c_T')",0.0022829003854763106,0.004951392758314691
"('r', 'K')",0.0012439486891047714,0.004037543682480231
"('d_T', 'c_T')",0.002677617717948764,0.006532906611735353
"('d_T', 'K')",0.0015282352191912,0.004733422488921985
"('c_T', 'K')",-0.003703093400484545,0.016782373738221473
