,S2,S2_conf
"('beta', 'd_I')",0.036872129902539144,0.0984131854903615
"('beta', 'c')",-0.00035912297595239173,0.038152157331014236
"('beta', 'd_T')",0.0031369128946651275,0.017944820948411027
"('beta', 'r')",-0.0008547299080981082,0.01448376721037145
"('beta', 'k_T')",-0.0008558020648007111,0.014483854708052945
"('beta', 'c_T')",0.00044672222251773827,0.01585913692031096
"('beta', 'K')",-0.0019884230555542916,0.014040891024783559
"('d_I', 'c')",-0.014051356147189942,0.07830512423581645
"('d_I', 'd_T')",-0.05130530222310526,0.05486399075111944
"('d_I', 'r')",-0.05449655231917178,0.05450827329934269
"('d_I', 'k_T')",-0.05384400310161608,0.05461143620068339
"('d_I', 'c_T')",-0.06161375916139707,0.050725713854549576
"('d_I', 'K')",-0.03321618179424476,0.06049602628375641
"('c', 'd_T')",0.19337052535986357,0.19825532519264866
"('c', 'r')",0.0503686686203939,0.11327112728286746
"('c', 'k_T')",0.04983192244972014,0.11338641090445267
"('c', 'c_T')",0.06636044754989909,0.10104464219778901
"('c', 'K')",0.07145037758424785,0.10191390840238566
"('d_T', 'r')",0.005522542049299796,0.005593569214632067
"('d_T', 'k_T')",0.005500369312347704,0.005600052056414793
"('d_T', 'c_T')",0.00355629390042654,0.004444427200383429
"('d_T', 'K')",0.004863938493804914,0.005507154623223669
"('r', 'k_T')",0.0003555961522825945,0.0006191570020534502
"('r', 'c_T')",0.00038701148781201,0.0006534313410102325
"('r', 'K')",0.00035826177539444366,0.0006188118254708816
"('k_T', 'c_T')",0.00017733572754319,0.0013045403837284389
"('k_T', 'K')",0.00014805764363117445,0.0012575432858888767
"('c_T', 'K')",0.003990143504936127,0.01361984791609616
