,S2,S2_conf
"('beta', 'd_I')",-0.005388796544602309,0.04912650220459776
"('beta', 'c')",0.03761528029186145,0.05344684545485619
"('beta', 'd_T')",-0.008088232427335775,0.013758252092457244
"('beta', 'r')",-0.006931360219914631,0.013808664984134824
"('beta', 'c_T')",-0.006911555919736729,0.013397355898016425
"('beta', 'K')",-0.007040170929162753,0.013878585914845209
"('d_I', 'c')",0.015251044853160867,0.12413044657691655
"('d_I', 'd_T')",-0.07395780300405078,0.09768130616923643
"('d_I', 'r')",-0.08065130367895558,0.09673091925713266
"('d_I', 'c_T')",-0.09241013774500406,0.100443142398288
"('d_I', 'K')",-0.10922568830040574,0.09412196053092566
"('c', 'd_T')",-0.0065727230936533446,0.1429889373297008
"('c', 'r')",-0.006579431114811133,0.1407188717845266
"('c', 'c_T')",0.009117230358425817,0.147002232702458
"('c', 'K')",0.02427637228268772,0.14312859876283154
"('d_T', 'r')",-0.0064757112064346995,0.00855068198217026
"('d_T', 'c_T')",-0.007816685162036093,0.010152591292720088
"('d_T', 'K')",-0.0065403100638094834,0.008630103311568259
"('r', 'c_T')",3.902365490876156e-05,0.0004992500862906813
"('r', 'K')",-0.00014187942312410967,0.0002618082829609888
"('c_T', 'K')",0.001924199058983101,0.0103503776854434
