,S2,S2_conf
"('p', 'c_V')",0.12747061025405326,0.004682461727399555
"('p', 'r')",-0.0004694839331770683,0.004835608016793216
"('p', 'k_T')",0.00020447068449421229,0.0049132049913479005
"('p', 'd_T')",0.00126070371311701,0.004772267521249813
"('p', 'c_T')",0.0101281298859364,0.005119201831150177
"('c_V', 'r')",-6.808862384865416e-07,0.00435606763184517
"('c_V', 'k_T')",0.0005625398027871597,0.004312116929479613
"('c_V', 'd_T')",0.002102031771797101,0.004657103528938949
"('c_V', 'c_T')",0.010257597970248146,0.0048010658406845855
"('r', 'k_T')",0.0004828607681608498,0.00048464547676586997
"('r', 'd_T')",0.00018390025472324843,0.0004689955636817143
"('r', 'c_T')",2.8820337156468256e-05,0.0004806510433469156
"('k_T', 'd_T')",0.0004887844536665079,0.0008312904918185855
"('k_T', 'c_T')",0.00045824149665174563,0.0007560616430786684
"('d_T', 'c_T')",0.002337913956294603,0.002226866608344047
