,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0,RMSLE
0,1.0000000000000018e-08,3.072545033125173e-07,1.0,0.010000000000005116,0.012,0.23979662779879618,10.0,1000000.0,0.0,25.0,477428.0,4.108349146289351
1,1.3738237958832657e-08,3.189094994281077e-07,1.0,0.010000000000005116,0.012,0.23854000932796993,10.0,1000000.0,0.0,25.0,477428.0,4.100281454271866
2,1.8873918221351015e-08,3.3452082180086877e-07,1.0,0.010000000000005116,0.012,0.23708535414548493,10.0,1000000.0,0.0,25.0,477428.0,4.089797730129352
3,2.5929437974046743e-08,3.5536563096378465e-07,1.0,0.010000000000005116,0.012,0.2354898642656238,10.0,1000000.0,0.0,25.0,477428.0,4.076383193562818
4,3.562247890262453e-08,3.831171610077898e-07,1.0,0.010000000000005116,0.012,0.23385893694883464,10.0,1000000.0,0.0,25.0,477428.0,4.059530697671421
5,4.8939009184775094e-08,4.1999513407184336e-07,1.0,0.010000000000005116,0.012,0.23234272746200446,10.0,1000000.0,0.0,25.0,477428.0,4.0388049003125355
6,6.723357536499336e-08,4.6895049639445824e-07,1.0,0.010000000000005116,0.012,0.23111713750585494,10.0,1000000.0,0.0,25.0,477428.0,4.013921518610629
7,9.236708571873864e-08,5.339243970292628e-07,1.0,0.010000000000005116,0.012,0.23035096986147607,10.0,1000000.0,0.0,25.0,477428.0,3.984829465467515
8,1.2689610031679227e-07,6.202233534122331e-07,1.0,0.010000000000005116,0.012,0.23016976354147545,10.0,1000000.0,0.0,25.0,477428.0,3.951778897633562
9,1.7433288221999894e-07,7.190624659777481e-07,1.0,0.01438605094790546,0.012,0.2312493833063911,10.0,1000000.0,0.0,25.0,477428.0,3.9153089017201426
10,2.395026619987488e-07,6.962566025466873e-07,1.0,0.06343294512794273,0.012,0.23852194621368739,10.0,1000000.0,0.0,25.0,477428.0,3.8701180897676952
11,3.2903445623126725e-07,6.876417446060798e-07,1.0,0.1989165040925016,0.012,99.99999999985087,25441.71184168011,1000000.0,0.0,25.0,477428.0,3.8060701415935334
12,4.52035365636025e-07,6.904652072255472e-07,1.0,0.2738222413962603,0.012,99.9999999998507,29565.225576542318,1000000.0,0.0,25.0,477428.0,3.7071351320578048
13,6.210169418915627e-07,7.198337104106221e-07,1.0,0.36048831761254263,0.012,25.987624053633134,9485.767323330045,1000000.0,0.0,25.0,477428.0,3.5845262691072834
14,8.531678524172826e-07,7.509619013937601e-07,1.0,0.4602309133814657,0.012,2.2064372586373153,918.8612993434072,1000000.0,0.0,25.0,477428.0,3.4374225241785297
15,1.1721022975334808e-06,8.087066046827816e-07,1.0,0.5734897945766093,0.012,1.2656930228464134,626.6318105235696,1000000.0,0.0,25.0,477428.0,3.265300959046133
16,1.6102620275609406e-06,8.993941250968565e-07,1.0,0.7009778409004355,0.012,0.9455792716197706,579.5884684994817,1000000.0,0.0,25.0,477428.0,3.0691697799769577
17,2.2122162910704516e-06,1.0260666749374218e-06,1.0,0.8474108017836386,0.012,0.7881733804453859,619.4543996453285,1000000.0,0.0,25.0,477428.0,2.8508399600744334
18,3.0391953823131964e-06,1.1839543262842148e-06,1.0,1.023916237184558,0.012,0.696305501659765,724.915969774127,1000000.0,0.0,25.0,477428.0,2.611629322167725
19,4.175318936560401e-06,1.3730111436176874e-06,1.0,1.2352669741686242,0.012,0.6319157430948223,913.0299062356353,1000000.0,0.0,25.0,477428.0,2.351170925799598
20,5.73615251044868e-06,1.5802904735596088e-06,1.0,1.4750773537275705,0.012,0.5811801584464646,1327.9884768873453,1000000.0,0.0,25.0,477428.0,2.065963886917113
21,7.880462815669915e-06,1.1926037419982132e-06,1.0,1.706742110869115,0.012,1.0647141103660616,56117.00351805985,1000000.0,0.0,25.0,477428.0,1.6762532716314418
22,1.0826367338740554e-05,1.430707062196212e-06,1.0,1.8294162899761375,0.012,0.27230534512472104,174.96083875000477,1000000.0,0.0,25.0,477428.0,1.316244162570458
23,1.487352107293513e-05,2.967567670415761e-06,1.0,1.5687999958578303,0.012,0.21425041036468429,18.493284098803997,1000000.0,0.0,25.0,477428.0,1.1912379137305935
24,2.0433597178569445e-05,5.715243814580594e-06,1.0,1.3238668757358454,0.012,0.19952608913219194,10.0,1000000.0,0.0,25.0,477428.0,1.185197917052962
25,2.8072162039411814e-05,5.561379871187264e-07,1.0,6.858918687237235,0.012,0.20965744260251284,10.0,1000000.0,0.0,25.0,477428.0,1.1391301455422873
26,3.856620421163472e-05,4.982226489170992e-07,1.0,9.99941207240699,0.012,0.21224922865103935,10.000001817941666,1000000.0,0.0,25.0,477428.0,1.1164872288579228
27,5.2983169062837105e-05,4.468575457651134e-07,1.0,14.245456562038555,0.012,0.21911260289004275,14.78624477982521,1000000.0,0.0,25.0,477428.0,1.1148505132686493
28,7.278953843983155e-05,4.021272729139085e-07,1.0,19.893437942030822,0.012,0.22715698363344927,22.589300118386745,1000000.0,0.0,25.0,477428.0,1.1296550843085977
29,0.00010000000000000009,3.6328548005089083e-07,1.0,27.34034908886445,0.012,0.23409007000940107,30.80467550456524,1000000.0,0.0,25.0,477428.0,1.1580895822776598
