,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0,RMSLE
0,9.99999999968387e-05,9.9999999997901e-05,1.0,0.010000000000000004,0.012,0.21242963188932862,10.000000014901161,1000000.0,0.0,25.0,477428.0,3.433813027777153
1,9.999999999533714e-05,9.999999997403048e-05,1.0,0.013738237958832639,0.012,0.21195259433851277,10.000000029802322,1000000.0,0.0,25.0,477428.0,3.4194366918416836
2,9.999999999878119e-05,9.99999999995194e-05,1.0,0.018873918221350972,0.012,0.21129946196852245,10.0,1000000.0,0.0,25.0,477428.0,3.3998023775581
3,9.999999998669323e-05,9.999999994095866e-05,1.0,0.025929437974046683,0.012,0.21036948513550158,10.000000052154064,1000000.0,0.0,25.0,477428.0,3.37305087076733
4,9.999999963954625e-05,9.999999930768054e-05,1.0,0.035622478902624426,0.012,0.2091298896514857,10.000000305473804,1000000.0,0.0,25.0,477428.0,3.3367270739294006
5,9.999999998756362e-05,9.999999993943613e-05,1.0,0.04893900918477494,0.012,0.20733145824826948,10.000000052154064,1000000.0,0.0,25.0,477428.0,3.287653871667388
6,9.999999998554562e-05,9.999999993833912e-05,1.0,0.06723357536499339,0.012,0.2048678462129061,10.00000013411045,1000000.0,0.0,25.0,477428.0,3.22185766661347
7,9.999999996315803e-05,9.639107145135618e-05,1.0,0.09236708571873864,0.012,0.20170845730312692,10.000005029141903,1000000.0,0.0,25.0,477428.0,3.1338299735973814
8,9.999999999997854e-05,8.891597349121522e-05,1.0,0.12689610031679222,0.012,0.19798020025839236,10.000000014901161,1000000.0,0.0,25.0,477428.0,3.01153799811055
9,9.999999999688851e-05,8.122336609840881e-05,1.0,0.17433288221999876,0.012,0.19444281852786105,12.533565118908882,1000000.0,0.0,25.0,477428.0,2.8414327659638574
10,9.999999999931323e-05,8.750431404346869e-05,1.0,0.23950266199874848,0.012,0.3752741120453962,2753.4925365000963,1000000.0,0.0,25.0,477428.0,2.5995708483100843
11,9.999999997893855e-05,7.67760630860165e-05,1.0,0.3290344562312668,0.012,0.356996214274524,2072.539949283004,1000000.0,0.0,25.0,477428.0,2.27146809957337
12,9.999999994072749e-05,6.503102765453599e-05,1.0,0.4520353656360242,0.012,0.2846534540581871,766.9313534647226,1000000.0,0.0,25.0,477428.0,1.8982441079773893
13,7.557179442512703e-05,4.1113469695825105e-05,1.0,0.6210169418915613,0.012,0.22593817794212612,163.3354516327381,1000000.0,0.0,25.0,477428.0,1.5925247132955291
14,3.5807609502291016e-05,1.5168632975692376e-05,1.0,0.8531678524172807,0.012,0.21660268282244033,79.66638219356537,1000000.0,0.0,25.0,477428.0,1.3573758229872204
15,2.1177290222251275e-05,6.2594409567144025e-06,1.0,1.1721022975334792,0.012,0.20725335959180313,23.250460125505924,1000000.0,0.0,25.0,477428.0,1.2020724311635835
16,1.6202089575379942e-05,3.5093948366689173e-06,1.0,1.6102620275609385,0.012,0.2052272176675487,10.0,1000000.0,0.0,25.0,477428.0,1.1860539758314292
17,1.3791186061578996e-05,2.01245652390705e-06,1.0,2.212216291070449,0.012,0.20676662522495093,10.000000089406967,1000000.0,0.0,25.0,477428.0,1.245418972440588
18,1.630880717670874e-05,7.52701170742882e-07,1.0,3.039195382313195,0.012,0.20256322267796634,10.0,1000000.0,0.0,25.0,477428.0,1.2405634102882566
19,2.0035385980707276e-05,6.552337934789609e-07,1.0,4.175318936560399,0.012,0.2043551308849345,10.0,1000000.0,0.0,25.0,477428.0,1.1950793123020225
20,2.5003113073026732e-05,5.890894837725144e-07,1.0,5.736152510448673,0.012,0.20689958509203876,10.0,1000000.0,0.0,25.0,477428.0,1.1553804211967873
21,3.186746974310062e-05,5.348677123558101e-07,1.0,7.8804628156699055,0.012,0.20972744060990323,10.000000171363354,1000000.0,0.0,25.0,477428.0,1.127743899482719
22,4.147981248639287e-05,4.872000349241351e-07,1.0,10.826367338740537,0.012,0.21265063726403355,10.0,1000000.0,0.0,25.0,477428.0,1.1144738376588388
23,5.493145359127231e-05,4.402717469499098e-07,1.0,14.873521072935095,0.012,0.22086730382603292,16.311561055481434,1000000.0,0.0,25.0,477428.0,1.1158234154868507
24,7.397958926975146e-05,3.978854099679079e-07,1.0,20.4335971785694,0.012,0.22914670097485157,24.51575395464897,1000000.0,0.0,25.0,477428.0,1.1311521739188537
25,9.999999906558959e-05,3.5900993209862206e-07,1.0,28.07216203941175,0.012,0.23771657956817194,34.39373041689396,1000000.0,0.0,25.0,477428.0,1.1605292463730532
26,9.9999999999997e-05,3.0020675898847755e-07,1.0,38.56620421163467,0.012,0.30408611754534576,115.74735140055418,1000000.0,0.0,25.0,477428.0,1.590573815333072
27,9.999999998507705e-05,2.241763760112454e-07,1.0,52.983169062837035,0.012,0.6090182317929091,1401.8934803009033,1000000.0,0.0,25.0,477428.0,2.468209795798171
28,9.999999998283948e-05,1.7596372021173726e-07,1.0,72.78953843983146,0.012,0.9383385005235283,880.1104525029659,1000000.0,0.0,25.0,477428.0,3.5255336402420534
29,9.999999999992521e-05,1.3533961135472894e-07,1.0,99.99999999999994,0.012,0.6885733074837859,47.27189330011606,1000000.0,0.0,25.0,477428.0,4.488111391218354
