,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0,RMSLE
0,9.999999997096988e-05,1.0000000000000018e-08,1.0,32.21178630220612,0.012,0.6098571289755199,1682.7412170097232,1000000.0,0.0,25.0,477428.0,2.9344568319171285
1,9.999999996620769e-05,1.3738237958832657e-08,1.0,31.71478067556799,0.012,0.57414451021031,1243.2013338059187,1000000.0,0.0,25.0,477428.0,2.7625761377941758
2,9.999999947108084e-05,1.8873918221351015e-08,1.0,31.24712566297431,0.012,0.544240000521917,1012.7542791366577,1000000.0,0.0,25.0,477428.0,2.586153226494247
3,9.999999942151221e-05,2.5929437974046743e-08,1.0,30.798798849448975,0.012,0.5199464647706407,914.8076628595591,1000000.0,0.0,25.0,477428.0,2.4058836483826758
4,9.99999999728012e-05,3.562247890262453e-08,1.0,30.360467918144156,0.012,0.5041365235800797,956.7575541138649,1000000.0,0.0,25.0,477428.0,2.222055419265441
5,9.999999960513603e-05,4.8939009184775094e-08,1.0,29.9271313294832,0.012,0.4985247658185088,1161.1228634566069,1000000.0,0.0,25.0,477428.0,2.034774621654516
6,9.999999998439091e-05,6.723357536499336e-08,1.0,29.498076127008034,0.012,0.485106558208237,1267.1008419469,1000000.0,0.0,25.0,477428.0,1.845996402580454
7,9.999999973742598e-05,9.236708571873864e-08,1.0,29.079867612286492,0.012,0.4543979095429691,1115.6432841047645,1000000.0,0.0,25.0,477428.0,1.6612494101142092
8,9.999999999003812e-05,1.2689610031679227e-07,1.0,28.673039041867536,0.012,0.41053949799484,789.0353352725506,1000000.0,0.0,25.0,477428.0,1.4881711800418533
9,9.999999979970891e-05,1.7433288221999894e-07,1.0,28.280790395115275,0.012,0.35741211308305765,409.65541741997004,1000000.0,0.0,25.0,477428.0,1.3368731347797822
10,9.568864358335539e-05,2.395026619987488e-07,1.0,26.739717193704966,0.012,0.3033790328269177,154.06298449635506,1000000.0,0.0,25.0,477428.0,1.2212978836494541
11,6.742772797033202e-05,3.2903445623126725e-07,1.0,18.651658906623826,0.012,0.26142736032563363,54.44196903705597,1000000.0,0.0,25.0,477428.0,1.1450028239191083
12,4.806131563411426e-05,4.52035365636025e-07,1.0,12.831103670324914,0.012,0.2199956166666368,14.400745019316673,1000000.0,0.0,25.0,477428.0,1.1136392138889117
13,3.4776461187932035e-05,6.210169418915627e-07,1.0,8.742418275348115,0.012,0.19176911923486983,10.0,1000000.0,0.0,25.0,477428.0,1.1368794641541367
14,2.52092499569268e-05,8.531678524172826e-07,1.0,5.799222369405065,0.012,0.16852983246067765,10.000000074505806,1000000.0,0.0,25.0,477428.0,1.2151374027449606
15,1.2733022925312095e-05,1.1721022975334808e-06,1.0,2.123477584949356,0.012,0.21111395449324277,10.0,1000000.0,0.0,25.0,477428.0,1.2607900316903713
16,1.2969026825096517e-05,1.6102620275609406e-06,1.0,1.8608775502588202,0.012,0.21371664282564495,10.0,1000000.0,0.0,25.0,477428.0,1.2353480636237777
17,1.3915849274765203e-05,2.2122162910704516e-06,1.0,1.6938163243151294,0.012,0.2118784210640854,10.0,1000000.0,0.0,25.0,477428.0,1.2082004281884138
18,1.5399773493630487e-05,3.0391953823131964e-06,1.0,1.5554346368494691,0.012,0.208283889520537,10.00000000745058,1000000.0,0.0,25.0,477428.0,1.1877431595317158
19,1.7472386698091332e-05,4.175318936560401e-06,1.0,1.434138588460101,0.012,0.20371659254151098,10.000000029802322,1000000.0,0.0,25.0,477428.0,1.178940618334224
20,2.0281206746817784e-05,5.73615251044868e-06,1.0,1.3268862458156008,0.012,0.1987308184823604,10.000000044703484,1000000.0,0.0,25.0,477428.0,1.1849544329455326
21,2.4051762169641955e-05,7.880462815669915e-06,1.0,1.2295461860316976,0.012,0.19436479841107257,10.639142990112305,1000000.0,0.0,25.0,477428.0,1.206544145884514
22,2.9155011242032192e-05,1.0826367338740554e-05,1.0,1.1398996725590749,0.012,0.1899198325997844,10.589512884616852,1000000.0,0.0,25.0,477428.0,1.242165096914473
23,3.602897008655613e-05,1.487352107293513e-05,1.0,1.0555993539500363,0.012,0.18591197750824762,10.332530088722706,1000000.0,0.0,25.0,477428.0,1.2891046490816083
24,4.522276068777826e-05,2.0433597178569445e-05,1.0,0.9751169221755163,0.012,0.18316133711726934,10.937588840723038,1000000.0,0.0,25.0,477428.0,1.3447093450505179
25,5.746584872056982e-05,2.8072162039411814e-05,1.0,0.8979840226199656,0.012,0.18201231578012056,13.131864607334137,1000000.0,0.0,25.0,477428.0,1.40702021679059
26,7.369161805656957e-05,3.856620421163472e-05,1.0,0.8244121876311894,0.012,0.18283041117086896,18.117457062005997,1000000.0,0.0,25.0,477428.0,1.4748453114489586
27,9.51122463393375e-05,5.2983169062837105e-05,1.0,0.7553536584614235,0.012,0.1858449492558094,27.575373128056526,1000000.0,0.0,25.0,477428.0,1.5475952409820382
28,9.999999936838637e-05,7.278953843983155e-05,1.0,0.6813528840868415,0.012,0.4553650078132776,2428.6010461598635,1000000.0,0.0,25.0,477428.0,1.6662148889174844
29,9.999999996470268e-05,0.00010000000000000009,1.0,0.5817562180542595,0.012,99.99979946964788,761941.2900286242,1000000.0,0.0,25.0,477428.0,1.9900387981753678
