,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0,RMSLE
0,4.620375104127226e-05,4.699507164960192e-07,1.0,12.250738238324466,0.012,0.2137886285046804,9.999999999999998,1000000.0,0.0,25.0,477428.0,1.113342044823168
1,4.67859032987082e-05,4.6320065348220464e-07,1.0,12.453135033413773,0.012,0.2198621211897418,17.433288221999877,1000000.0,0.0,25.0,477428.0,1.1135122855099564
2,4.737653615499869e-05,4.562602967316215e-07,1.0,12.65837216056115,0.012,0.22707137483840256,30.391953823131956,1000000.0,0.0,25.0,477428.0,1.114561994791128
3,4.7953775365998166e-05,4.4920921980932596e-07,1.0,12.85834633531011,0.012,0.23538256872672036,52.98316906283706,1000000.0,0.0,25.0,477428.0,1.1168931264413522
4,1.7330616246369138e-05,4.5288290665414674e-06,1.0,1.385684005511905,0.012,0.23345050957642854,92.36708571873858,1000000.0,0.0,25.0,477428.0,1.185672255762138
5,4.8953172141368675e-05,4.3523123332523756e-07,1.0,13.204448057995322,0.012,0.25573559361808407,161.02620275609377,1000000.0,0.0,25.0,477428.0,1.1266814513327532
6,4.9277659415475724e-05,4.2889385383065035e-07,1.0,13.321677104664651,0.012,0.2683881561886068,280.72162039411734,1000000.0,0.0,25.0,477428.0,1.1345518905683805
7,1.7144399980981737e-05,4.848496001364396e-06,1.0,1.342789974480766,0.012,0.2777500450338479,489.3900918477489,1000000.0,0.0,25.0,477428.0,1.2044632900630694
8,4.926772177683428e-05,4.1909893655814166e-07,1.0,13.357884638444972,0.012,0.302238024796182,853.1678524172805,1000000.0,0.0,25.0,477428.0,1.1561846505250841
9,4.883154349565291e-05,4.1594984829410264e-07,1.0,13.250268395160177,0.012,0.326292103285013,1487.3521072935102,1000000.0,0.0,25.0,477428.0,1.1693931103723274
10,4.80321641470946e-05,4.1407764019908596e-07,1.0,13.03850373233741,0.012,0.35822332307110827,2592.943797404664,1000000.0,0.0,25.0,477428.0,1.1837440503971421
11,1.7131892614849415e-05,5.289118674175748e-06,1.0,1.2839309056566677,0.012,0.41241711433055883,4520.353656360236,1000000.0,0.0,25.0,477428.0,1.246477156348599
12,1.7117028950842048e-05,5.372595558633255e-06,1.0,1.2728606383838255,0.012,0.47978393856092794,7880.462815669896,1000000.0,0.0,25.0,477428.0,1.2588769721417077
13,4.396881027939027e-05,4.171447034838886e-07,1.0,11.946813333707873,0.012,0.5539922388128744,13738.23795883262,1000000.0,0.0,25.0,477428.0,1.2308766401037816
14,4.2629282609432385e-05,4.2026462319186834e-07,1.0,11.604490307789234,0.012,0.6929977443875259,23950.26619987483,1000000.0,0.0,25.0,477428.0,1.2459799564615073
15,1.7028392280038904e-05,5.599168746107011e-06,1.0,1.255845711602376,0.012,0.9650874498387623,41753.189365603954,1000000.0,0.0,25.0,477428.0,1.2931021898121782
16,1.701541944167782e-05,5.681383928780629e-06,1.0,1.2539863179505701,0.012,1.3614880399430405,72789.53843983138,1000000.0,0.0,25.0,477428.0,1.3014161693549542
17,1.7024114013521475e-05,5.765081776085669e-06,1.0,1.2527684140496618,0.012,2.0395391429603293,126896.10031679194,1000000.0,0.0,25.0,477428.0,1.3076881467454013
18,4.051707739246731e-05,4.2819150315255886e-07,1.0,11.191720702796928,0.012,3.029153260489636,221221.6291070443,1000000.0,0.0,25.0,477428.0,1.283930558195148
19,1.7071196952295198e-05,5.899272631218849e-06,1.0,1.2511532798088183,0.012,5.266667786201673,385662.0421163467,1000000.0,0.0,25.0,477428.0,1.314949411730681
20,1.7091508985805322e-05,5.940650542287825e-06,1.0,1.2506705402275315,0.012,8.843983883832891,672335.7536499324,1000000.0,0.0,25.0,477428.0,1.3167431718554974
21,4.064804426881129e-05,4.288807250535999e-07,1.0,11.290415936256792,0.012,14.17399348575681,1172102.2975334777,1000000.0,0.0,25.0,477428.0,1.2913466666140905
22,4.068230206421262e-05,4.289267980705835e-07,1.0,11.307810788337228,0.012,24.39043028539813,2043359.7178569369,1000000.0,0.0,25.0,477428.0,1.2921704881324292
23,4.070744113116535e-05,4.289294346804403e-07,1.0,11.319480537745513,0.012,42.20537483183036,3562247.890262432,1000000.0,0.0,25.0,477428.0,1.2926513305757086
24,4.0716302370094553e-05,4.289501692441848e-07,1.0,11.324449588351484,0.012,73.25157046688628,6210169.418915595,1000000.0,0.0,25.0,477428.0,1.2929299400793495
25,3.2514241455875456e-05,4.673219572469555e-07,1.0,8.645715681931009,0.012,99.9999999983862,10826367.338740543,1000000.0,0.0,25.0,477428.0,1.298468275270546
26,2.0694842455694146e-05,5.731462749342998e-07,1.0,4.677363517835438,0.012,99.99999998665486,18873918.221350927,1000000.0,0.0,25.0,477428.0,1.348855333469891
27,1.4159694247699291e-05,7.692474797829966e-07,1.0,2.4087811668670085,0.012,99.99999999999946,32903445.623126652,1000000.0,0.0,25.0,477428.0,1.4416506071268815
28,1.4334262054347598e-05,1.2504708376013935e-06,1.0,1.6601062720804407,0.012,99.99999999999906,57361525.10448661,1000000.0,0.0,25.0,477428.0,1.6339480513126714
29,1.5736172033007367e-05,2.1561493147560798e-06,1.0,1.642693960232812,0.012,99.99999999999926,99999999.99999982,1000000.0,0.0,25.0,477428.0,1.8668952177307228
