,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0,RMSLE
0,2.8998896884240015e-05,2.5877058547830642e-06,1.0,5.2546776933366885,0.012,0.00010000000000000009,10.000000022351742,1000000.0,0.0,25.0,477428.0,2.073105537570822
1,2.9003516445128534e-05,2.586205538489161e-06,1.0,5.256791587497375,0.012,0.00016102620275609415,10.0,1000000.0,0.0,25.0,477428.0,2.0726809479472315
2,2.9010548723864075e-05,2.583800512455984e-06,1.0,5.260082109349348,0.012,0.0002592943797404667,10.00000012665987,1000000.0,0.0,25.0,477428.0,2.0719973052174847
3,2.9022375464572215e-05,2.579919677757022e-06,1.0,5.265513848261399,0.012,0.00041753189365604024,10.0,1000000.0,0.0,25.0,477428.0,2.070896610063528
4,2.9041328674359236e-05,2.573689367277364e-06,1.0,5.274233154354349,0.012,0.0006723357536499342,10.000000074505806,1000000.0,0.0,25.0,477428.0,2.069124589930461
5,2.9071021337414013e-05,2.5637198738081153e-06,1.0,5.288043616630709,0.012,0.0010826367338740558,10.000000067055225,1000000.0,0.0,25.0,477428.0,2.0662721909251793
6,2.91200363083916e-05,2.5477254364685605e-06,1.0,5.310600942431016,0.012,0.0017433288221999892,10.0,1000000.0,0.0,25.0,477428.0,2.0616817402014744
7,2.9200291034724828e-05,2.5221808032079636e-06,1.0,5.347264177648945,0.012,0.0028072162039411777,10.00000013411045,1000000.0,0.0,25.0,477428.0,2.054296921624183
8,2.9325194293794115e-05,2.4818272843161237e-06,1.0,5.404980903346029,0.012,0.004520353656360246,10.0,1000000.0,0.0,25.0,477428.0,2.042424100461232
9,2.953034616913858e-05,2.4183527097692786e-06,1.0,5.498783832482921,0.012,0.007278953843983159,10.00000025331974,1000000.0,0.0,25.0,477428.0,2.0233561905711563
10,2.986138206397802e-05,2.3201833360393548e-06,1.0,5.6494099144908745,0.012,0.011721022975334809,10.0,1000000.0,0.0,25.0,477428.0,1.9927911835365466
11,3.040180534862038e-05,2.1718493074599757e-06,1.0,5.892271455332498,0.012,0.018873918221350972,10.000000029802322,1000000.0,0.0,25.0,477428.0,1.9439706216340398
12,3.128931581676753e-05,1.9560381950178742e-06,1.0,6.283717349179838,0.012,0.030391953823131992,10.00000000745058,1000000.0,0.0,25.0,477428.0,1.8665385746093437
13,3.2742628675229584e-05,1.6605523686810016e-06,1.0,6.9092671597152275,0.012,0.04893900918477498,10.0,1000000.0,0.0,25.0,477428.0,1.7455756710590058
14,3.507173533816615e-05,1.292451644476159e-06,1.0,7.8856492513984975,0.012,0.07880462815669916,10.0,1000000.0,0.0,25.0,477428.0,1.5633996309273015
15,3.845044536615537e-05,8.918426119653179e-07,1.0,9.294776328137694,0.012,0.12689610031679222,10.000000014901161,1000000.0,0.0,25.0,477428.0,1.3168820802924859
16,4.508311644112427e-05,5.041303213500797e-07,1.0,11.848097596922159,0.012,0.20433597178569426,10.00000000745058,1000000.0,0.0,25.0,477428.0,1.115933581171043
17,5.29144083624545e-05,3.761021236965481e-07,1.0,14.62270699407253,0.012,0.3290344562312671,998.0369215980172,1000000.0,0.0,25.0,477428.0,1.1652548195345933
18,1.7334972930836767e-05,5.655070177068833e-06,1.0,1.2679455928908965,0.012,0.5298316906283714,9192.614733330905,1000000.0,0.0,25.0,477428.0,1.2640978321308929
19,1.7399668714332044e-05,5.911317755643898e-06,1.0,1.2511640050933224,0.012,0.8531678524172807,29800.63656000048,1000000.0,0.0,25.0,477428.0,1.2881338554840793
20,1.7330245103912534e-05,5.979903632599992e-06,1.0,1.2480591073033551,0.012,1.3738237958832633,68275.33659172803,1000000.0,0.0,25.0,477428.0,1.3010851941261286
21,4.2882053250855616e-05,4.1811952428641186e-07,1.0,11.92601846907489,0.012,2.2122162910704506,142772.55705702305,1000000.0,0.0,25.0,477428.0,1.2799856605097888
22,1.721370679564874e-05,6.005378883542149e-06,1.0,1.2484270636740717,0.012,3.56224789026244,240404.59433826804,1000000.0,0.0,25.0,477428.0,1.3126958741717918
23,1.7181460683209574e-05,6.006604129739097e-06,1.0,1.2489047441763788,0.012,5.736152510448678,413812.27491176873,1000000.0,0.0,25.0,477428.0,1.3152714692808642
24,4.1232799343060006e-05,4.2638855215458164e-07,1.0,11.471346314157351,0.012,9.236708571873862,739168.9054289982,1000000.0,0.0,25.0,477428.0,1.2902673498160175
25,4.1040171899427296e-05,4.273765113615657e-07,1.0,11.41790403154004,0.012,14.873521072935121,1219608.3007613346,1000000.0,0.0,25.0,477428.0,1.2914302895369796
26,4.0926036357941784e-05,4.2797658397814204e-07,1.0,11.386313748566693,0.012,23.95026619987488,1993356.3700614348,1000000.0,0.0,25.0,477428.0,1.2921459657029157
27,4.085433036657234e-05,4.283495865522755e-07,1.0,11.366539502607203,0.012,38.5662042116347,3239497.6190017387,1000000.0,0.0,25.0,477428.0,1.2925879201921504
28,4.081201170944117e-05,4.28573379124389e-07,1.0,11.354869233164827,0.012,62.10169418915616,5246066.8469491005,1000000.0,0.0,25.0,477428.0,1.2928614249125863
29,4.0782978386326386e-05,4.2872568776225207e-07,1.0,11.346745154844598,0.012,99.99999999999994,8477778.41517055,1000000.0,0.0,25.0,477428.0,1.293030909261936
