,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,20026954.51587438,4480481.378689255
1,1.0974987654930568e-08,19.0,19980798.712220073,4480244.644039131
2,1.204503540258781e-08,19.0,19930164.39458525,4479983.753298369
3,1.3219411484660288e-08,19.0,19874619.68365334,4479696.10973307
4,1.4508287784959402e-08,19.0,19813691.759987593,4479377.954331498
5,1.5922827933410936e-08,19.0,19746862.867401086,4479027.709268967
6,1.747528400007683e-08,19.0,19673566.682814576,4478640.869931847
7,1.9179102616724886e-08,19.0,19593183.74466247,4478213.291384763
8,2.1049041445120216e-08,19.0,19505036.93988456,4477740.086210473
9,2.310129700083158e-08,19.0,19408386.44016899,4477216.277187454
10,2.5353644939701113e-08,19.0,19302424.758043468,4476635.598797865
11,2.7825594022071257e-08,19.0,19186271.24049015,4475991.03825895
12,3.053855508833412e-08,19.0,19058966.523810174,4475274.873610011
13,3.351602650938841e-08,19.0,18919467.33029358,4474476.78841342
14,3.678379771828634e-08,19.0,18766640.624057826,4473586.043708233
15,4.037017258596558e-08,19.0,18599259.378348123,4472589.91162861
16,4.4306214575838774e-08,19.0,18415998.716679603,4471472.281761098
17,4.8626015800653535e-08,19.0,18215434.21145583,4470213.966612718
18,5.3366992312063125e-08,19.0,17996043.069347948,4468791.088189732
19,5.857020818056673e-08,19.0,17756210.5581996,4467173.855610732
20,6.428073117284318e-08,19.0,17494245.004393063,4465322.127011931
21,7.054802310718644e-08,19.0,17208403.986967523,4463185.319008409
22,7.742636826811277e-08,19.0,16896944.510756653,4460691.329894888
23,8.49753435908644e-08,19.0,16558203.61747409,4457738.227932752
24,9.326033468832199e-08,19.0,16190733.69621377,4454172.128865267
25,1.0235310218990269e-07,19.0,15793519.169492213,4449746.46144826
26,1.1233240329780265e-07,19.0,15366307.627123276,4444039.846359365
27,1.232846739442066e-07,19.0,14910080.764790688,4436264.734801557
28,1.3530477745798075e-07,19.0,14427605.83527853,4424794.69190186
29,1.4849682622544636e-07,19.0,13923816.52868089,4405860.100780623
30,1.6297508346206433e-07,19.0,13405495.261027714,4369678.759706414
31,1.7886495290574352e-07,19.0,12879847.349118337,4289591.957456046
32,1.9630406500402725e-07,19.0,12352572.73587595,4107231.961609306
33,2.1544346900318867e-07,19.0,11826933.387714447,3780370.392685188
34,2.3644894126454072e-07,19.0,11304346.223210214,3375606.106010453
35,2.595024211399737e-07,19.0,10785413.571162675,2976822.1689790883
36,2.848035868435805e-07,19.0,10270504.660663515,2614706.49025258
37,3.125715849688235e-07,18.8,9759943.235979062,6933673.001756141
38,3.4304692863149193e-07,18.3,9254060.899907846,16527162.72565428
39,3.764935806792471e-07,17.8,8753207.776243154,24002618.929817084
40,4.1320124001153343e-07,17.400000000000002,8257754.910656132,27938873.52647048
41,4.534878508128582e-07,16.900000000000002,7768095.256597705,32304383.460470565
42,4.977023564332114e-07,16.5,7284652.367374084,33969833.38694275
43,5.462277217684336e-07,16.0,6807873.737397557,36174512.7971711
44,5.994842503189408e-07,15.5,6338239.559435213,37512246.47927689
45,6.579332246575682e-07,15.100000000000001,5876261.344339396,37058834.88830794
46,7.220809018385472e-07,14.600000000000001,5422480.782582455,37207818.803607486
47,7.924828983539186e-07,14.200000000000001,4977478.711699981,35998423.43042284
48,8.697490026177834e-07,13.700000000000001,4541869.189212406,35379944.00485017
49,9.545484566618346e-07,13.3,4116309.4096297063,33734883.06092906
50,1.0476157527896663e-06,12.8,3701494.398990581,32648384.159638897
51,1.1497569953977357e-06,12.4,3298167.278901677,30789627.076344192
52,1.261856883066021e-06,11.9,2907114.2888919627,29445160.274164956
53,1.3848863713938746e-06,11.5,2529176.546057329,27523408.064606123
54,1.519911082952933e-06,11.100000000000001,2165249.935866894,25634720.659477033
55,1.6681005372000591e-06,10.700000000000001,1816309.8042065664,23794194.572414294
56,1.8307382802953698e-06,10.3,1483482.1680398495,22012892.744856644
