,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,7.300000000000001,112052.68544296038,31867620.154501937
1,11.768119524349986,7.300000000000001,116525.10376430328,31656826.08089348
2,13.84886371393873,7.300000000000001,121676.46042667027,31453873.57774629
3,16.297508346206442,7.4,127591.57148777369,30873882.918265454
4,19.179102616724887,7.4,134356.82522029048,30688943.743783683
5,22.5701971963392,7.4,142064.15743870387,30511337.524443995
6,26.560877829466865,7.5,150806.56890132537,29960099.246039264
7,31.257158496882354,7.5,160672.46124657345,29797535.93520851
8,36.78379771828634,7.5,171748.40252425167,29639769.64063813
9,43.28761281083057,7.6000000000000005,184113.52195744976,29111252.75198115
10,50.9413801481638,7.6000000000000005,197832.76179393523,28961845.420620404
11,59.94842503189409,7.7,212961.34205972182,28443417.485547017
12,70.54802310718642,7.7,229533.8297398889,28296993.371718604
13,83.02175681319744,7.800000000000001,247570.73307273872,27784014.73434448
14,97.70099572992251,7.800000000000001,267069.2193547984,27635561.992228746
15,114.97569953977356,7.9,288011.69808627496,27124020.307275355
16,135.30477745798075,8.0,310359.45526587573,26613935.375103943
17,159.2282793341092,8.0,334058.3180754027,26456720.3367698
18,187.3817422860383,8.1,359043.8193670149,25944577.422236923
19,220.51307399030455,8.200000000000001,385238.60910473356,25433189.72212658
20,259.5024211399737,8.200000000000001,412558.91198965925,25263153.532728486
21,305.3855508833415,8.3,440920.36717535375,24748992.538234044
22,359.38136638046257,8.4,470235.2586525425,24235956.52146592
23,422.9242874389499,8.4,500418.0650600858,24052823.36821953
24,497.7023564332109,8.5,531390.5280443131,23538077.264846575
25,585.7020818056661,8.6,563077.096517647,23025347.0314468
26,689.2612104349695,8.700000000000001,595410.3817168747,22514989.506254137
27,811.1308307896873,8.8,628330.9122767118,22007350.895911887
28,954.5484566618337,8.9,661787.6552010134,21502765.641720083
29,1123.3240329780276,8.9,695737.3710356022,21302129.546797767
30,1321.9411484660286,9.0,730148.7821253688,20799463.836040925
31,1555.6761439304723,9.200000000000001,764997.6379316382,20010469.50403842
32,1830.7382802953678,9.3,800267.1771789761,19521176.19692582
33,2154.434690031882,9.4,835952.9175593797,19036424.73733443
