,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.0,2.5,165871.45880419185
1,1.0974987654930568e-08,0.0,2.5,165955.97239495904
2,1.204503540258781e-08,0.0,2.5,166048.77491627517
3,1.3219411484660288e-08,0.0,2.5,166150.6844919452
4,1.4508287784959402e-08,0.0,2.5,166262.60089514297
5,1.5922827933410936e-08,0.0,2.5,166385.51463112386
6,1.747528400007683e-08,0.0,2.5,166520.51612302204
7,1.9179102616724886e-08,0.0,2.5,166668.80393159715
8,2.1049041445120216e-08,0.0,2.5,166831.69979510526
9,2.310129700083158e-08,0.0,2.5,167010.6590549494
10,2.5353644939701113e-08,0.0,2.5,167207.28487693088
11,2.7825594022071257e-08,0.0,2.5,167423.3454321257
12,3.053855508833412e-08,0.0,2.5,167660.7899392546
13,3.351602650938841e-08,0.0,2.5,167921.76721024743
14,3.678379771828634e-08,0.0,2.5,168208.65340069987
15,4.037017258596558e-08,0.0,2.5,168524.0697160342
16,4.4306214575838774e-08,0.0,2.5,168870.91460570294
17,4.8626015800653535e-08,0.0,2.5,169252.3910378128
18,5.3366992312063125e-08,0.0,2.5,169672.04634731996
19,5.857020818056673e-08,0.0,2.5,170133.81071103716
20,6.428073117284318e-08,0.0,2.5,170642.0327227511
21,7.054802310718644e-08,0.0,2.5,171201.5481105129
22,7.742636826811277e-08,0.0,2.5,171817.72174693178
23,8.49753435908644e-08,0.0,2.5,172496.5220868107
24,9.326033468832199e-08,0.0,2.5,173244.59205079376
25,1.0235310218990269e-07,0.0,2.5,174069.33907086126
26,1.1233240329780265e-07,0.0,2.5,174979.03394865972
27,1.232846739442066e-07,0.0,2.5,175982.92478111185
28,1.3530477745798075e-07,0.0,2.5,177091.37354651585
29,1.4849682622544636e-07,0.0,2.5,178316.01002885765
30,1.6297508346206433e-07,0.0,2.5,179669.91455541394
31,1.7886495290574352e-07,0.0,2.5,181167.8355131176
32,1.9630406500402725e-07,0.0,2.5,182826.43275734852
33,2.1544346900318867e-07,0.0,2.5,184664.58859016467
34,2.3644894126454072e-07,0.0,2.5,186703.76056376475
35,2.595024211399737e-07,0.0,2.5,188968.41147189724
36,2.848035868435805e-07,0.0,2.5,191486.51347573008
37,3.125715849688235e-07,0.0,2.5,194290.1964924413
38,3.4304692863149193e-07,0.0,2.5,197416.48218516257
