,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,1009304.2571277099,2159691.8043881175
1,1.0974987654930568e-08,19.0,988953.0931342001,2159616.623295898
2,1.204503540258781e-08,19.0,967654.6293868343,2159530.268187895
3,1.3219411484660288e-08,19.0,945446.8898781983,2159430.3742688964
4,1.4508287784959402e-08,19.0,922380.5115280112,2159314.2904386376
5,1.5922827933410936e-08,19.0,898518.7922594603,2159178.0369308637
6,1.747528400007683e-08,19.0,873937.2407182343,2159016.720074273
7,1.9179102616724886e-08,19.0,848722.7156178271,2158823.795268358
8,2.1049041445120216e-08,19.0,822971.9878080036,2158589.904904786
9,2.310129700083158e-08,19.0,796789.7760442696,2158302.510644252
10,2.5353644939701113e-08,19.0,770286.3398179397,2157943.792189076
11,2.7825594022071257e-08,19.0,743574.7253067947,2157487.455154613
12,3.053855508833412e-08,19.0,716767.7444181493,2156894.724563319
13,3.351602650938841e-08,19.0,689975.0096058594,2156106.1292466586
14,3.678379771828634e-08,19.0,663300.1124681098,2155028.7408580296
15,4.037017258596558e-08,19.0,636838.2731231295,2153512.4246753235
16,4.4306214575838774e-08,19.0,610674.494585126,2151308.1464836258
17,4.8626015800653535e-08,19.0,584882.5470570449,2147989.9276933833
18,5.3366992312063125e-08,19.0,559524.6411487518,2142808.8135640253
19,5.857020818056673e-08,19.0,534651.8577022301,2134420.4256831645
20,6.428073117284318e-08,19.0,510305.1431079863,2120394.6079935385
21,7.054802310718644e-08,19.0,486516.73503253347,2096451.5943388045
22,7.742636826811277e-08,19.0,463311.7044705575,2055751.237520297
23,8.49753435908644e-08,19.0,440709.51583800017,1989774.633435004
24,9.326033468832199e-08,18.8,418723.79285802646,5634117.718588633
25,1.0235310218990269e-07,18.3,397367.093701977,13886202.87639771
26,1.1233240329780265e-07,17.900000000000002,376652.10873627453,19234464.458910715
27,1.232846739442066e-07,17.5,356584.8326856491,23589870.027112413
28,1.3530477745798075e-07,17.0,337169.9385161206,28343461.308218475
29,1.4849682622544636e-07,16.6,318413.632852489,30920571.03292462
30,1.6297508346206433e-07,16.2,300317.59251224017,32836147.018156722
31,1.7886495290574352e-07,15.8,282882.95191073755,34189249.48242902
32,1.9630406500402725e-07,15.3,266108.2138189644,35970808.95916569
33,2.1544346900318867e-07,14.9,249993.21868410573,36378417.72116719
34,2.3644894126454072e-07,14.5,234533.0078843549,36463717.78843859
35,2.595024211399737e-07,14.100000000000001,219721.84454988613,36285467.22539041
36,2.848035868435805e-07,13.700000000000001,205552.113318,35894871.763328634
37,3.125715849688235e-07,13.3,192014.23694470443,35336590.43395799
38,3.4304692863149193e-07,12.9,179096.59673928123,34649650.88372742
39,3.764935806792471e-07,12.600000000000001,166786.48426142,33373850.902597766
40,4.1320124001153343e-07,12.200000000000001,155065.92551578276,32568456.263094213
41,4.534878508128582e-07,11.8,143917.71170032592,31721846.49023467
42,4.977023564332114e-07,11.5,133322.46965695298,30469848.892085772
43,5.462277217684336e-07,11.200000000000001,123255.52247976676,29279488.36383023
44,5.994842503189408e-07,10.8,113693.3157901136,28498311.510136705
45,6.579332246575682e-07,10.5,104610.34681811492,27440789.81869335
46,7.220809018385472e-07,10.200000000000001,95977.6711466075,26476178.491977885
47,7.924828983539186e-07,10.0,87767.19682441096,25337619.77426657
48,8.697490026177834e-07,9.700000000000001,79947.16274767285,24596099.792877384
49,9.545484566618346e-07,9.5,72489.36470163996,23720346.396199018
50,1.0476157527896663e-06,9.3,65362.87938917467,22984902.423424426
51,1.1497569953977357e-06,9.1,58538.40608389918,22390496.46752399
52,1.261856883066021e-06,8.9,51987.841205781384,21938046.766617812
53,1.3848863713938746e-06,8.8,45686.29925179266,21422874.849953756
54,1.519911082952933e-06,8.700000000000001,39610.412381618626,21064276.256566815
55,1.6681005372000591e-06,8.6,33743.10830468472,20858069.822173063
