,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,11.700000000000001,139338.693602784,31775438.48412337
1,11.768119524349986,11.700000000000001,140346.80385313966,31188832.63050476
2,13.84886371393873,11.8,141413.9040421263,30195394.85017461
3,16.297508346206442,11.8,142534.25035219203,29610487.977746688
4,19.179102616724887,11.9,143705.61977348643,28630226.978053447
5,22.5701971963392,11.9,144921.7124940785,28049660.133078866
6,26.560877829466865,12.0,146180.0905769035,27086712.091202136
7,31.257158496882354,12.0,147474.60768959814,26512596.208605938
8,36.78379771828634,12.100000000000001,148803.3141905709,25570136.201456808
9,43.28761281083057,12.100000000000001,150160.7197783757,25004025.277351566
10,50.9413801481638,12.200000000000001,151545.79380231525,24084342.63293165
11,59.94842503189409,12.3,152954.94253949195,23180141.736586552
12,70.54802310718642,12.3,154385.12569278726,22631953.33523172
13,83.02175681319744,12.4,155836.7695564631,21752860.77771495
14,97.70099572992251,12.5,157307.71517993681,20890422.71681439
15,114.97569953977356,12.600000000000001,158797.26126147478,20044937.957706027
16,135.30477745798075,12.700000000000001,160305.09792739936,19216623.230316818
17,159.2282793341092,12.700000000000001,161830.293862514,18706189.480166353
18,187.3817422860383,12.8,163375.2337802835,17904518.176223364
19,220.51307399030455,12.9,164939.6469835185,17120278.69423329
20,259.5024211399737,13.0,166524.59254289692,16353527.56593082
21,305.3855508833415,13.200000000000001,168132.47041543297,15336424.04305989
22,359.38136638046257,13.3,169763.0457963569,14612961.078633195
23,422.9242874389499,13.4,171419.4161694621,13907036.523680393
24,497.7023564332109,13.5,173104.1004412094,13218637.470650602
25,585.7020818056661,13.700000000000001,174821.0773440727,12312912.303585742
26,689.2612104349695,13.8,176571.826808188,11667704.205345983
27,811.1308307896873,14.0,178362.345873099,10821630.638483597
28,954.5484566618337,14.100000000000001,180195.27183000336,10219433.678403033
29,1123.3240329780276,14.3,182077.95664160405,9432697.85380669
30,1321.9411484660286,14.5,184015.47236314768,8679604.734435825
31,1555.6761439304723,14.700000000000001,186014.7657156781,7960005.875552374
32,1830.7382802953678,15.0,188084.7379989239,7096480.850241271
33,2154.434690031882,15.200000000000001,190232.28918850198,6451414.120003879
34,2535.364493970111,15.5,192469.43297569774,5678157.847092276
35,2983.6472402833374,15.8,194806.3603779844,4953520.523825368
36,3511.191734215131,16.1,197255.5024911369,4277006.117136228
37,4132.0124001153345,16.400000000000002,199830.52267134326,3648070.2424320388
38,4862.601580065353,16.8,202547.33465385952,2936644.076930671
39,5722.367659350214,17.2,205420.9949530336,2286796.2063577673
40,6734.150657750822,17.6,208468.56720008585,1697337.4140763194
41,7924.82898353917,18.1,211708.85385720825,1060233.4990633891
42,9326.0334688322,18.6,215159.01356621354,495211.8401675953
43,10974.987654930545,19.0,218835.93835757356,92279.68627354296
44,12915.496650148827,19.0,222751.84988796036,85886.70691486097
45,15199.11082952933,19.0,226924.16730274918,79648.30186242855
46,17886.495290574352,19.0,231363.3512289066,73582.10961318473
47,21049.041445120216,19.0,236074.9710867229,67706.6217589449
48,24770.76355991709,19.0,241058.14743175273,62040.80765803203
49,29150.530628251756,19.0,246303.99085503607,56603.637046949625
50,34304.69286314912,19.0,251794.20670048348,51413.49271551129
51,40370.1725859655,19.0,257500.0798492416,46487.49950335203
52,47508.101621027934,19.0,263382.0875982257,41840.804982993635
53,55908.10182512223,19.0,269390.3472407192,37485.85958294933
54,65793.32246575682,19.0,275466.0337165965,33431.7611963791
55,77426.36826811277,19.0,281543.76795949857,29683.73122837008
56,91116.27561154886,19.0,287554.8078589011,26242.783761312698
57,107226.72220103232,19.0,293430.7220495227,23105.63114009359
58,126185.68830660211,19.0,299107.1224524835,20264.841180115753
59,148496.82622544636,19.0,304527.00658293284,17709.229099267955
60,174752.84000076828,19.0,309643.3503101228,15424.438339604496
61,205651.23083486513,19.0,314420.70705327054,13393.644627618836
62,242012.82647943834,19.0,318835.77195078786,11598.311151604821
63,284803.5868435799,19.0,322876.98780003405,10018.928020927451
64,335160.2650938841,19.0,326543.4068977613,8635.682966545108
65,394420.6059437656,19.0,329843.06221665523,7429.029157607398
66,464158.8833612772,19.0,332791.0940265704,6380.133707419527
67,546227.7217684337,19.0,335407.857103341,5471.20568901141
68,642807.3117284318,19.0,337717.1564444252,4685.713288224151
69,756463.3275546291,19.0,339744.71642128134,4008.50595498815
70,890215.0854450373,19.0,341516.9283954802,3425.8599141745017
71,1047615.7527896641,19.0,343059.87708099,2925.465417719586
72,1232846.7394420658,19.0,344398.63496131165,2496.372290823603
73,1450828.7784959401,19.0,345556.7839946592,2128.9078147991445
74,1707352.6474706887,19.0,346556.1225212935,1814.5781700597436
75,2009233.002565046,19.0,347416.5217046019,1545.9620287507714
76,2364489.412645407,19.0,348155.8881606525,1316.6025603758405
77,2782559.402207126,19.0,348790.20881142054,1120.9021983825603
78,3274549.162877725,19.0,349333.64555440017,954.023012842564
79,3853528.5937105273,19.0,349798.66061283613,811.7943622130202
80,4534878.508128582,19.0,350196.1609124682,690.6286862267007
81,5336699.231206302,19.0,350535.6516673368,587.4456854684744
82,6280291.441834247,19.0,350825.38030147745,499.6047379175376
83,7390722.033525775,19.0,351072.48257039645,424.8451456642419
84,8697490.026177835,19.0,351283.11522659333,361.2336540974677
85,10235310.218990248,19.0,351462.5773909193,307.11860387998166
86,12045035.402587812,19.0,351615.4204716099,261.0900598851091
87,14174741.629268046,19.0,351745.54984759825,221.94526347037754
88,16681005.372000592,19.0,351856.30797043943,188.65878921305995
89,19630406.50040268,19.0,351950.5562263095,160.35683343469282
90,23101297.000831578,19.0,352030.73912313813,136.2951094994787
91,27185882.4273294,19.0,352098.94268567563,115.839877039165
92,31992671.377973843,19.0,352156.9489065441,98.45168695938774
93,37649358.06792463,19.0,352206.27541016496,83.6714715826849
94,44306214.575838774,19.0,352248.2169469119,71.1086521631165
95,52140082.87999684,19.0,352283.8752724636,60.430983492912496
96,61359072.734131634,19.0,352314.1897991529,51.35588621396455
97,72208090.18385457,19.0,352339.95947899605,43.64305474372232
98,84975343.59086438,19.0,352361.86427399865,37.088156814209654
99,100000000.0,19.0,352380.48302406253,31.517464912746803
