,S2,S2_conf
"('p', 'c_V')",0.32142758063544,0.00470167393075339
"('p', 'r')",0.00023838223883358717,0.004678368447179944
"('p', 'k_T')",0.0009755095584819129,0.004679253499496251
"('p', 'd_T')",0.0004985511928905786,0.004702255945067542
"('c_V', 'r')",-2.3501685734630894e-05,0.004520351392467437
"('c_V', 'k_T')",0.0016109604214271656,0.00439384903287276
"('c_V', 'd_T')",-2.8634595714643668e-05,0.004545550985411777
"('r', 'k_T')",0.00016006600964638454,0.0005905764554528081
"('r', 'd_T')",0.0002653891955182238,0.0005870516907724343
"('k_T', 'd_T')",0.0028175533422480194,0.000944958604267337
