,S2,S2_conf
"('p', 'c_V')",0.013887461395105327,0.015522492538117145
"('p', 'r')",0.07242521635931168,0.078695398522574
"('p', 'd_T')",0.0036586878029586344,0.011588321548732286
"('p', 'c_T')",0.0035076945174923172,0.010659615667814938
"('c_V', 'r')",0.36147704686250925,0.3023023175478541
"('c_V', 'd_T')",0.032289650391026145,0.04091744305292046
"('c_V', 'c_T')",0.015307933677809329,0.04332907139209977
"('r', 'd_T')",0.012015757837552283,0.17600158866535284
"('r', 'c_T')",0.022901466299740905,0.1764268989273355
"('d_T', 'c_T')",-0.01048235060429362,0.030872725205254022
