,S2,S2_conf
"('beta', 'd_I')",-272.7842233988563,87813.55522517438
"('beta', 'c')",-272.7844317674219,87814.47636798723
"('beta', 'd_T')",-272.7844322490603,87814.47747277505
"('beta', 'r')",-272.7844322856288,87814.4773050766
"('beta', 'k_T')",-272.7844320896538,87814.47674859325
"('d_I', 'c')",948.4826850238787,762380.6456465444
"('d_I', 'd_T')",948.4826853667372,762380.650747913
"('d_I', 'r')",948.4826797627832,762380.6383369602
"('d_I', 'k_T')",948.4826797352607,762380.6388675588
"('c', 'd_T')",-369552825927.5805,729348320551263.4
"('c', 'r')",-369552825931.12823,729348320558266.6
"('c', 'k_T')",-369552822358.50684,729348313507351.6
"('d_T', 'r')",-682.981087240713,276319.2607890561
"('d_T', 'k_T')",-682.9810872826337,276319.26070740883
"('r', 'k_T')",1037.630905078482,74978.16929521707
