,S2,S2_conf
"('beta', 'd_I')",0.07990514965214571,0.05584518836755654
"('beta', 'c')",0.05218745763248073,0.03913842013980272
"('beta', 'd_T')",-0.0019496203925084485,0.0235880839164611
"('beta', 'r')",-0.001950456808332713,0.02358617494385027
"('beta', 'k_T')",-0.0018818377569423694,0.023580008702871136
"('d_I', 'c')",0.1747237509570117,0.11575399525175885
"('d_I', 'd_T')",0.01772591349743127,0.09421532641393132
"('d_I', 'r')",0.01921033988135431,0.09455476428445178
"('d_I', 'k_T')",0.02180903182807617,0.09502628184898444
"('c', 'd_T')",0.01082676915709818,0.1048060142158897
"('c', 'r')",0.01076968108390177,0.10483893375936217
"('c', 'k_T')",0.010796166654980843,0.10487811270079825
"('d_T', 'r')",0.0001280572480862219,0.00023648229111187448
"('d_T', 'k_T')",0.00012805724808622176,0.00023648229111187396
"('r', 'k_T')",3.823401199962951e-05,0.0001260181296702996
