,S2,S2_conf
"('p', 'c_V')",-0.0003629726731300682,0.0008205583015586461
"('p', 'r')",5.721902524950638e-05,0.0006008207627790488
"('p', 'k_T')",0.000197890365721997,0.0031070389163472584
"('p', 'd_T')",-0.0010959566346704164,0.008082778948440018
"('p', 'K')",5.47009246701066e-05,0.0005943905378198867
"('c_V', 'r')",-0.00037567357316583416,0.003430381181324767
"('c_V', 'k_T')",0.026557074997159223,0.054503328144145276
"('c_V', 'd_T')",0.06873331978750198,0.17582440189427673
"('c_V', 'K')",0.0007445283619108244,0.004201939016440183
"('r', 'k_T')",0.00026166622660869624,0.0010114685958373107
"('r', 'd_T')",0.000729970612114321,0.0037977624476371835
"('r', 'K')",0.0001088917845337678,0.0009017952219635095
"('k_T', 'd_T')",0.011848937541450734,0.03291409792407916
"('k_T', 'K')",-0.0019418144052172895,0.004809700274239163
"('d_T', 'K')",-0.004431526319489105,0.013800823499162609
