,S2,S2_conf
"('p', 'c_V')",0.0016979734840985028,0.021460358789300932
"('p', 'r')",0.03448719956211173,0.05474307433912619
"('p', 'd_T')",-0.006961416786483755,0.015174681207950909
"('p', 'c_T')",-0.006587873161411057,0.014161421030623072
"('p', 'K')",-0.007649965578454424,0.014201791657073392
"('c_V', 'r')",0.2775361306286144,0.37252989520711566
"('c_V', 'd_T')",-0.022027950583114797,0.0574015720545023
"('c_V', 'c_T')",-0.016425486592508733,0.06706629420214043
"('c_V', 'K')",-0.0073747125506079935,0.07192420540954858
"('r', 'd_T')",0.112824722299859,0.2641457819103674
"('r', 'c_T')",0.13053236371606924,0.2624200177050039
"('r', 'K')",0.15347592578057812,0.2632799462382765
"('d_T', 'c_T')",-0.0024841722194314016,0.013688580766003032
"('d_T', 'K')",-0.0037855211613155556,0.012977943258382427
"('c_T', 'K')",0.0003309193162155373,0.004071437231719313
