,S2,S2_conf
"('p', 'c_V')",0.1391720794003743,0.02911029997435416
"('p', 'r')",0.0008379873535096524,0.02641608998482704
"('p', 'd_T')",0.019145606059016156,0.027046176882593472
"('p', 'c_T')",0.005697222033275419,0.02894387180556803
"('p', 'K')",0.01715400000184753,0.027337230701396424
"('c_V', 'r')",0.020129632971885945,0.03009283687324579
"('c_V', 'd_T')",0.04671992721918384,0.03271798181447321
"('c_V', 'c_T')",0.03187594511529076,0.030748650595586135
"('c_V', 'K')",0.03949635681553542,0.0334639742860312
"('r', 'd_T')",0.0028463799617278462,0.010838816324829182
"('r', 'c_T')",-0.0006901880800003271,0.011803672059471651
"('r', 'K')",0.002353070283601086,0.010258554778615335
"('d_T', 'c_T')",0.005985402826149004,0.01882281567723631
"('d_T', 'K')",0.006380811410723226,0.017532596407966124
"('c_T', 'K')",-0.011555779345109186,0.022536151355513293
