,S2,S2_conf
"('beta', 'd_I')",-43219181714795.625,125256988001.8293
"('beta', 'c')",-43219249266688.0,125257004626.64272
"('beta', 'd_T')",-43219181730459.66,125256988001.9322
"('beta', 'r')",-43219181923218.83,125256988001.96562
"('beta', 'k_T')",-43219181724092.35,125256988002.19757
"('beta', 'K')",-43219181714599.8,125256988001.78099
"('d_I', 'c')",-201326592.0,1652964.4832744403
"('d_I', 'd_T')",-608712970.566859,1376610.1363416347
"('d_I', 'r')",-608904840.2236584,1376610.6288223537
"('d_I', 'k_T')",-608706363.5778847,1376610.2922721857
"('d_I', 'K')",-608696633.7222956,1376610.3406397272
"('c', 'd_T')",5.772234645915893e+23,1.4729759236806e+21
"('c', 'r')",5.772234645915892e+23,1.4729759236806e+21
"('c', 'k_T')",5.772234645915892e+23,1.4729759236806e+21
"('c', 'K')",5.772234645915893e+23,1.4729759236806e+21
"('d_T', 'r')",268911706.32216513,602234.0620468324
"('d_T', 'k_T')",269127613.41677094,602233.8375853122
"('d_T', 'K')",269175026.4836978,602233.7892024594
"('r', 'k_T')",-209810562.8848362,401395.00650972314
"('r', 'K')",-209744968.31182668,401394.693609923
"('k_T', 'K')",10623979734.846035,27533405.777396165
