,S2,S2_conf
"('p', 'c_V')",-3.2468694233986746e-05,7.13393213497552e-05
"('p', 'r')",-2.3113261615478884e-05,8.670290160483442e-05
"('p', 'k_T')",0.00032934537247439485,0.0013106293079546538
"('p', 'd_T')",0.00011029440047594617,0.0004539773064103487
"('c_V', 'r')",0.000897613959339286,0.003521270094090509
"('c_V', 'k_T')",0.039881079733751996,0.15770955326199357
"('c_V', 'd_T')",0.013825687970902587,0.06496068326227063
"('r', 'k_T')",3.843830859316601e-05,0.00035515376647411484
"('r', 'd_T')",8.244789796373942e-05,0.0003581083837136843
"('k_T', 'd_T')",0.003147916433568968,0.011203479934279439
