,S2,S2_conf
"('p', 'c_V')",0.31533902586456475,0.007139935883220011
"('p', 'r')",-0.0002281475559185008,0.006046299171170312
"('p', 'k_T')",0.0014248876807974892,0.006167103086145794
"('p', 'd_T')",0.00024361399036441174,0.006006510688737753
"('c_V', 'r')",0.00024101978829532976,0.0043572579239847566
"('c_V', 'k_T')",0.0008157942756723564,0.004148899478291174
"('c_V', 'd_T')",-0.00039598281221448666,0.004402424227044645
"('r', 'k_T')",0.0014929012306365425,0.0009956713143857512
"('r', 'd_T')",0.001185283850854622,0.0009405659042823475
"('k_T', 'd_T')",0.007655703824331938,0.001568733518773803
