,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
0,4.650096760002108e-05,4.520180219084506e-07,1.0,12.23479908900773,0.0001000005738552856,0.20612246953526636,9.999999999999998,5924718.08929078,1000000.0,0.0,25.0,477428.0,1.111424004630935
1,4.707762234971688e-05,4.4709809044420523e-07,1.0,12.448084816985215,0.00010000063966802974,0.21201136616029714,17.433288221999877,6246768.986573137,1000000.0,0.0,25.0,477428.0,1.1115576602444672
2,7.008909079264635e-05,3.761635086632338e-06,1.0,11.820314074212803,0.7068645907697038,78.78447823066927,30.391953823131956,5624898.9993283395,1000000.0,0.0,25.0,477428.0,
3,4.815349640582271e-05,4.416129706906626e-07,1.0,12.863168377156,0.00010000011879207626,0.22710390315333484,52.98316906283706,8151200.284447832,1000000.0,0.0,25.0,477428.0,1.1149461267280976
4,4.861013301910845e-05,4.3948161363102927e-07,1.0,13.03892649669686,0.00010000000577836676,0.23631777696726175,92.36708571873858,9999999.993121028,1000000.0,0.0,25.0,477428.0,1.1188207175936131
5,4.903395936504839e-05,4.331753705867327e-07,1.0,13.187800693488406,0.00010000036277152402,0.24681547878681442,161.02620275609377,9999999.757085973,1000000.0,0.0,25.0,477428.0,1.1245159119633956
6,4.9307690106067426e-05,4.2760691319941265e-07,1.0,13.289600851684902,0.00010000022808764886,0.2590234954186883,280.72162039411734,9999999.556914898,1000000.0,0.0,25.0,477428.0,1.1321865083406097
7,4.93805629079988e-05,4.2305109981060035e-07,1.0,13.329995687205887,0.00010000019448364039,0.2736134676737123,489.3900918477489,9999999.98933847,1000000.0,0.0,25.0,477428.0,1.1417961261160485
8,4.921630061629335e-05,4.196487157188421e-07,1.0,13.299816837088628,0.00010000000034343648,0.291687158041114,853.1678524172805,9999999.994277019,1000000.0,0.0,25.0,477428.0,1.153104476793238
9,1.7088370312849683e-05,5.002825638527128e-06,1.0,1.281689204486085,0.00010000000011678445,0.31672907253603455,1487.3521072935102,4142433.40646714,1000000.0,0.0,25.0,477428.0,1.218375324584305
10,1.7124378393478362e-05,5.136025432870273e-06,1.0,1.269220223354253,0.00010000000200477421,0.3520999800983873,2592.943797404664,4317575.435306492,1000000.0,0.0,25.0,477428.0,1.228755530430784
11,4.692731770589845e-05,4.1623305386518473e-07,1.0,12.693743349925434,0.00010000004503213367,0.38831012375131024,4520.353656360236,9999999.991881344,1000000.0,0.0,25.0,477428.0,1.193630358111157
12,4.5583317682207045e-05,4.176377200132913e-07,1.0,12.330554239226586,0.00010000005474253282,0.44829449356840456,7880.462815669896,9999999.988646386,1000000.0,0.0,25.0,477428.0,1.2084713578726922
13,1.7211137524374336e-05,5.497939941591091e-06,1.0,1.248041771010591,0.00010000000152193822,0.5606083260835177,13738.23795883262,6037295.768933883,1000000.0,0.0,25.0,477428.0,1.2634646592013805
14,2.3422445677036004e-05,5.137757834153451e-07,1.0,1.3905301269484127,0.00010000000010551569,0.6913758549083653,23950.26619987483,414443.6319981301,1000000.0,0.0,25.0,477428.0,1.2490225201718654
15,1.7227155512908807e-05,5.709085151224466e-06,1.0,1.247333948400339,0.0001000000018105962,0.9382852417786367,41753.189365603954,9999997.243216585,1000000.0,0.0,25.0,477428.0,1.284214237852424
16,1.722307256758212e-05,5.79415811141941e-06,1.0,1.2450563065241909,0.0001000002171257508,1.3244255284746131,72789.53843983138,9999997.994533222,1000000.0,0.0,25.0,477428.0,1.292123320989656
17,1.7240219466434844e-05,5.880679945703153e-06,1.0,1.2434116779622855,0.00010000006368643399,1.9847231020158702,126896.10031679194,9999999.541616589,1000000.0,0.0,25.0,477428.0,1.2980979612258312
18,4.080838272843388e-05,4.317595195752269e-07,1.0,11.209242512673356,0.00010000008894034407,2.9511988553404294,221221.6291070443,9999999.941964826,1000000.0,0.0,25.0,477428.0,1.2729543277241746
19,1.729801255631559e-05,6.018051455819134e-06,1.0,1.2412265732234715,0.00010000000031501477,5.1254354852892305,385662.0421163467,9999999.989852592,1000000.0,0.0,25.0,477428.0,1.305024220086109
20,4.088195409048521e-05,4.325272358674984e-07,1.0,11.27424169093154,0.00010000002357268833,8.104389664416203,672335.7536499324,9999999.93386399,1000000.0,0.0,25.0,477428.0,1.2786205068222587
21,4.0931934848371686e-05,4.32642012988032e-07,1.0,11.299699403661783,0.00010000003749538466,13.817702610827574,1172102.2975334777,9999999.96936438,1000000.0,0.0,25.0,477428.0,1.279932984627885
22,1.734735026259802e-05,6.1042160827609655e-06,1.0,1.239909931360799,0.0001000000169831261,25.258877941456134,2043359.7178569369,9999999.65139743,1000000.0,0.0,25.0,477428.0,1.3083831077518844
23,4.0985901002660665e-05,4.327489880131226e-07,1.0,11.325861959135999,0.000100000350206908,41.14432663659253,3562247.890262432,9999999.981287323,1000000.0,0.0,25.0,477428.0,1.281161469014313
24,4.0999365491897006e-05,4.3276153059548567e-07,1.0,11.331992917451927,0.00010000002810023334,71.41937349600354,6210169.418915595,9999999.59861397,1000000.0,0.0,25.0,477428.0,1.281423841002165
25,3.352230172406464e-05,4.676597496670488e-07,1.0,8.903042723431291,0.00010000003175830718,99.99999988096242,10826367.338740543,9999999.914604314,1000000.0,0.0,25.0,477428.0,1.285966721126292
26,2.129792622724601e-05,5.744844161514092e-07,1.0,4.823083662638652,0.00010000000001619824,99.99999999996643,18873918.221350927,9999999.999876894,1000000.0,0.0,25.0,477428.0,1.3348815332000994
27,1.4567188170843929e-05,7.609737460208407e-07,1.0,2.5071744593349905,0.00010000000220039551,99.99999999425,32903445.623126652,9999999.953944452,1000000.0,0.0,25.0,477428.0,1.4276117480259072
28,1.4371591794001053e-05,1.2368493000927978e-06,1.0,1.677178709155406,0.00010000000000148779,99.99999999999687,57361525.10448661,9999999.999994896,1000000.0,0.0,25.0,477428.0,1.6116525681754468
29,1.574248507256647e-05,2.100097705251486e-06,1.0,1.6371798098807844,0.00010000000000165432,99.99999999999963,99999999.99999982,9999999.999995328,1000000.0,0.0,25.0,477428.0,1.8490666240924576
