,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,10.200000000000001,3470741.753182891,6290298711.120169
1,1.0974987654930568e-08,10.200000000000001,3421950.603784344,5730714221.155278
2,1.204503540258781e-08,10.100000000000001,3373158.53217053,5279530585.943827
3,1.3219411484660288e-08,10.100000000000001,3324367.381311669,4809734983.969749
4,1.4508287784959402e-08,10.0,3275575.1675629364,4430383238.11987
5,1.592282793341094e-08,10.0,3226783.9515851727,4036017919.1771927
6,1.747528400007683e-08,10.0,3177992.660202569,3676688166.633435
7,1.9179102616724886e-08,9.9,3129200.3210777193,3386103243.7643595
8,2.104904144512022e-08,9.9,3080408.9225198473,3084503635.2647724
9,2.310129700083158e-08,9.8,3031616.3838223307,2840252232.3169923
10,2.5353644939701113e-08,9.8,2982824.792208576,2587137544.093124
11,2.782559402207126e-08,9.8,2934033.0120159662,2356509461.6333833
12,3.053855508833412e-08,9.700000000000001,2885240.0962876626,2169460099.1919646
13,3.351602650938841e-08,9.700000000000001,2836447.9841951896,1975929665.082734
14,3.678379771828634e-08,9.700000000000001,2787655.597981666,1799592201.2838285
15,4.037017258596558e-08,9.600000000000001,2738861.9584890935,1656363666.8887932
16,4.4306214575838774e-08,9.600000000000001,2690068.919197235,1508407247.13419
17,4.8626015800653535e-08,9.5,2641274.4956907406,1388060493.3724954
18,5.3366992312063125e-08,9.5,2592480.514958532,1263930623.121874
19,5.857020818056673e-08,9.5,2543685.9313373575,1150827811.13989
20,6.42807311728432e-08,9.4,2494889.5830898085,1058691812.2577621
21,7.054802310718646e-08,9.4,2446093.309983566,963812361.6775594
22,7.742636826811277e-08,9.3,2397294.885879316,886410365.9299904
23,8.497534359086438e-08,9.3,2348496.1640322926,806825885.1809287
24,9.3260334688322e-08,9.3,2299695.730595072,734310500.1611272
25,1.0235310218990269e-07,9.200000000000001,2250892.3356478377,675058100.6834865
26,1.1233240329780266e-07,9.200000000000001,2202087.554080348,614237596.2349962
27,1.232846739442066e-07,9.200000000000001,2153279.768069,558818728.8471767
28,1.3530477745798075e-07,9.1,2104467.4800539645,513458513.6284754
29,1.4849682622544636e-07,9.1,2055651.8820592556,466980361.0352559
30,1.6297508346206436e-07,9.1,2006831.0519624143,424629051.98299044
31,1.7886495290574352e-07,9.0,1958002.9535999156,389900007.8449983
32,1.9630406500402725e-07,9.0,1909168.2538873118,354382523.8025648
33,2.1544346900318867e-07,9.0,1860324.2739043194,322017318.9685421
34,2.3644894126454072e-07,8.9,1811468.2108142315,295421755.7418714
35,2.5950242113997374e-07,8.9,1762599.6435401759,268278657.1175103
36,2.848035868435805e-07,8.9,1713714.8074335584,243542780.56289366
37,3.125715849688235e-07,8.9,1664810.3019540787,220999854.36648706
38,3.4304692863149193e-07,8.8,1615881.0987849368,202420839.8042006
39,3.764935806792471e-07,8.8,1566924.2893714837,183511631.20084172
40,4.1320124001153343e-07,8.8,1517932.940385248,166276199.13328964
41,4.534878508128582e-07,8.8,1468899.9756073225,150565262.2019567
42,4.977023564332114e-07,8.8,1419816.8746215159,136242752.58145297
43,5.462277217684337e-07,8.8,1370673.410165566,123184637.54358336
44,5.994842503189409e-07,8.8,1321457.2815977042,111277848.84639046
45,6.579332246575682e-07,8.8,1272153.733835629,100419302.97180842
46,7.220809018385472e-07,8.8,1222745.0547857736,90515011.70673592
47,7.924828983539186e-07,8.8,1173209.9746425445,81479269.02699505
48,8.697490026177835e-07,8.8,1123522.946306839,73233911.29672219
49,9.545484566618346e-07,8.9,1073654.3503440875,65069385.88563466
50,1.0476157527896663e-06,8.9,1023565.3033362536,58263911.0235148
51,1.1497569953977357e-06,9.0,973213.4662812501,51536821.9108506
52,1.261856883066021e-06,9.1,922544.32466442,45456436.22998522
53,1.3848863713938746e-06,9.200000000000001,871493.2335084404,39959440.842633836
54,1.519911082952933e-06,9.4,819982.777438599,34631314.922038086
55,1.6681005372000591e-06,9.5,767915.5370200162,30177220.957637317
56,1.8307382802953698e-06,9.8,715177.6727789897,25595946.865289938
57,2.0092330025650458e-06,10.100000000000001,661623.1642392046,21539523.776797336
58,2.2051307399030456e-06,10.4,607073.1460229246,17952027.649289884
59,2.4201282647943835e-06,10.9,551305.0004613016,14431180.369705174
60,2.656087782946684e-06,11.600000000000001,494033.0955706083,11100004.570524378
61,2.9150530628251817e-06,12.4,434887.364642588,8182812.002440956
62,3.1992671377973847e-06,13.600000000000001,373384.27629198204,5398422.990079915
63,3.5111917342151347e-06,15.5,308869.30129361065,2730450.337864232
64,3.853528593710536e-06,18.400000000000002,240427.69469816066,384973.58832753246
65,4.229242874389499e-06,19.0,166247.55323110207,35273.65619191841
66,4.641588833612782e-06,19.0,50848.58161563935,9553.40791065048
67,5.094138014816386e-06,19.0,370.55701061246407,66.48032813015162
68,5.590810182512223e-06,1.8,31.50847723744893,1492.7946276574867
69,6.1359072734131755e-06,0.9,16.52795210737128,791.4949861427889
70,6.7341506577508285e-06,0.5,10.478927553960705,522.1345660047373
71,7.390722033525775e-06,0.4,8.444737636362753,378.79147700682523
72,8.111308307896873e-06,0.30000000000000004,6.831388620691833,291.3813616735395
73,8.902150854450392e-06,0.2,5.448075544373704,232.669959655602
74,9.770099572992246e-06,0.2,5.127701013053875,190.19264168014053
75,1.0722672220103253e-05,0.1,3.963531190114704,158.77975761630807
76,1.1768119524349992e-05,0.1,3.825640727809291,134.21345969669053
77,1.2915496650148827e-05,0.1,3.6892127962747896,114.729704862053
78,1.4174741629268077e-05,0.1,3.5555884507866917,98.96110115464545
79,1.5556761439304724e-05,0.0,2.5,85.98891800962156
80,1.7073526474706923e-05,0.0,2.5,75.17295574989403
81,1.8738174228603867e-05,0.0,2.5,66.05337677208007
82,2.0565123083486515e-05,0.0,2.5,58.29132758599008
83,2.2570197196339216e-05,0.0,2.5,51.63157544018468
84,2.477076355991714e-05,0.0,2.5,45.87819077176974
85,2.71858824273294e-05,0.0,2.5,40.87825438138097
86,2.9836472402833404e-05,0.0,2.5,36.510660272988034
87,3.274549162877732e-05,0.0,2.5,32.67824746754487
88,3.5938136638046256e-05,0.0,2.5,29.302157854242257
89,3.944206059437664e-05,0.0,2.5,26.317722384526864
90,4.328761281083062e-05,0.0,2.5,23.671410188428123
91,4.750810162102793e-05,0.0,2.5,21.31853423888097
92,5.214008287999695e-05,0.0,2.5,19.221504571463452
93,5.72236765935022e-05,0.0,2.5,17.34847672889009
94,6.28029144183426e-05,0.0,2.5,15.672303696197918
95,6.89261210434971e-05,0.0,2.5,14.169710298918655
96,7.56463327554629e-05,0.0,2.5,12.820636206213385
97,8.302175681319752e-05,0.0,2.5,11.607709494780282
98,9.111627561154906e-05,0.0,2.5,10.515821664955004
99,0.0001,0.0,2.5,9.531781051983126
