,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,2806194.949742642,254997.79881826995
1,9.581308294981124e-11,19.0,2806051.393325569,255004.2537100889
2,1.1016176237216899e-10,19.0,2805886.359018239,255011.67438235597
3,1.2665925691274435e-10,19.0,2805696.6370106516,255020.20518245405
4,1.4562736666730682e-10,19.0,2805478.5390677787,255030.0111884497
5,1.6743608354708706e-10,19.0,2805227.834114727,255041.28523255006
6,1.9251080834026304e-10,19.0,2804939.639340901,255054.2442159711
7,2.213406485788902e-10,19.0,2804608.3687819038,255069.14031802583
8,2.544879590694509e-10,19.0,2804227.598340256,255086.26248288003
9,2.9259931118459375e-10,19.0,2803789.9508968573,255105.94262301555
10,3.364181048830456e-10,19.0,2803286.9545702767,255128.56163347588
11,3.8679906946773077e-10,19.0,2802708.885173305,255154.55706622428
12,4.4472493593385817e-10,19.0,2802044.581560796,255184.431037102
13,5.113256061177633e-10,19.0,2801281.2373400833,255218.75926117273
14,5.879001925598856e-10,19.0,2800404.162498381,255258.20341905265
15,6.75942358991407e-10,19.0,2799396.5128368256,255303.52106345096
16,7.771694557360145e-10,19.0,2798238.981492674,255355.58139773912
17,8.935560183419373e-10,19.0,2796909.44930599,255415.3792676795
18,1.0273722828683854e-09,19.0,2795382.5887532867,255484.05508658406
19,1.1812284691056722e-09,19.0,2793629.4164655553,255562.91394529305
20,1.3581256955172047e-09,19.0,2791616.7890817123,255653.44450732414
21,1.5615145190503214e-09,19.0,2789306.8370686374,255757.3519572002
22,1.7953622416932376e-09,19.0,2786656.331863865,255876.58196220026
23,2.0642302966597604e-09,19.0,2783615.9803224755,256013.3505725083
24,2.3733632236965027e-09,19.0,2780129.644797339,256170.18021815122
25,2.7287909690647747e-09,19.0,2776133.4843831207,256349.93728535215
26,3.1374465056603906e-09,19.0,2771555.018704253,256555.87000970636
27,3.6073010675692158e-09,19.0,2766312.1159708006,256791.6483295358
28,4.1475196369434256e-09,19.0,2760311.91397558,257061.41149187685
29,4.76863971612518e-09,19.0,2753449.6848255806,257369.80093779217
30,5.482776872146399e-09,19.0,2745607.673902648,257721.9845319821
31,6.303861062955238e-09,19.0,2736653.9212370054,258123.6867794066
32,7.2479083551481905e-09,19.0,2726441.1416255813,258581.16046165137
33,8.333333333333329e-09,19.0,2714805.700919875,259101.12754946784
34,9.581308294981124e-09,19.0,2701566.7732325066,259690.60867158306
35,1.1016176237216898e-08,18.900000000000002,2686524.8826802596,519421.96498656797
36,1.2665925691274434e-08,18.8,2669464.476358573,779462.6609184644
37,1.4562736666730681e-08,18.8,2650152.7135605356,782026.8993114057
38,1.6743608354708703e-08,18.7,2628337.288677882,1043967.6952955213
39,1.9251080834026304e-08,18.6,2603754.7578559513,1307115.6007624376
40,2.213406485788902e-08,18.5,2576129.7393479897,1571832.0202710086
41,2.5448795906945086e-08,18.400000000000002,2545180.610950436,1838421.5616714917
42,2.9259931118459377e-08,18.3,2510625.6896785535,2107002.8180097323
43,3.364181048830456e-08,18.2,2472191.2617664295,2377244.814441734
44,3.867990694677316e-08,18.0,2429620.417298108,2907054.3710027486
45,4.447249359338591e-08,17.900000000000002,2382688.4953825893,3176421.639529423
46,5.113256061177643e-08,17.7,2331209.1977023184,3699490.681920995
47,5.879001925598867e-08,17.5,2275055.522418868,4212586.554221783
48,6.759423589914056e-08,17.3,2214170.187299676,4710801.273901206
49,7.771694557360161e-08,17.0,2148579.4403066398,5448874.484096266
50,8.935560183419353e-08,16.8,2078408.803944401,5903255.761317734
51,1.0273722828683876e-07,16.5,2003885.1616215778,6588514.279176922
52,1.1812284691056698e-07,16.2,1925348.0835582,7240746.554537603
53,1.3581256955172047e-07,15.9,1843245.0920131095,7855962.098148531
54,1.5615145190503213e-07,15.5,1758124.6587731084,8691354.563208023
55,1.7953622416932378e-07,15.200000000000001,1670626.7892028496,9223402.070600186
56,2.0642302966597602e-07,14.8,1581457.010006686,9971815.785465626
57,2.3733632236965024e-07,14.4,1491369.2563245539,10675359.709706418
58,2.7287909690647745e-07,14.0,1401134.942022642,11334659.897330226
59,3.1374465056603907e-07,13.600000000000001,1311515.6420244747,11951489.939530084
60,3.6073010675692155e-07,13.200000000000001,1223236.0349928422,12528814.6825011
61,4.1475196369434256e-07,12.8,1136960.0244090743,13070785.849564597
62,4.76863971612518e-07,12.3,1053270.7724837197,13848691.812327283
63,5.482776872146398e-07,11.9,972661.573378134,14338600.748534806
64,6.303861062955238e-07,11.5,895523.4636919417,14812391.077849198
65,7.24790835514819e-07,11.100000000000001,822149.0241356042,15278211.740442079
66,8.333333333333328e-07,10.700000000000001,752736.3551274423,15744795.810974617
67,9.581308294981124e-07,10.3,687398.2918776562,16221178.848020507
68,1.10161762372169e-06,9.9,626173.9045835765,16716375.30068613
69,1.2665925691274434e-06,9.5,569041.1316313883,17238996.546263836
70,1.4562736666730682e-06,9.1,515929.0983345236,17796889.83920675
71,1.6743608354708704e-06,8.8,466730.4709802692,18110109.900821567
72,1.9251080834026305e-06,8.5,421307.80712133815,18463737.90520936
73,2.2134064857889066e-06,8.200000000000001,379504.6377628463,18861579.09780892
74,2.544879590694514e-06,7.9,341150.4715488667,19305991.93542904
75,2.925993111845944e-06,7.6000000000000005,306065.5603831901,19797961.864363942
76,3.3641810488304626e-06,7.4,274065.54503852595,20029154.337497756
77,3.867990694677316e-06,7.1000000000000005,244960.36115989723,20610753.61601275
78,4.447249359338591e-06,6.9,218563.3306992948,20919827.09275673
79,5.1132560611776435e-06,6.7,194686.16462903257,21262273.219009634
80,5.879001925598868e-06,6.5,173144.62744815103,21635511.327684004
81,6.759423589914056e-06,6.300000000000001,153758.93352793096,22036718.138901316
